P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0.400000	0.200000	0.000000	8.000000	9.000000	14.000000	13.000000	1.000000	1.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0.000000	-0.050616	0.000000	0.000000	19.650000	0.000000	0.000000	1658169.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	25.450000	0.000000	0.000000	1658194.450000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	31.050000	0.000000	0.000000	1658225.500000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	14.850000	0.000000	0.000000	1658240.350000	0.000000	0.000000	0.000000	0.000000
0.000000	-0.101232	0.000000	0.000000	19.900000	0.000000	0.000000	1658260.250000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	21.400000	0.000000	0.000000	1658281.650000	0.000000	0.000000	0.000000	0.000000
0.000000	-0.050616	0.000000	0.000000	18.050000	0.000000	0.000000	1658299.700000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	24.650000	0.000000	0.000000	1658324.350000	0.000000	0.000000	0.000000	0.000000
-0.108961	-0.101232	0.000000	0.108961	16.600000	0.000000	0.000000	1658340.950000	0.000000	0.000218	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	19.800000	0.000000	0.000000	1658360.750000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	26.700000	0.000000	0.000000	1658387.450000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	11.900000	0.000000	0.000000	1658399.350000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	20.350000	0.000000	0.000000	1658419.700000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	22.150000	0.000000	0.000000	1658441.850000	0.000000	0.000436	0.043584	0.000000
-0.108961	-0.101232	0.000000	0.108961	18.300000	0.000000	0.000000	1658460.150000	0.000000	0.000436	0.043584	0.000000
-0.108961	-0.101232	0.000000	0.108961	19.550000	0.000000	0.000000	1658479.700000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	19.850000	0.000000	0.000000	1658499.550000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	23.800000	0.000000	0.000000	1658523.350000	0.000000	0.000436	0.043584	0.000000
-0.108961	-0.050616	0.000000	0.108961	19.900000	0.000000	0.000000	1658543.250000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	19.050000	0.000000	0.000000	1658562.300000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	19.800000	0.000000	0.000000	1658582.100000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	22.150000	0.000000	0.000000	1658604.250000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	20.400000	0.000000	0.000000	1658624.650000	0.000000	0.000436	0.043584	0.000000
-0.108961	-0.101232	0.000000	0.108961	15.550000	0.000000	0.000000	1658640.200000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	19.850000	0.000000	0.000000	1658660.050000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	22.250000	0.000000	0.000000	1658682.300000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	19.950000	0.000000	0.000000	1658702.250000	0.000000	0.000436	0.043584	0.000000
0.000000	-0.050616	0.000000	0.000000	24.750000	0.000000	0.000000	1658727.000000	0.000000	0.000218	0.000000	0.000000
-0.108961	0.000000	0.000000	0.108961	14.300000	0.000000	0.000000	1658741.300000	0.000000	0.000218	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	21.250000	0.000000	0.000000	1658762.550000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	18.300000	0.000000	0.000000	1658780.850000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	19.100000	0.000000	0.000000	1658799.950000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	23.850000	0.000000	0.000000	1658823.800000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	19.050000	0.000000	0.000000	1658842.850000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	19.100000	0.000000	0.000000	1658861.950000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	20.450000	0.000000	0.000000	1658882.400000	0.000000	0.000436	0.043584	0.000000
-0.108961	0.000000	0.000000	0.108961	18.950000	0.000000	0.000000	1658901.350000	0.000000	0.000436	0.043584	0.000000
-0.108961	-0.101232	0.000000	0.108961	20.700000	0.000000	0.000000	1658922.050000	0.000000	0.000436	0.043584	0.000000
