P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0.400000	0.200000	0.000000	14.000000	13.000000	31.000000	26.000000	1.000000	1.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0.000000	-0.101232	0.000000	0.000000	19.950000	0.000000	0.000000	1302770.600000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.850000	0.000000	0.000000	1302790.450000	0.000000	0.000000	0.000000	0.000000
0.000000	-0.101232	0.000000	0.000000	20.400000	0.000000	0.000000	1302810.850000	0.000000	0.000000	0.000000	0.000000
0.000000	-0.050616	0.000000	0.000000	19.900000	0.000000	0.000000	1302830.750000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	1302850.650000	0.000000	0.000000	0.000000	0.000000
0.000000	-0.050616	0.000000	0.000000	19.900000	0.000000	0.000000	1302870.550000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	22.000000	0.000000	0.000000	1302892.550000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	18.300000	0.000000	0.000000	1302910.850000	0.000000	0.000000	0.000000	0.000000
0.000000	-0.101232	0.000000	0.000000	19.850000	0.000000	0.000000	1302930.700000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	1302950.600000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	1302970.500000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.400000	0.000000	0.000000	1302990.900000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	1303010.800000	0.000000	0.000000	0.000000	0.000000
