P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
1.000000	0.500000	0.000000	14.000000	13.000000	31.000000	26.000000	1.000000	1.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0.435844	0.000000	0.000000	0.435844	21.150000	0.000000	0.000000	2840479.599998	0.000000	0.009218	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.100000	0.000000	0.000000	2840498.699998	0.000000	0.008325	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2840518.599998	0.000000	0.008673	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	27.700000	0.000000	0.000000	2840546.299998	0.000000	0.012073	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.500000	0.000000	0.000000	2840565.799998	0.000000	0.008499	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.950000	0.000000	0.000000	2840585.749998	0.000000	0.008695	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2840605.649998	0.000000	0.008673	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	19.900000	0.000000	0.000000	2840625.549998	0.000000	0.007589	0.326883	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2840645.449998	0.000000	0.007589	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	20.300000	0.000000	0.000000	2840665.749998	0.000000	0.007742	0.326883	0.000000
-0.326883	0.000000	0.000000	0.326883	19.950000	0.000000	0.000000	2840685.699998	0.000000	0.006521	0.326883	0.000000
-0.326883	0.000000	0.000000	0.326883	19.900000	0.000000	0.000000	2840705.599998	0.000000	0.006505	0.326883	0.000000
-0.326883	0.000000	0.000000	0.326883	19.950000	0.000000	0.000000	2840725.549998	0.000000	0.006521	0.326883	0.000000
-0.326883	0.000000	0.000000	0.326883	19.950000	0.000000	0.000000	2840745.499998	0.000000	0.006521	0.326883	0.000000
-0.326883	0.000000	0.000000	0.326883	20.350000	0.000000	0.000000	2840765.849998	0.000000	0.006652	0.326883	0.000000
-0.435844	0.000000	0.000000	0.435844	20.750000	0.000000	0.000000	2840786.599998	0.000000	0.007913	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.100000	0.000000	0.000000	2840805.699998	0.000000	0.008325	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.950000	0.000000	0.000000	2840825.649998	0.000000	0.008695	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	19.900000	0.000000	0.000000	2840845.549998	0.000000	0.007589	0.326883	0.000000
-0.326883	0.000000	0.000000	0.326883	19.950000	0.000000	0.000000	2840865.499998	0.000000	0.006521	0.326883	0.000000
-0.326883	0.000000	0.000000	0.326883	20.350000	0.000000	0.000000	2840885.849998	0.000000	0.006652	0.326883	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2840905.749998	0.000000	0.007589	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	19.950000	0.000000	0.000000	2840925.699998	0.000000	0.007608	0.326883	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2840945.599998	0.000000	0.007589	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2840965.499998	0.000000	0.008673	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	20.300000	0.000000	0.000000	2840985.799998	0.000000	0.008848	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2841005.699998	0.000000	0.008673	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	19.950000	0.000000	0.000000	2841025.649998	0.000000	0.007608	0.326883	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2841045.549998	0.000000	0.007589	0.435844	0.000000
-0.435844	0.000000	0.000000	0.435844	19.950000	0.000000	0.000000	2841065.499998	0.000000	0.008695	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	20.350000	0.000000	0.000000	2841085.849998	0.000000	0.007761	0.326883	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2841105.749998	0.000000	0.007589	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	19.950000	0.000000	0.000000	2841125.699998	0.000000	0.007608	0.326883	0.000000
-0.435844	0.000000	0.000000	0.435844	21.150000	0.000000	0.000000	2841146.849998	0.000000	0.008066	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	19.000000	0.000000	0.000000	2841165.849998	0.000000	0.007246	0.326883	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2841185.749998	0.000000	0.007589	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	19.900000	0.000000	0.000000	2841205.649998	0.000000	0.007589	0.326883	0.000000
-0.435844	0.000000	0.000000	0.435844	19.900000	0.000000	0.000000	2841225.549998	0.000000	0.007589	0.435844	0.000000
-0.326883	0.000000	0.000000	0.326883	19.950000	0.000000	0.000000	2841245.499998	0.000000	0.007608	0.326883	0.000000
-0.326883	0.000000	0.000000	0.326883	19.950000	0.000000	0.000000	2841265.449998	0.000000	0.006521	0.326883	0.000000
-0.326883	0.000000	0.000000	0.326883	20.400000	0.000000	0.000000	2841285.849998	0.000000	0.006668	0.326883	0.000000
-0.435844	-0.101232	0.000000	0.435844	19.850000	0.000000	0.000000	2841305.699998	0.000000	0.007570	0.435844	0.000000
-0.326883	-0.101232	0.000000	0.326883	19.950000	0.000000	0.000000	2841325.649998	0.000000	0.007608	0.326883	0.000000
-0.435844	-0.101232	0.000000	0.435844	19.900000	0.000000	0.000000	2841345.549998	0.000000	0.007589	0.435844	0.000000
