P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0.000000	1.000000	0.000000	9.000000	9.000000	19.000000	18.000000	1.000000	1.000000	0.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0.544805	0.000000	0.000000	0.544805	19.650000	0.000000	0.000000	63135.200000	0.220063	0.000196	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.650000	0.000000	0.000000	63155.850000	0.220172	0.000206	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	31.050000	0.000000	0.000000	63186.900000	0.221305	0.000310	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	39.100000	0.000000	0.000000	63226.000000	0.222182	0.000391	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	3.850000	0.000000	0.000000	63229.850000	0.218342	0.000038	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.550000	0.000000	0.000000	63249.400000	0.220052	0.000195	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.650000	0.000000	0.000000	63269.050000	0.220063	0.000196	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	23.850000	0.000000	0.000000	63292.900000	0.220521	0.000238	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	15.900000	0.000000	0.000000	63308.800000	0.219655	0.000159	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.750000	0.000000	0.000000	63329.550000	0.220183	0.000207	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.550000	0.000000	0.000000	63349.100000	0.220052	0.000195	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.550000	0.000000	0.000000	63369.650000	0.220161	0.000205	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.500000	0.000000	0.000000	63389.150000	0.220047	0.000195	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.550000	0.000000	0.000000	63409.700000	0.220161	0.000205	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.150000	0.000000	0.000000	63428.850000	0.220009	0.000191	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	21.950000	0.000000	0.000000	63450.800000	0.220314	0.000219	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	18.300000	0.000000	0.000000	63469.100000	0.219916	0.000183	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.700000	0.000000	0.000000	63489.800000	0.220178	0.000207	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.500000	0.000000	0.000000	63509.300000	0.220047	0.000195	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.450000	0.000000	0.000000	63529.750000	0.220150	0.000204	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.550000	0.000000	0.000000	63549.300000	0.220052	0.000195	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.450000	0.000000	0.000000	63569.750000	0.220150	0.000204	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.650000	0.000000	0.000000	63589.400000	0.220063	0.000196	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.550000	0.000000	0.000000	63609.950000	0.220161	0.000205	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.100000	0.000000	0.000000	63629.050000	0.220003	0.000191	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.750000	0.000000	0.000000	63649.800000	0.220183	0.000207	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.650000	0.000000	0.000000	63669.450000	0.220063	0.000196	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.500000	0.000000	0.000000	63689.950000	0.220156	0.000205	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.200000	0.000000	0.000000	63709.150000	0.220014	0.000192	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	19.850000	0.000000	0.000000	63729.000000	0.220085	0.000198	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	20.550000	0.000000	0.000000	63749.550000	0.220161	0.000205	0.000000	0.000000
-0.544805	0.000000	0.000000	0.544805	47.900000	0.000000	0.000000	63797.450000	0.223141	0.000479	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	23.150000	0.000000	0.000000	63820.600000	0.264281	0.000231	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	15.850000	0.000000	0.000000	63836.450000	0.263579	0.000158	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.500000	0.000000	0.000000	63856.950000	0.264187	0.000205	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.150000	0.000000	0.000000	63876.100000	0.264010	0.000191	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.950000	0.000000	0.000000	63896.050000	0.264115	0.000199	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.450000	0.000000	0.000000	63916.500000	0.264180	0.000204	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	22.900000	0.000000	0.000000	63939.400000	0.264501	0.000229	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.050000	0.000000	0.000000	63958.450000	0.263997	0.000190	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	21.450000	0.000000	0.000000	63979.900000	0.264311	0.000214	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	18.300000	0.000000	0.000000	63998.200000	0.263899	0.000183	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.900000	0.000000	0.000000	64018.100000	0.264108	0.000199	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.650000	0.000000	0.000000	64038.750000	0.264206	0.000206	0.000000	0.000000
-0.599286	0.000000	0.000000	0.599286	19.500000	0.000000	0.000000	64058.250000	0.242158	0.000195	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.450000	0.000000	0.000000	64078.700000	0.264069	0.000204	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.150000	0.000000	0.000000	64097.850000	0.264010	0.000191	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.750000	0.000000	0.000000	64118.600000	0.264220	0.000207	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	21.200000	0.000000	0.000000	64139.800000	0.264278	0.000212	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	18.950000	0.000000	0.000000	64158.750000	0.263984	0.000189	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.200000	0.000000	0.000000	64177.950000	0.264017	0.000192	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.700000	0.000000	0.000000	64198.650000	0.264213	0.000207	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.600000	0.000000	0.000000	64218.250000	0.264069	0.000196	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.600000	0.000000	0.000000	64238.850000	0.264200	0.000206	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.650000	0.000000	0.000000	64258.500000	0.264076	0.000196	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.300000	0.000000	0.000000	64278.800000	0.264161	0.000203	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.950000	0.000000	0.000000	64298.750000	0.264115	0.000199	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.900000	0.000000	0.000000	64318.650000	0.264108	0.000199	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.850000	0.000000	0.000000	64338.500000	0.264102	0.000198	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.500000	0.000000	0.000000	64359.000000	0.264187	0.000205	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.150000	0.000000	0.000000	64378.150000	0.264010	0.000191	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.700000	0.000000	0.000000	64398.850000	0.264213	0.000207	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.650000	0.000000	0.000000	64418.500000	0.264076	0.000196	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.550000	0.000000	0.000000	64438.050000	0.264063	0.000195	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.650000	0.000000	0.000000	64458.700000	0.264206	0.000206	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.100000	0.000000	0.000000	64477.800000	0.264004	0.000191	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.750000	0.000000	0.000000	64498.550000	0.264220	0.000207	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.550000	0.000000	0.000000	64518.100000	0.264063	0.000195	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.450000	0.000000	0.000000	64538.550000	0.264180	0.000204	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.650000	0.000000	0.000000	64558.200000	0.264076	0.000196	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	21.100000	0.000000	0.000000	64579.300000	0.264265	0.000211	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	18.900000	0.000000	0.000000	64598.200000	0.263978	0.000189	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.550000	0.000000	0.000000	64618.750000	0.264193	0.000205	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.500000	0.000000	0.000000	64638.250000	0.264056	0.000195	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.550000	0.000000	0.000000	64658.800000	0.264193	0.000205	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.600000	0.000000	0.000000	64678.400000	0.264069	0.000196	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.450000	0.000000	0.000000	64698.850000	0.264180	0.000204	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.550000	0.000000	0.000000	64718.400000	0.264063	0.000195	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	20.400000	0.000000	0.000000	64738.800000	0.264174	0.000204	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	19.550000	0.000000	0.000000	64758.350000	0.264063	0.000195	0.000000	0.000000
-0.653766	0.000000	0.000000	0.653766	430.150000	0.000000	0.000000	65188.500000	0.317750	0.004301	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	499.850000	0.000000	0.000000	65688.350000	-0.016352	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	90.350000	0.000000	0.000000	65778.700000	-0.000984	-0.000903	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.750000	0.000000	0.000000	65798.450000	0.000000	-0.000197	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.500000	0.000000	0.000000	65818.950000	0.000000	-0.000205	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.550000	0.000000	0.000000	65838.500000	0.000000	-0.000195	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.550000	0.000000	0.000000	65859.050000	0.000000	-0.000205	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.200000	0.000000	0.000000	65878.250000	0.000000	-0.000192	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.750000	0.000000	0.000000	65899.000000	0.000000	-0.000207	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.550000	0.000000	0.000000	65918.550000	0.000000	-0.000195	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.750000	0.000000	0.000000	65938.300000	0.000000	-0.000197	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.400000	0.000000	0.000000	65958.700000	0.000000	-0.000204	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.150000	0.000000	0.000000	65977.850000	0.000000	-0.000191	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.750000	0.000000	0.000000	65998.600000	0.000000	-0.000207	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.600000	0.000000	0.000000	66018.200000	0.000000	-0.000196	0.000000	0.000000
0.000000	-0.050616	-0.050616	-0.050616	20.650000	0.000000	0.000000	66038.850000	-0.020351	-0.000206	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.500000	0.000000	0.000000	66058.350000	-0.000099	-0.000195	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.450000	0.000000	0.000000	66078.800000	0.000000	-0.000204	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.150000	0.000000	0.000000	66097.950000	0.000000	-0.000191	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.650000	0.000000	0.000000	66118.600000	0.000000	-0.000206	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.700000	0.000000	0.000000	66138.300000	0.000000	-0.000197	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.550000	0.000000	0.000000	66158.850000	0.000000	-0.000205	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	19.600000	0.000000	0.000000	66178.450000	-0.043798	-0.000196	0.000000	0.000000
0.217922	0.000000	0.000000	-0.217922	20.400000	0.000000	0.000000	66198.850000	-0.087836	-0.000204	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	19.550000	0.000000	0.000000	66218.400000	-0.044223	-0.000195	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	20.450000	0.000000	0.000000	66238.850000	-0.044030	-0.000204	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	19.550000	0.000000	0.000000	66258.400000	-0.044010	-0.000195	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.650000	0.000000	0.000000	66279.050000	-0.000225	-0.000206	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.500000	0.000000	0.000000	66298.550000	0.000000	-0.000195	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	20.500000	0.000000	0.000000	66319.050000	-0.043808	-0.000205	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	19.100000	0.000000	0.000000	66338.150000	-0.044001	-0.000191	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	20.700000	0.000000	0.000000	66358.850000	-0.044036	-0.000207	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	19.800000	0.000000	0.000000	66378.650000	-0.044016	-0.000198	0.000000	0.000000
0.108961	0.000000	0.000000	-0.108961	20.450000	0.000000	0.000000	66399.100000	-0.044030	-0.000204	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.500000	0.000000	0.000000	66418.600000	-0.000212	-0.000195	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.550000	0.000000	0.000000	66438.150000	0.000000	-0.000195	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.450000	0.000000	0.000000	66458.600000	0.000000	-0.000204	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.600000	0.000000	0.000000	66478.200000	0.000000	-0.000196	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	26.150000	0.000000	0.000000	66504.350000	0.000000	-0.000261	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.700000	0.000000	0.000000	66524.050000	0.000000	-0.000197	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.550000	0.000000	0.000000	66543.600000	0.000000	-0.000195	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.500000	0.000000	0.000000	66563.100000	0.000000	-0.000195	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.650000	0.000000	0.000000	66583.750000	0.000000	-0.000206	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.500000	0.000000	0.000000	66603.250000	0.000000	-0.000195	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.400000	0.000000	0.000000	66623.650000	0.000000	-0.000204	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.600000	0.000000	0.000000	66643.250000	0.000000	-0.000196	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.500000	0.000000	0.000000	66663.750000	0.000000	-0.000205	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.200000	0.000000	0.000000	66682.950000	0.000000	-0.000192	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.650000	0.000000	0.000000	66703.600000	0.000000	-0.000206	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.750000	0.000000	0.000000	66723.350000	0.000000	-0.000197	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.600000	0.000000	0.000000	66743.950000	0.000000	-0.000206	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.100000	0.000000	0.000000	66763.050000	0.000000	-0.000191	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.750000	0.000000	0.000000	66783.800000	0.000000	-0.000207	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.650000	0.000000	0.000000	66803.450000	0.000000	-0.000196	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.500000	0.000000	0.000000	66823.950000	0.000000	-0.000205	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.150000	0.000000	0.000000	66843.100000	0.000000	-0.000191	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.700000	0.000000	0.000000	66863.800000	0.000000	-0.000207	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.950000	0.000000	0.000000	66883.750000	0.000000	-0.000199	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.450000	0.000000	0.000000	66904.200000	0.000000	-0.000204	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.150000	0.000000	0.000000	66923.350000	0.000000	-0.000191	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.650000	0.000000	0.000000	66944.000000	0.000000	-0.000206	0.000000	0.000000
