OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
6.000000	12.000000	20.000000	19.000000	1.000000	1.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
0.000000	0.000000	20.350000	1794410.849999	0.000000	0.000000
0.000000	0.000000	19.900000	1794430.749999	0.000000	0.000000
0.000000	0.000000	19.950000	1794450.699999	0.000000	0.000000
0.000000	0.000000	19.900000	1794470.599999	0.000000	0.000000
0.000000	0.000000	19.950000	1794490.549999	0.000000	0.000000
0.000000	0.000000	19.950000	1794510.499999	0.000000	0.000000
0.000000	0.000000	20.300000	1794530.799999	0.000000	0.000000
0.000000	0.000000	19.850000	1794550.649999	0.000000	0.000000
0.000000	0.000000	20.550000	1794571.199999	0.000000	0.000000
0.000000	0.000000	19.600000	1794590.799999	0.000000	0.000000
0.000000	0.000000	19.900000	1794610.699999	0.000000	0.000000
0.000000	0.000000	19.900000	1794630.599999	0.000000	0.000000
0.000000	0.000000	19.950000	1794650.549999	0.000000	0.000000
0.000000	0.000000	20.350000	1794670.899999	0.000000	0.000000
0.000000	0.000000	19.900000	1794690.799999	0.000000	0.000000
0.000000	0.000000	19.950000	1794710.749999	0.000000	0.000000
0.000000	0.000000	19.900000	1794730.649999	0.000000	0.000000
0.000000	0.000000	19.950000	1794750.599999	0.000000	0.000000
0.000000	0.000000	19.950000	1794770.549999	0.000000	0.000000
0.000000	0.000000	20.000000	1794790.549999	0.000000	0.000000
0.000000	0.000000	20.300000	1794810.849999	0.000000	0.000000
0.000000	0.000000	20.350000	1794831.199999	0.000000	0.000000
0.000000	0.000000	19.600000	1794850.799999	0.000000	0.000000
0.000000	0.000000	19.900000	1794870.699999	0.000000	0.000000
0.000000	0.000000	19.900000	1794890.599999	0.000000	0.000000
0.000000	0.000000	20.300000	1794910.899999	0.000000	0.000000
0.000000	0.000000	19.850000	1794930.749999	0.000000	0.000000
0.000000	0.000000	19.900000	1794950.649999	0.000000	0.000000
0.000000	0.000000	19.850000	1794970.499999	0.000000	0.000000
0.000000	0.000000	20.400000	1794990.899999	0.000000	0.000000
0.000000	0.000000	19.850000	1795010.749999	0.000000	0.000000
0.000000	0.000000	19.900000	1795030.649999	0.000000	0.000000
0.000000	0.000000	19.900000	1795050.549999	0.000000	0.000000
0.000000	0.000000	20.300000	1795070.849999	0.000000	0.000000
0.000000	0.000000	20.350000	1795091.199999	0.000000	0.000000
0.000000	0.000000	19.750000	1795110.949999	0.000000	0.000000
0.000000	0.000000	19.900000	1795130.849999	0.000000	0.000000
0.000000	0.000000	19.900000	1795150.749999	0.000000	0.000000
0.000000	0.000000	19.900000	1795170.649999	0.000000	0.000000
0.000000	0.000000	20.300000	1795190.949999	0.000000	0.000000
0.000000	0.000000	19.950000	1795210.899999	0.000000	0.000000
0.000000	0.000000	19.900000	1795230.799999	0.000000	0.000000
0.000000	0.000000	19.900000	1795250.699999	0.000000	0.000000
0.000000	0.000000	19.900000	1795270.599999	0.000000	0.000000
0.000000	0.000000	20.300000	1795290.899999	0.000000	0.000000
0.000000	0.000000	19.950000	1795310.849999	0.000000	0.000000
