PID
Kp	Ki	Kd
0.400000	0.200000	0.000000
SaidaP	SaidaI	SaidaD
-0.784537	-0.007845	0.000000
-0.784537	-0.007845	0.000000
-0.784537	-0.007845	0.000000
-0.784537	-0.007845	0.000000
-0.784537	-0.007845	0.000000
-0.784537	-0.007845	0.000000
-0.784537	-0.007845	0.000000
-0.784537	-0.007845	0.000000
-0.784537	-0.007845	0.000000
-0.784537	-0.007845	0.000000
-0.762744	-0.007736	0.000000
-0.740952	-0.007518	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.719159	-0.007301	0.000000
-0.740952	-0.007301	0.000000
-0.697366	-0.007192	0.000000
-0.740952	-0.007192	0.000000
-0.740952	-0.007410	0.000000
-0.697366	-0.007192	0.000000
-0.740952	-0.007192	0.000000
-0.740952	-0.007410	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.697366	-0.007192	0.000000
-0.740952	-0.007192	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.719159	-0.007301	0.000000
-0.740952	-0.007301	0.000000
-0.740952	-0.007410	0.000000
-0.740952	-0.007410	0.000000
-0.719159	-0.007301	0.000000
-0.697366	-0.007083	0.000000
-0.697366	-0.006974	0.000000
-0.719159	-0.007083	0.000000
-0.740952	-0.007301	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.740952	-0.007410	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.740952	-0.007192	0.000000
-0.697366	-0.007192	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
-0.697366	-0.006974	0.000000
