P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0.000000	1.000000	0.000000	8.000000	9.000000	19.000000	16.000000	1.000000	1.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0.217922	0.000000	0.000000	0.217922	19.600000	0.000000	0.000000	651647.450000	0.088023	0.000196	0.000000	0.000000
-0.217922	0.101232	0.000000	0.217922	20.550000	0.000000	0.000000	651668.000000	0.088064	0.000205	0.000000	0.000000
-0.217922	0.000000	0.000000	0.217922	19.200000	0.000000	0.000000	651687.200000	0.088006	0.000192	0.000000	0.000000
-0.217922	0.000000	0.000000	0.217922	38.800000	0.000000	0.000000	651726.000000	0.088860	0.000388	0.000000	0.000000
-0.217922	0.000000	0.000000	0.217922	19.150000	0.000000	0.000000	651745.150000	0.088003	0.000191	0.000000	0.000000
-0.217922	0.000000	0.000000	0.217922	20.500000	0.000000	0.000000	651765.650000	0.088062	0.000205	0.000000	0.000000
-0.217922	0.000000	0.000000	0.217922	19.550000	0.000000	0.000000	651785.200000	0.088021	0.000195	0.000000	0.000000
-0.217922	0.000000	0.000000	0.217922	20.450000	0.000000	0.000000	651805.650000	0.088060	0.000204	0.000000	0.000000
-0.217922	0.050616	0.000000	0.217922	19.150000	0.000000	0.000000	651824.800000	0.088003	0.000191	0.000000	0.000000
-0.217922	0.000000	0.000000	0.217922	20.650000	0.000000	0.000000	651845.450000	0.088069	0.000206	0.000000	0.000000
-0.217922	0.000000	0.000000	0.217922	19.750000	0.000000	0.000000	651865.200000	0.088030	0.000197	0.000000	0.000000
-0.217922	0.101232	0.000000	0.217922	20.500000	0.000000	0.000000	651885.700000	0.088062	0.000205	0.000000	0.000000
-0.217922	0.101232	0.000000	0.217922	19.600000	0.000000	0.000000	651905.300000	0.088023	0.000196	0.000000	0.000000
