PIDRelay
Kp	Ki	Kd	Kr
0.500000	0.300000	0.000000	0.010000
SaidaP	SaidaI	SaidaD	SaidaR
-8.172262	-0.098067	0.000000	0.000000
-8.281226	-0.098721	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.253985	-0.099211	0.000000	0.000000
-8.281226	-0.099211	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.281226	-0.099375	0.000000	0.000000
-8.335708	-0.099702	0.000000	0.000000
-8.335708	-0.100028	0.000000	0.000000
-8.335708	-0.100028	0.000000	0.000000
-8.335708	-0.100028	0.000000	0.000000
-8.335708	-0.100028	0.000000	0.000000
-8.335708	-0.100028	0.000000	0.000000
-8.390189	-0.100355	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.362949	-0.100519	0.000000	0.000000
-8.390189	-0.100519	0.000000	0.000000
-8.417430	-0.100846	0.000000	0.000000
-8.444671	-0.101173	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.499153	-0.101663	0.000000	0.000000
-8.444671	-0.101663	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.499153	-0.101663	0.000000	0.000000
-8.499153	-0.101990	0.000000	0.000000
-8.499153	-0.101990	0.000000	0.000000
-8.499153	-0.101990	0.000000	0.000000
-8.444671	-0.101663	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.444671	-0.101336	0.000000	0.000000
-8.390189	-0.101009	0.000000	0.000000
-8.444671	-0.101009	0.000000	0.000000
-8.417430	-0.101173	0.000000	0.000000
-8.444671	-0.101173	0.000000	0.000000
-8.390189	-0.101009	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.417430	-0.100846	0.000000	0.000000
-8.390189	-0.100846	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.390189	-0.100682	0.000000	0.000000
-8.335708	-0.100355	0.000000	0.000000
-8.390189	-0.100355	0.000000	0.000000
-8.335708	-0.100355	0.000000	0.000000
-8.390189	-0.100355	0.000000	0.000000
-8.335708	-0.100355	0.000000	0.000000
-8.335708	-0.100028	0.000000	0.000000
-8.335708	-0.100028	0.000000	0.000000
-8.335708	-0.100028	0.000000	0.000000
-8.335708	-0.100028	0.000000	0.000000
