PIDRelay
Kp	Ki	Kd	Kr
0.500000	0.300000	0.000000	0.010000
SaidaP	SaidaI	SaidaD	SaidaR
-2.233752	-23.179478	0.000000	0.000000
-2.124788	-23.205629	0.000000	0.000000
-2.124788	-23.231127	0.000000	0.000000
-2.124788	-23.256624	0.000000	0.000000
-2.015825	-23.281468	0.000000	0.000000
-2.015825	-23.305658	0.000000	0.000000
-1.961343	-23.329521	0.000000	0.000000
-1.906861	-23.352730	0.000000	0.000000
-1.906861	-23.375612	0.000000	0.000000
-1.688934	-23.397187	0.000000	0.000000
-2.124788	-23.420070	0.000000	0.000000
-2.560642	-23.448182	0.000000	0.000000
-2.778569	-23.480217	0.000000	0.000000
-2.506160	-23.511926	0.000000	0.000000
-2.233752	-23.540365	0.000000	0.000000
-2.070306	-23.566190	0.000000	0.000000
-1.743416	-23.589072	0.000000	0.000000
-1.688934	-23.609666	0.000000	0.000000
-1.634452	-23.629606	0.000000	0.000000
-1.634452	-23.649220	0.000000	0.000000
-1.634452	-23.668833	0.000000	0.000000
-1.634452	-23.688447	0.000000	0.000000
-1.579971	-23.707733	0.000000	0.000000
-1.579971	-23.726693	0.000000	0.000000
-1.525489	-23.745326	0.000000	0.000000
-1.525489	-23.763632	0.000000	0.000000
-1.525489	-23.781937	0.000000	0.000000
-1.525489	-23.800243	0.000000	0.000000
-1.471007	-23.818222	0.000000	0.000000
-1.416525	-23.835547	0.000000	0.000000
-1.362044	-23.852219	0.000000	0.000000
-1.362044	-23.868563	0.000000	0.000000
-1.362044	-23.884908	0.000000	0.000000
-1.307562	-23.900926	0.000000	0.000000
-1.307562	-23.916616	0.000000	0.000000
-1.307562	-23.932307	0.000000	0.000000
-1.253080	-23.947671	0.000000	0.000000
-1.253080	-23.962708	0.000000	0.000000
-1.253080	-23.977745	0.000000	0.000000
-1.253080	-23.992782	0.000000	0.000000
-1.253080	-24.007819	0.000000	0.000000
-1.198598	-24.022529	0.000000	0.000000
-1.144117	-24.036585	0.000000	0.000000
-1.089635	-24.049988	0.000000	0.000000
-1.089635	-24.063063	0.000000	0.000000
-1.089635	-24.076139	0.000000	0.000000
-1.035153	-24.088888	0.000000	0.000000
-1.035153	-24.101309	0.000000	0.000000
-1.035153	-24.113731	0.000000	0.000000
-1.035153	-24.126153	0.000000	0.000000
-1.035153	-24.138575	0.000000	0.000000
-1.035153	-24.150997	0.000000	0.000000
-0.980671	-24.163092	0.000000	0.000000
-0.980671	-24.174860	0.000000	0.000000
-0.926190	-24.186301	0.000000	0.000000
-0.926190	-24.197415	0.000000	0.000000
-0.926190	-24.208529	0.000000	0.000000
-0.871708	-24.219317	0.000000	0.000000
-0.871708	-24.229777	0.000000	0.000000
-0.871708	-24.240238	0.000000	0.000000
-0.871708	-24.250698	0.000000	0.000000
-0.871708	-24.261159	0.000000	0.000000
-0.817226	-24.271292	0.000000	0.000000
-0.817226	-24.281099	0.000000	0.000000
-0.817226	-24.290906	0.000000	0.000000
-0.817226	-24.300713	0.000000	0.000000
-0.817226	-24.310519	0.000000	0.000000
-0.762744	-24.319999	0.000000	0.000000
-0.762744	-24.329152	0.000000	0.000000
-0.762744	-24.338305	0.000000	0.000000
-0.708263	-24.347131	0.000000	0.000000
-0.708263	-24.355630	0.000000	0.000000
-0.653781	-24.363802	0.000000	0.000000
-0.653781	-24.371648	0.000000	0.000000
-0.653781	-24.379493	0.000000	0.000000
-0.626540	-24.387175	0.000000	0.000000
-0.653781	-24.394857	0.000000	0.000000
-0.599299	-24.402376	0.000000	0.000000
-0.599299	-24.409567	0.000000	0.000000
-0.599299	-24.416759	0.000000	0.000000
-0.599299	-24.423950	0.000000	0.000000
-0.544817	-24.430815	0.000000	0.000000
-0.544817	-24.437353	0.000000	0.000000
-0.544817	-24.443891	0.000000	0.000000
0.000000	-24.447160	0.000000	0.000000
0.000000	-24.447160	0.000000	0.000000
0.000000	-24.447160	0.000000	0.000000
-0.544817	-24.450428	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
0.000000	-24.453697	0.000000	0.000000
