OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
13.000000	16.000000	35.000000	41.000000	0.000000	1.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
3.813722	0.000000	26.700000	8887638.100004	0.000000	41.000000
3.813722	0.000000	22.350000	8887660.450004	0.000000	41.000000
3.377868	0.000000	113.900000	8887774.350004	0.000000	41.000000
4.249576	0.000000	42.250000	8887816.600004	0.000000	41.000000
5.121284	0.000000	25.950000	8887842.550004	0.000000	41.000000
5.557138	0.000000	26.100000	8887868.650004	0.000000	41.000000
5.012321	0.000000	26.050000	8887894.700004	0.000000	41.000000
4.467503	0.000000	24.350000	8887919.050004	0.000000	41.000000
4.140613	0.000000	23.850000	8887942.900004	0.000000	41.000000
3.486832	0.000000	39.950000	8887982.850004	0.000000	41.000000
3.377868	0.000000	28.650000	8888011.500004	0.000000	41.000000
3.268905	0.000000	27.950000	8888039.450004	0.000000	41.000000
3.268905	0.000000	24.650000	8888064.100004	0.000000	41.000000
3.268905	0.000000	24.700000	8888088.800004	0.000000	41.000000
3.268905	0.000000	23.850000	8888112.650004	0.000000	41.000000
3.159941	0.000000	40.700000	8888153.350004	0.000000	41.000000
3.159941	0.000000	20.750000	8888174.100004	0.000000	41.000000
3.050978	0.000000	26.000000	8888200.100004	0.000000	41.000000
3.050978	0.000000	22.350000	8888222.450004	0.000000	41.000000
3.050978	0.000000	22.750000	8888245.200004	0.000000	41.000000
3.050978	0.000000	27.500000	8888272.700004	0.000000	41.000000
2.942014	0.000000	22.200000	8888294.900004	0.000000	41.000000
2.833051	0.000000	50.000000	8888344.900004	0.000000	41.000000
2.724087	0.000000	25.500000	8888370.400004	0.000000	41.000000
2.724087	0.000000	24.450000	8888394.850004	0.000000	41.000000
2.724087	0.000000	32.700000	8888427.550004	0.000000	41.000000
2.615124	0.000000	23.100000	8888450.650004	0.000000	41.000000
2.615124	0.000000	22.300000	8888472.950004	0.000000	41.000000
2.615124	0.000000	12.400000	8888485.350004	0.000000	41.000000
2.506160	0.000000	53.600000	8888538.950004	0.000000	41.000000
2.506160	0.000000	23.850000	8888562.800004	0.000000	41.000000
2.506160	0.000000	11.950000	8888574.750004	0.000000	41.000000
2.506160	0.000000	9.500000	8888584.250004	0.000000	41.000000
2.506160	0.000000	19.600000	8888603.850004	0.000000	41.000000
2.397197	0.000000	34.350000	8888638.200004	0.000000	41.000000
2.288233	0.000000	15.100000	8888653.300004	0.000000	41.000000
2.179270	0.000000	23.700000	8888677.000004	0.000000	41.000000
2.179270	0.000000	15.950000	8888692.950004	0.000000	41.000000
2.179270	0.000000	19.750000	8888712.700004	0.000000	41.000000
2.070306	0.000000	12.650000	8888725.350004	0.000000	41.000000
2.070306	0.000000	18.250000	8888743.600004	0.000000	41.000000
2.070306	0.000000	24.350000	8888767.950004	0.000000	41.000000
2.070306	0.000000	9.500000	8888777.450004	0.000000	41.000000
2.070306	0.000000	17.450000	8888794.900004	0.000000	41.000000
2.070306	0.000000	11.650000	8888806.550004	0.000000	41.000000
1.961343	0.000000	20.650000	8888827.200004	0.000000	41.000000
1.961343	0.000000	24.650000	8888851.850004	0.000000	41.000000
1.852379	0.000000	18.950000	8888870.800004	0.000000	41.000000
1.852379	0.000000	11.650000	8888882.450004	0.000000	41.000000
1.852379	0.000000	18.700000	8888901.150004	0.000000	41.000000
1.743416	0.000000	22.200000	8888923.350004	0.000000	41.000000
1.743416	0.000000	29.450000	8888952.800004	0.000000	41.000000
1.743416	0.000000	11.750000	8888964.550004	0.000000	41.000000
1.743416	0.000000	34.950000	8888999.500004	0.000000	41.000000
1.743416	0.000000	11.800000	8889011.300004	0.000000	41.000000
1.634452	0.000000	21.500000	8889032.800004	0.000000	41.000000
1.634452	0.000000	15.850000	8889048.650004	0.000000	41.000000
1.634452	0.000000	20.650000	8889069.300004	0.000000	41.000000
1.634452	0.000000	14.100000	8889083.400004	0.000000	41.000000
1.634452	0.000000	22.800000	8889106.200004	0.000000	41.000000
1.525489	0.000000	20.750000	8889126.950004	0.000000	41.000000
1.525489	0.000000	11.850000	8889138.800004	0.000000	41.000000
1.525489	0.000000	19.150000	8889157.950004	0.000000	41.000000
1.416525	0.000000	19.500000	8889177.450004	0.000000	41.000000
1.416525	0.000000	19.000000	8889196.450004	0.000000	41.000000
1.307562	0.000000	32.550000	8889229.000004	0.000000	41.000000
1.307562	0.000000	19.100000	8889248.100004	0.000000	41.000000
1.307562	0.000000	12.600000	8889260.700004	0.000000	41.000000
1.253080	0.000000	19.550000	8889280.250004	0.000000	41.000000
1.307562	0.000000	18.300000	8889298.550004	0.000000	41.000000
1.198598	0.000000	11.900000	8889310.450004	0.000000	41.000000
1.198598	0.000000	23.950000	8889334.400004	0.000000	41.000000
1.198598	0.000000	30.250000	8889364.650004	0.000000	41.000000
1.198598	0.000000	45.900000	8889410.550004	0.000000	41.000000
1.089635	0.000000	20.650000	8889431.200004	0.000000	40.975633
1.089635	0.000000	26.250000	8889457.450004	0.000000	40.982170
1.089635	0.000000	39.000000	8889496.450004	0.000000	40.988708
0.000000	0.000000	34.300000	8889530.750004	0.000000	40.447160
0.000000	0.000000	24.650000	8889555.400004	0.000000	40.447160
0.000000	0.000000	29.250000	8889584.650004	0.000000	40.447160
1.089635	0.000000	25.900000	8889610.550004	0.000000	40.995246
0.000000	0.000000	11.850000	8889622.400004	0.000000	40.453697
0.000000	0.000000	11.150000	8889633.550004	0.000000	40.453697
0.000000	0.000000	25.500000	8889659.050004	0.000000	40.453697
0.000000	0.000000	28.650000	8889687.700004	0.000000	40.453697
0.000000	0.000000	9.950000	8889697.650004	0.000000	40.453697
0.000000	0.000000	19.850000	8889717.500004	0.000000	40.453697
0.000000	0.000000	19.900000	8889737.400004	0.000000	40.453697
0.000000	0.000000	19.900000	8889757.300004	0.000000	40.453697
0.000000	0.000000	19.900000	8889777.200004	0.000000	40.453697
0.000000	0.000000	20.350000	8889797.550004	0.000000	40.453697
0.000000	0.000000	20.400000	8889817.950004	0.000000	40.453697
0.000000	0.000000	19.550000	8889837.500004	0.000000	40.453697
0.000000	0.000000	19.900000	8889857.400004	0.000000	40.453697
0.000000	0.000000	20.450000	8889877.850004	0.000000	40.453697
0.000000	0.000000	34.300000	8889912.150004	0.000000	40.453697
0.000000	0.000000	24.650000	8889936.800004	0.000000	40.453697
0.000000	0.000000	19.850000	8889956.650004	0.000000	40.453697
0.000000	0.000000	19.900000	8889976.550004	0.000000	40.453697
0.000000	0.000000	20.300000	8889996.850004	0.000000	40.453697
0.000000	0.000000	19.850000	8890016.700004	0.000000	40.453697
0.000000	0.000000	19.900000	8890036.600004	0.000000	40.453697
0.000000	0.000000	20.300000	8890056.900004	0.000000	40.453697
0.000000	0.000000	19.100000	8890076.000004	0.000000	40.453697
0.000000	0.000000	19.900000	8890095.900004	0.000000	40.453697
0.000000	0.000000	20.550000	8890116.450004	0.000000	40.453697
0.000000	0.000000	19.850000	8890136.300004	0.000000	40.453697
0.000000	0.000000	20.400000	8890156.700004	0.000000	40.453697
0.000000	0.000000	19.900000	8890176.600004	0.000000	40.453697
0.000000	0.000000	19.900000	8890196.500004	0.000000	40.453697
0.000000	0.000000	19.800000	8890216.300004	0.000000	40.453697
0.000000	0.000000	20.300000	8890236.600004	0.000000	40.453697
0.000000	0.000000	19.850000	8890256.450004	0.000000	40.453697
0.000000	0.000000	25.450000	8890281.900004	0.000000	40.453697
0.000000	0.000000	19.650000	8890301.550004	0.000000	40.453697
0.000000	0.000000	21.150000	8890322.700004	0.000000	40.453697
0.000000	0.000000	29.100000	8890351.800004	0.000000	40.453697
0.000000	0.000000	18.800000	8890370.600004	0.000000	40.453697
0.000000	0.000000	26.750000	8890397.350004	0.000000	40.453697
0.000000	0.000000	32.000000	8890429.350004	0.000000	40.453697
0.000000	0.000000	21.950000	8890451.300004	0.000000	40.453697
0.000000	0.000000	25.300000	8890476.600004	0.000000	40.453697
0.000000	0.000000	18.950000	8890495.550004	0.000000	40.453697
0.000000	0.000000	19.750000	8890515.300004	0.000000	40.453697
0.000000	0.000000	19.900000	8890535.200004	0.000000	40.453697
0.000000	0.000000	19.900000	8890555.100004	0.000000	40.453697
0.000000	0.000000	19.900000	8890575.000004	0.000000	40.453697
0.000000	0.000000	20.350000	8890595.350004	0.000000	40.453697
0.000000	0.000000	19.900000	8890615.250004	0.000000	40.453697
0.000000	0.000000	19.900000	8890635.150004	0.000000	40.453697
0.000000	0.000000	21.300000	8890656.450004	0.000000	40.453697
0.000000	0.000000	19.050000	8890675.500004	0.000000	40.453697
0.000000	0.000000	22.300000	8890697.800004	0.000000	40.453697
0.000000	0.000000	19.750000	8890717.550004	0.000000	40.453697
0.000000	0.000000	19.850000	8890737.400004	0.000000	40.453697
0.000000	0.000000	22.050000	8890759.450004	0.000000	40.453697
0.000000	0.000000	18.750000	8890778.200004	0.000000	40.453697
0.000000	0.000000	19.500000	8890797.700004	0.000000	40.453697
0.000000	0.000000	20.700000	8890818.400004	0.000000	40.453697
0.000000	0.000000	19.850000	8890838.250004	0.000000	40.453697
0.000000	0.000000	18.850000	8890857.100004	0.000000	40.453697
0.000000	0.000000	19.900000	8890877.000004	0.000000	40.453697
0.000000	0.000000	20.000000	8890897.000004	0.000000	40.453697
0.000000	0.000000	20.700000	8890917.700004	0.000000	40.453697
0.000000	0.000000	20.300000	8890938.000004	0.000000	40.453697
0.000000	0.000000	19.550000	8890957.550004	0.000000	40.453697
0.000000	0.000000	19.850000	8890977.400004	0.000000	40.453697
0.000000	0.000000	19.950000	8890997.350004	0.000000	40.453697
0.000000	0.000000	19.950000	8891017.300004	0.000000	40.453697
0.000000	0.000000	20.350000	8891037.650004	0.000000	40.453697
0.000000	0.000000	19.900000	8891057.550004	0.000000	40.453697
0.000000	0.000000	19.550000	8891077.100004	0.000000	40.453697
0.000000	0.000000	19.900000	8891097.000004	0.000000	40.453697
0.000000	0.000000	20.650000	8891117.650004	0.000000	40.453697
