PID
Kp	Ki	Kd
0.400000	0.200000	0.000000
SaidaP	SaidaI	SaidaD
-4.564790	-0.046084	0.000000
-4.499412	-0.045321	0.000000
-4.387355	-0.044434	0.000000
-4.343769	-0.043656	0.000000
-4.343769	-0.043438	0.000000
-4.343769	-0.043438	0.000000
-4.343769	-0.043438	0.000000
-4.430940	-0.043874	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.430940	-0.044309	0.000000
-4.390448	-0.044107	0.000000
-4.390448	-0.043904	0.000000
-4.390448	-0.043904	0.000000
-4.390448	-0.043904	0.000000
-4.390448	-0.043904	0.000000
-4.430940	-0.044107	0.000000
-4.434033	-0.044325	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.477619	-0.044558	0.000000
-4.477619	-0.044776	0.000000
-4.477619	-0.044776	0.000000
-4.477619	-0.044776	0.000000
-4.477619	-0.044776	0.000000
-4.477619	-0.044776	0.000000
-4.434033	-0.044558	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.434033	-0.044340	0.000000
-4.455826	-0.044449	0.000000
-4.477619	-0.044667	0.000000
-4.477619	-0.044776	0.000000
-4.477619	-0.044776	0.000000
-4.477619	-0.044776	0.000000
-4.477619	-0.044776	0.000000
-4.477619	-0.044776	0.000000
-4.521204	-0.044994	0.000000
-4.521204	-0.045212	0.000000
-4.521204	-0.045212	0.000000
-4.521204	-0.045212	0.000000
-4.521204	-0.045212	0.000000
-4.564790	-0.045430	0.000000
-4.564790	-0.045648	0.000000
-4.524298	-0.045445	0.000000
-4.567883	-0.045461	0.000000
-4.567883	-0.045679	0.000000
-4.611468	-0.045897	0.000000
-4.611468	-0.046115	0.000000
-4.611468	-0.046115	0.000000
-4.611468	-0.046115	0.000000
-4.655054	-0.046333	0.000000
-4.655054	-0.046551	0.000000
-4.655054	-0.046551	0.000000
-4.676846	-0.046660	0.000000
-4.742225	-0.047095	0.000000
-4.742225	-0.047422	0.000000
-4.829395	-0.047858	0.000000
-4.829395	-0.048294	0.000000
-4.829395	-0.048294	0.000000
-4.872981	-0.048512	0.000000
-4.872981	-0.048730	0.000000
-4.829395	-0.048512	0.000000
-4.872981	-0.048512	0.000000
-4.872981	-0.048730	0.000000
-4.872981	-0.048730	0.000000
-4.872981	-0.048730	0.000000
-4.872981	-0.048730	0.000000
-4.872981	-0.048730	0.000000
-4.872981	-0.048730	0.000000
-4.872981	-0.048730	0.000000
-4.832489	-0.048527	0.000000
-4.872981	-0.048527	0.000000
-4.872981	-0.048730	0.000000
-4.852735	-0.048629	0.000000
-4.832489	-0.048426	0.000000
-4.832489	-0.048325	0.000000
-4.832489	-0.048325	0.000000
-4.854281	-0.048434	0.000000
-4.916566	-0.048854	0.000000
-4.876074	-0.048963	0.000000
-4.916566	-0.048963	0.000000
-4.876074	-0.048963	0.000000
-4.876074	-0.048761	0.000000
-4.916566	-0.048963	0.000000
-4.876074	-0.048963	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.854281	-0.048652	0.000000
-4.876074	-0.048652	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.876074	-0.048761	0.000000
-4.919660	-0.048979	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.960152	-0.049399	0.000000
-4.919660	-0.049399	0.000000
-4.919660	-0.049197	0.000000
-4.960152	-0.049399	0.000000
-4.919660	-0.049399	0.000000
-4.939906	-0.049298	0.000000
-4.919660	-0.049298	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.960152	-0.049399	0.000000
-4.919660	-0.049399	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.939906	-0.049298	0.000000
-4.919660	-0.049298	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.939906	-0.049298	0.000000
-4.919660	-0.049298	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.919660	-0.049197	0.000000
-4.963245	-0.049415	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-5.003737	-0.049835	0.000000
-4.963245	-0.049835	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-4.963245	-0.049632	0.000000
-5.003737	-0.049835	0.000000
-5.006830	-0.050053	0.000000
-5.006830	-0.050068	0.000000
-5.006830	-0.050068	0.000000
-5.006830	-0.050068	0.000000
-5.006830	-0.050068	0.000000
-5.006830	-0.050068	0.000000
-5.006830	-0.050068	0.000000
-5.006830	-0.050068	0.000000
-5.006830	-0.050068	0.000000
-5.006830	-0.050068	0.000000
-5.006830	-0.050068	0.000000
-5.050416	-0.050286	0.000000
-5.050416	-0.050504	0.000000
-5.050416	-0.050504	0.000000
-5.050416	-0.050504	0.000000
-5.050416	-0.050504	0.000000
-5.094001	-0.050722	0.000000
-5.094001	-0.050940	0.000000
-5.094001	-0.050940	0.000000
-5.094001	-0.050940	0.000000
-5.094001	-0.050940	0.000000
-5.094001	-0.050940	0.000000
-5.137587	-0.051158	0.000000
-5.137587	-0.051376	0.000000
-5.137587	-0.102752	0.000000
-5.137587	-0.154128	0.000000
-5.137587	-0.205503	0.000000
-5.137587	-0.256879	0.000000
-5.181172	-0.308473	0.000000
-5.137587	-0.360067	0.000000
-5.100188	-0.411256	0.000000
-5.059696	-0.462055	0.000000
-5.019204	-0.512450	0.000000
-4.938220	-0.562237	0.000000
-4.938220	-0.611619	0.000000
-4.938220	-0.661001	0.000000
-4.941313	-0.710399	0.000000
-4.900821	-0.759610	0.000000
-4.900821	-0.808618	0.000000
-4.903914	-0.857641	0.000000
-4.903914	-0.906681	0.000000
-4.863422	-0.955517	0.000000
-4.907007	-1.004369	0.000000
-4.907007	-1.053439	0.000000
-4.907007	-1.102510	0.000000
-4.950593	-1.151798	0.000000
-5.017518	-1.201638	0.000000
-5.000365	-1.251728	0.000000
-5.047044	-1.301965	0.000000
-5.093722	-1.352668	0.000000
-5.056324	-1.403419	0.000000
-5.062510	-1.454013	0.000000
-5.025112	-1.504451	0.000000
-4.987713	-1.554515	0.000000
-5.034392	-1.604626	0.000000
-5.037485	-1.654985	0.000000
-5.084164	-1.705593	0.000000
-5.043672	-1.756232	0.000000
-5.087257	-1.806887	0.000000
-5.090350	-1.857775	0.000000
-5.133936	-1.908896	0.000000
-5.224200	-1.960687	0.000000
-5.267785	-2.013147	0.000000
-5.270879	-2.065840	0.000000
-5.273972	-2.118565	0.000000
-5.317557	-2.171522	0.000000
-5.320651	-2.224713	0.000000
-5.323744	-2.277935	0.000000
-5.326837	-2.331188	0.000000
