OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
11.000000	14.000000	20.000000	48.000000	1.000000	0.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
82.300115	80.632989	19.850000	3273924.749998	0.000000	0.000000
82.300115	80.524026	20.000000	3273944.749998	0.000000	0.000000
82.300115	80.415062	119.950000	3274064.699998	0.000000	0.000000
82.198885	80.306099	16.750000	3274081.449998	0.000000	0.000000
82.198885	80.306099	6.850000	3274088.299998	0.000000	0.000000
82.198885	80.306099	11.600000	3274099.899998	0.000000	0.000000
82.198885	80.306099	4.650000	3274104.549998	0.000000	0.000000
82.300115	80.306099	6.850000	3274111.399998	0.000000	0.000000
82.198885	80.415062	19.150000	3274130.549998	0.000000	0.000000
82.198885	80.415062	20.350000	3274150.899998	0.000000	0.000000
82.198885	80.415062	19.950000	3274170.849998	0.000000	0.000000
82.300115	80.306099	19.900000	3274190.749998	0.000000	0.000000
82.198885	80.306099	20.400000	3274211.149998	0.000000	0.000000
82.198885	80.306099	19.750000	3274230.899998	0.000000	0.000000
82.198885	80.415062	20.450000	3274251.349998	0.000000	0.000000
82.198885	80.415062	112.700000	3274364.049998	0.000000	0.000000
82.198885	80.415062	4.700000	3274368.749998	0.000000	0.000000
82.198885	80.415062	7.100000	3274375.849998	0.000000	0.000000
82.198885	80.415062	12.350000	3274388.199998	0.000000	0.000000
82.198885	80.415062	6.050000	3274394.249998	0.000000	0.000000
82.198885	80.415062	19.750000	3274413.999998	0.000000	0.000000
82.198885	80.415062	19.900000	3274433.899998	0.000000	0.000000
82.198885	80.415062	19.850000	3274453.749998	0.000000	0.000000
82.198885	80.415062	19.950000	3274473.699998	0.000000	0.000000
82.198885	80.415062	20.400000	3274494.099998	0.000000	0.000000
82.198885	80.415062	19.800000	3274513.899998	0.000000	0.000000
82.198885	80.415062	20.350000	3274534.249998	0.000000	0.000000
82.198885	80.415062	19.700000	3274553.949998	0.000000	0.000000
82.198885	80.415062	19.850000	3274573.799998	0.000000	0.000000
82.300115	80.415062	19.950000	3274593.749998	0.000000	0.000000
82.300115	80.415062	20.300000	3274614.049998	0.000000	0.000000
82.300115	80.415062	19.950000	3274633.999998	0.000000	0.000000
82.401345	80.415062	19.850000	3274653.849998	0.000000	0.000000
82.401345	80.415062	19.950000	3274673.799998	0.000000	0.000000
82.401345	80.415062	19.900000	3274693.699998	0.000000	0.000000
82.401345	80.415062	20.300000	3274713.999998	0.000000	0.000000
82.401345	80.415062	19.950000	3274733.949998	0.000000	0.000000
82.401345	80.415062	19.850000	3274753.799998	0.000000	0.000000
82.401345	80.415062	19.950000	3274773.749998	0.000000	0.000000
82.401345	80.415062	20.300000	3274794.049998	0.000000	0.000000
82.401345	80.415062	19.900000	3274813.949998	0.000000	0.000000
82.502575	80.415062	19.900000	3274833.849998	0.000000	0.000000
82.502575	80.415062	19.950000	3274853.799998	0.000000	0.000000
82.502575	80.415062	19.900000	3274873.699998	0.000000	0.000000
82.502575	80.415062	20.350000	3274894.049998	0.000000	0.000000
82.502575	80.415062	19.900000	3274913.949998	0.000000	0.000000
82.502575	80.415062	20.300000	3274934.249998	0.000000	0.000000
82.502575	80.415062	20.550000	3274954.799998	0.000000	0.000000
82.502575	80.415062	19.050000	3274973.849998	0.000000	0.000000
82.502575	80.088172	20.300000	3274994.149998	0.000000	0.000000
82.502575	80.088172	19.900000	3275014.049998	0.000000	0.000000
82.502575	80.088172	19.950000	3275033.999998	0.000000	0.000000
82.502575	80.197135	19.900000	3275053.899998	0.000000	0.000000
82.603806	80.197135	19.900000	3275073.799998	0.000000	0.000000
82.603806	80.197135	20.300000	3275094.099998	0.000000	0.000000
82.603806	80.197135	19.900000	3275113.999998	0.000000	0.000000
82.603806	80.197135	19.900000	3275133.899998	0.000000	0.000000
82.603806	80.306099	19.900000	3275153.799998	0.000000	0.000000
82.603806	80.306099	20.300000	3275174.099998	0.000000	0.000000
82.603806	80.306099	19.950000	3275194.049998	0.000000	0.000000
82.603806	80.306099	19.900000	3275213.949998	0.000000	0.000000
82.705036	80.306099	20.450000	3275234.399998	0.000000	0.000000
82.705036	80.306099	19.700000	3275254.099998	0.000000	0.000000
82.705036	80.306099	19.850000	3275273.949998	0.000000	0.000000
82.806266	80.306099	19.900000	3275293.849998	0.000000	0.000000
82.806266	80.306099	19.900000	3275313.749998	0.000000	0.000000
82.806266	80.088172	20.300000	3275334.049998	0.000000	0.000000
82.806266	80.088172	19.900000	3275353.949998	0.000000	0.000000
82.806266	80.142653	19.900000	3275373.849998	0.000000	0.000000
82.907496	80.197135	19.950000	3275393.799998	0.000000	0.000000
82.907496	80.197135	20.400000	3275414.199998	0.000000	0.000000
