P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,400000	0,200000	0,000000	10,000000	8,000000	25,000000	25,000000	1,000000	1,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5580758,700003	0,000199	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,500000	0,000000	0,000000	5580779,200003	0,000205	0,000447	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,750000	0,000000	0,000000	5580798,950003	0,000197	0,000430	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5580818,850003	0,000199	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5580838,750003	0,000199	0,000434	0,043584	0,000000
-0,163442	0,000000	0,000000	0,163442	19,900000	0,000000	0,000000	5580858,650003	0,000199	0,000542	0,065377	0,000000
-0,108961	0,000000	0,000000	0,108961	20,350000	0,000000	0,000000	5580879,000003	0,000203	0,000554	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5580898,900003	0,000199	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5580918,800003	0,000199	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,950000	0,000000	0,000000	5580938,750003	0,000199	0,000435	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5580958,650003	0,000199	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,300000	0,000000	0,000000	5580978,950003	0,000203	0,000442	0,043584	0,000000
-0,163442	0,000000	0,000000	0,163442	19,850000	0,000000	0,000000	5580998,800003	0,000198	0,000541	0,065377	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5581018,700003	0,000199	0,000542	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,350000	0,000000	0,000000	5581039,050003	0,000203	0,000443	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,700000	0,000000	0,000000	5581059,750003	0,000207	0,000451	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,100000	0,000000	0,000000	5581078,850003	0,000191	0,000416	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,850000	0,000000	0,000000	5581098,700003	0,000198	0,000433	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,300000	0,000000	0,000000	5581119,000003	0,000203	0,000442	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,950000	0,000000	0,000000	5581138,950003	0,000199	0,000435	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5581158,850003	0,000199	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5581178,750003	0,000199	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,950000	0,000000	0,000000	5581198,700003	0,000199	0,000435	0,043584	0,000000
-0,217922	0,000000	0,000000	0,217922	20,400000	0,000000	0,000000	5581219,100003	0,000204	0,000667	0,087169	0,000000
-0,108961	0,000000	0,000000	0,108961	19,850000	0,000000	0,000000	5581238,950003	0,000198	0,000649	0,043584	0,000000
