P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0.400000	0.200000	0.000000	10.000000	8.000000	25.000000	25.000000	1.000000	1.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0.217922	0.000000	0.000000	0.217922	19.900000	0.000000	0.000000	5981609.750004	0.000199	0.000867	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	19.900000	0.000000	0.000000	5981629.650004	0.000199	0.000867	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	30.200000	0.000000	0.000000	5981659.850004	0.000302	0.001316	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	19.900000	0.000000	0.000000	5981679.750004	0.000199	0.000867	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	19.950000	0.000000	0.000000	5981699.700004	0.000199	0.000870	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	19.900000	0.000000	0.000000	5981719.600004	0.000199	0.000867	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	20.300000	0.000000	0.000000	5981739.900004	0.000203	0.000885	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	19.950000	0.000000	0.000000	5981759.850004	0.000199	0.000870	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	19.850000	0.000000	0.000000	5981779.700004	0.000198	0.000865	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	19.950000	0.000000	0.000000	5981799.650004	0.000199	0.000870	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	20.300000	0.000000	0.000000	5981819.950004	0.000203	0.000885	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	19.950000	0.000000	0.000000	5981839.900004	0.000199	0.000870	0.087169	0.000000
-0.217922	0.000000	0.000000	0.217922	19.900000	0.000000	0.000000	5981859.800004	0.000199	0.000867	0.087169	0.000000
