PID
Kp	Ki	Kd
0.400000	0.200000	0.000000
SaidaP	SaidaI	SaidaD
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.688365	-0.006884	0.000000
-0.568965	-0.006977	0.000000
-0.449565	-0.007129	0.000000
-0.327165	-0.007305	0.000000
-0.208065	-0.007466	0.000000
-0.085665	-0.007576	0.000000
0.033435	-0.007600	0.000000
0.153435	-0.007501	0.000000
0.300435	-0.007221	0.000000
0.419835	-0.006722	0.000000
0.586935	-0.005920	0.000000
0.709335	-0.004787	0.000000
0.838335	-0.003310	0.000000
0.953535	-0.001472	0.000000
1.076835	0.000768	0.000000
1.195935	0.003445	0.000000
1.405635	0.006850	0.000000
1.520235	0.010889	0.000000
1.652835	0.015532	0.000000
1.774635	0.020808	0.000000
1.894335	0.026730	0.000000
2.018235	0.033349	0.000000
2.028159	0.040526	0.000000
2.179359	0.048387	0.000000
2.323667	0.057320	0.000000
2.446367	0.067148	0.000000
2.555867	0.077797	0.000000
2.677667	0.089337	0.000000
2.797367	0.101819	0.000000
2.919167	0.115287	0.000000
3.038267	0.129766	0.000000
3.157967	0.145288	0.000000
3.241975	0.161819	0.000000
3.359275	0.179354	0.000000
3.437883	0.197916	0.000000
3.519191	0.217443	0.000000
3.638891	0.238071	0.000000
3.720198	0.259838	0.000000
3.838998	0.282758	0.000000
3.973098	0.307099	0.000000
4.011514	0.332574	0.000000
4.090422	0.359028	0.000000
4.172030	0.386636	0.000000
4.301330	0.415634	0.000000
4.370638	0.445907	0.000000
4.490038	0.477500	0.000000
4.572546	0.510509	0.000000
4.692546	0.544951	0.000000
4.773854	0.580862	0.000000
4.897754	0.618300	0.000000
4.966762	0.657160	0.000000
5.089462	0.697546	0.000000
5.168370	0.739508	0.000000
5.250578	0.782928	0.000000
5.332486	0.827841	0.000000
5.456986	0.874469	0.000000
5.535894	0.922798	0.000000
5.617202	0.972679	0.000000
5.655318	1.023934	0.000000
5.746833	1.077007	0.000000
5.776249	1.131439	0.000000
5.864457	1.187362	0.000000
5.943365	1.244970	0.000000
6.024673	1.304270	0.000000
6.103581	1.365269	0.000000
6.118613	1.428092	0.000000
6.197221	1.492314	0.000000
6.305229	1.558669	0.000000
6.374837	1.626840	0.000000
6.453745	1.696766	0.000000
6.576745	1.768794	0.000000
6.655652	1.842926	0.000000
6.713876	1.919328	0.000000
6.787984	1.997453	0.000000
6.871992	2.077556	0.000000
6.918208	2.159519	0.000000
6.947324	2.242884	0.000000
6.981240	2.327628	0.000000
7.055064	2.414741	0.000000
7.093180	2.503601	0.000000
7.185441	2.594646	0.000000
7.283095	2.687968	0.000000
7.402195	2.783782	0.000000
7.443611	2.881778	0.000000
7.518035	2.982371	0.000000
7.595143	3.085093	0.000000
7.707351	3.190563	0.000000
7.781759	3.298431	0.000000
7.823775	3.408309	0.000000
7.822299	3.519647	0.000000
7.767738	3.632027	0.000000
7.758762	3.745040	0.000000
7.719794	3.858895	0.000000
7.757010	3.973879	0.000000
7.754934	4.090283	0.000000
7.755857	4.207865	0.000000
7.740297	4.327145	0.000000
7.738221	4.447445	0.000000
7.825829	4.569656	0.000000
7.944929	4.694664	0.000000
8.019037	4.822347	0.000000
8.016661	4.951797	0.000000
8.016984	5.082451	0.000000
7.996940	5.215581	0.000000
7.989148	5.348806	0.000000
7.938788	5.483060	0.000000
7.891419	5.617625	0.000000
7.771467	5.751972	0.000000
7.688107	5.885725	0.000000
7.569970	6.019698	0.000000
7.486610	6.153022	0.000000
7.392004	6.285961	0.000000
7.329189	6.418593	0.000000
7.246129	6.550998	0.000000
7.247353	6.683771	0.000000
7.203884	6.817227	0.000000
7.202108	6.951343	0.000000
7.154440	7.086024	0.000000
7.155364	7.221362	0.000000
7.157788	7.357840	0.000000
7.153912	7.495356	0.000000
7.142551	7.634432	0.000000
7.062491	7.773707	0.000000
7.019623	7.912824	0.000000
6.981854	8.052231	0.000000
6.894594	8.191393	0.000000
6.809134	8.329825	0.000000
6.728773	8.467614	0.000000
6.645413	8.604733	0.000000
6.443277	8.739921	0.000000
6.279532	8.872282	0.000000
6.115488	9.002158	0.000000
5.913951	9.129124	0.000000
5.628131	9.251804	0.000000
5.304518	9.368840	0.000000
4.973705	9.479606	0.000000
4.728677	9.584890	0.000000
4.406264	9.684719	0.000000
4.120444	9.778535	0.000000
3.915607	9.867552	0.000000
3.473534	9.950353	0.000000
3.220398	10.025659	0.000000
2.835723	10.093791	0.000000
2.410556	10.152811	0.000000
2.046128	10.202949	0.000000
1.722191	10.245343	0.000000
1.195794	10.278170	0.000000
1.155302	10.304620	0.000000
0.952842	10.328336	0.000000
0.871858	10.348864	0.000000
0.750382	10.367114	0.000000
0.628906	10.382631	0.000000
0.466937	10.394960	0.000000
0.385953	10.404555	0.000000
0.345461	10.412783	0.000000
0.345461	10.420556	0.000000
0.345461	10.428329	0.000000
0.345461	10.436102	0.000000
0.345461	10.443875	0.000000
0.345461	10.451648	0.000000
0.345461	10.459420	0.000000
0.345461	10.467193	0.000000
0.345461	10.474966	0.000000
0.304969	10.482283	0.000000
0.264477	10.488690	0.000000
0.143001	10.493274	0.000000
0.021525	10.495125	0.000000
-0.059459	10.494698	0.000000
-0.140444	10.492449	0.000000
-0.221428	10.488378	0.000000
-0.302412	10.482485	0.000000
-0.464380	10.473858	0.000000
-0.504872	10.462954	0.000000
-0.545364	10.451139	0.000000
-0.585856	10.438413	0.000000
-0.626348	10.424776	0.000000
-0.745448	10.409445	0.000000
-0.909240	10.391081	0.000000
-1.028340	10.369721	0.000000
-1.129894	10.346092	0.000000
-1.228748	10.320446	0.000000
-1.348448	10.292615	0.000000
-1.530840	10.261778	0.000000
-1.644240	10.227998	0.000000
-1.807132	10.191542	0.000000
-1.967024	10.151959	0.000000
-2.129617	10.109306	0.000000
-2.248717	10.064046	0.000000
-2.363617	10.016699	0.000000
-2.558617	9.966770	0.000000
-2.677717	9.914044	0.000000
-2.843317	9.859024	0.000000
-2.957917	9.801626	0.000000
-3.081517	9.742339	0.000000
-3.201217	9.681133	0.000000
-3.320617	9.618084	0.000000
-3.492517	9.552951	0.000000
-3.611617	9.485566	0.000000
-3.764017	9.416307	0.000000
-3.882817	9.345070	0.000000
-4.002217	9.272202	0.000000
-4.116517	9.197754	0.000000
-4.195424	9.122155	0.000000
-4.318424	9.045374	0.000000
-4.437824	8.967060	0.000000
-4.560224	8.887272	0.000000
-4.668232	8.806297	0.000000
-4.785532	8.724039	0.000000
-4.914840	8.640664	0.000000
-4.944256	8.556606	0.000000
-4.905288	8.473386	0.000000
-4.948204	8.390895	0.000000
-5.065504	8.307798	0.000000
-5.158812	8.223808	0.000000
-5.239228	8.139439	0.000000
-5.327136	8.054553	0.000000
-5.399444	7.969136	0.000000
-5.481651	7.883323	0.000000
-5.558759	7.797065	0.000000
-5.637667	7.710423	0.000000
-5.712075	7.623411	0.000000
-5.834475	7.535772	0.000000
-5.953875	7.447178	0.000000
-6.040583	7.357989	0.000000
-6.114691	7.268475	0.000000
-6.195999	7.178753	0.000000
-6.320499	7.088505	0.000000
-6.414107	6.997752	0.000000
-6.526615	6.906767	0.000000
-6.644215	6.815133	0.000000
-6.718323	6.723122	0.000000
-6.797231	6.631065	0.000000
-6.919331	6.538687	0.000000
-7.033347	6.446419	0.000000
-7.150647	6.353661	0.000000
-7.253555	6.260754	0.000000
-7.332463	6.167762	0.000000
-7.414071	6.074873	0.000000
-7.596186	5.982791	0.000000
-7.605186	5.889622	0.000000
-7.675402	5.797411	0.000000
-7.752810	5.705446	0.000000
-7.877010	5.613493	0.000000
-7.911226	5.521745	0.000000
-7.993134	5.430538	0.000000
-8.084650	5.340070	0.000000
-8.166258	5.249869	0.000000
-8.204974	5.160224	0.000000
-8.263636	5.071275	0.000000
-8.322598	4.982931	0.000000
-8.364613	4.895333	0.000000
-8.445929	4.808792	0.000000
-8.484345	4.722899	0.000000
-8.522761	4.637884	0.000000
