P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	0,000000	0,000000	20,000000	12,000000	32,000000	18,000000	1,000000	0,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,108961	-0,404930	0,000000	0,404930	20,000000	0,000000	0,000000	2830109,300001	0,163389	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	19,600000	0,000000	0,000000	2830128,900001	0,163559	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	40,000000	0,000000	0,000000	2830168,900001	0,124313	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	62,400000	0,000000	0,000000	2830231,300001	0,166394	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	6,000000	0,000000	0,000000	2830237,300001	0,162458	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	5,800000	0,000000	0,000000	2830243,100001	0,121890	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	19,600000	0,000000	0,000000	2830262,700001	0,122669	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	20,600000	0,000000	0,000000	2830283,300001	0,163432	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	19,400000	0,000000	0,000000	2830302,700001	0,163543	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	20,400000	0,000000	0,000000	2830323,100001	0,122925	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	19,600000	0,000000	0,000000	2830342,700001	0,122669	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	20,400000	0,000000	0,000000	2830363,100001	0,122718	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	19,600000	0,000000	0,000000	2830382,700001	0,163361	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	20,600000	0,000000	0,000000	2830403,300001	0,163640	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	19,600000	0,000000	0,000000	2830422,900001	0,163559	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	20,400000	0,000000	0,000000	2830443,300001	0,122925	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	19,600000	0,000000	0,000000	2830462,900001	0,122669	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	20,400000	0,000000	0,000000	2830483,300001	0,163418	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	19,600000	0,000000	0,000000	2830502,900001	0,122868	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	20,400000	0,000000	0,000000	2830523,300001	0,122718	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	19,600000	0,000000	0,000000	2830542,900001	0,163361	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	20,600000	0,000000	0,000000	2830563,500001	0,122939	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	19,400000	0,000000	0,000000	2830582,900001	0,122657	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	20,600000	0,000000	0,000000	2830603,500001	0,163432	0,000000	0,000000	0,000000
0,000000	-0,303697	0,000000	0,303697	19,600000	0,000000	0,000000	2830623,100001	0,122868	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	20,400000	0,000000	0,000000	2830643,500001	0,122718	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	20,800000	0,000000	0,000000	2830664,300001	0,163446	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	18,200000	0,000000	0,000000	2830682,500001	0,163446	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	21,600000	0,000000	0,000000	2830704,100001	0,163721	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	18,600000	0,000000	0,000000	2830722,700001	0,163478	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	20,600000	0,000000	0,000000	2830743,300001	0,122939	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	19,400000	0,000000	0,000000	2830762,700001	0,122657	0,000000	0,000000	0,000000
0,108961	-0,404930	0,000000	0,404930	20,400000	0,000000	0,000000	2830783,100001	0,163418	0,000000	0,000000	0,000000
0,108961	-0,303697	0,000000	0,303697	19,600000	0,000000	0,000000	2830802,700001	0,122868	0,000000	0,000000	0,000000
