P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	20,000000	12,000000	32,000000	18,000000	1,000000	0,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1184363,300000	0,000000	-0,000204	0,000000	0,000000
0,108961	-0,101232	0,000000	0,101232	19,800000	0,000000	0,000000	1184383,100000	0,040693	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1184403,500000	0,000207	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	1184422,900000	0,000000	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	22,200000	0,000000	0,000000	1184445,100000	0,000000	-0,000222	0,000000	0,000000
0,108961	-0,101232	0,000000	0,101232	17,800000	0,000000	0,000000	1184462,900000	0,040673	0,000000	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1184483,500000	0,000209	0,000000	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1184503,100000	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1184523,500000	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1184543,100000	0,000000	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1184563,500000	0,000000	-0,000204	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1184583,100000	0,000000	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1184603,700000	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	1184623,100000	0,000000	-0,000194	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1184643,700000	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	1184663,100000	0,000000	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1184683,700000	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1184703,300000	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1184723,900000	0,000000	-0,000206	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	1184743,300000	0,000000	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1184763,700000	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1184783,300000	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1184803,900000	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1184823,500000	0,000000	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	1184842,900000	0,000000	-0,000194	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	21,000000	0,000000	0,000000	1184863,900000	0,000000	-0,000210	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,000000	0,000000	0,000000	1184882,900000	0,000000	-0,000190	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1184903,500000	0,000000	-0,000206	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1184923,100000	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1184943,500000	0,000000	-0,000204	0,000000	0,000000
0,108961	-0,101232	0,000000	0,101232	19,400000	0,000000	0,000000	1184962,900000	0,040689	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1184983,500000	0,000209	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1185003,100000	0,000000	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1185023,500000	0,000000	-0,000204	0,000000	0,000000
0,108961	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1185043,100000	0,040691	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1185063,700000	0,000209	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	1185083,100000	0,000000	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	1185103,700000	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	21,400000	0,000000	0,000000	1185125,100000	0,000000	-0,000214	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	18,600000	0,000000	0,000000	1185143,700000	0,000000	-0,000186	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1185163,300000	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1185183,700000	0,000000	-0,000204	0,000000	0,000000
0,108961	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1185203,300000	0,040691	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1185223,700000	0,000207	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,800000	0,000000	0,000000	1185243,500000	0,000000	-0,000198	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1185263,900000	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	1185283,300000	0,000000	-0,000194	0,000000	0,000000
