P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	4,000000	6,000000	25,000000	20,000000	1,000000	0,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,000000	-0,809860	0,000000	0,809860	19,900000	0,000000	0,000000	3381850,599998	0,326966	0,000199	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	20,300000	0,000000	0,000000	3381870,899998	0,327232	0,000203	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,950000	0,000000	0,000000	3381890,849998	0,327175	0,000199	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,900000	0,000000	0,000000	3381910,749998	0,327167	0,000199	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	20,750000	0,000000	0,000000	3381931,499998	0,327305	0,000207	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,100000	0,000000	0,000000	3381950,599998	0,327038	0,000191	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	20,350000	0,000000	0,000000	3381970,949998	0,327240	0,000203	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,850000	0,000000	0,000000	3381990,799998	0,327159	0,000198	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,900000	0,000000	0,000000	3382010,699998	0,327167	0,000199	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	20,500000	0,000000	0,000000	3382031,199998	0,327264	0,000205	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,650000	0,000000	0,000000	3382050,849998	0,327127	0,000196	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,900000	0,000000	0,000000	3382070,749998	0,327167	0,000199	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	21,200000	0,000000	0,000000	3382091,949998	0,327378	0,000212	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	18,950000	0,000000	0,000000	3382110,899998	0,327013	0,000189	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	20,400000	0,000000	0,000000	3382131,299998	0,327248	0,000204	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,700000	0,000000	0,000000	3382150,999998	0,327135	0,000197	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,900000	0,000000	0,000000	3382170,899998	0,327167	0,000199	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,950000	0,000000	0,000000	3382190,849998	0,327175	0,000199	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,850000	0,000000	0,000000	3382210,699998	0,327159	0,000198	0,000000	0,000000
0,000000	-0,809860	0,000000	0,809860	19,950000	0,000000	0,000000	3382230,649998	0,327175	0,000199	0,000000	0,000000
0,000000	-0,911092	0,000000	0,911092	19,950000	0,000000	0,000000	3382250,599998	0,367870	0,000199	0,000000	0,000000
0,000000	-1,012325	0,000000	1,012325	20,350000	0,000000	0,000000	3382270,949998	0,408844	0,000203	0,000000	0,000000
0,000000	-1,113557	0,000000	1,113557	19,850000	0,000000	0,000000	3382290,799998	0,449643	0,000198	0,000000	0,000000
0,000000	-1,164173	0,000000	1,164173	19,850000	0,000000	0,000000	3382310,649998	0,470191	0,000198	0,000000	0,000000
0,000000	-1,214790	0,000000	1,214790	20,000000	0,000000	0,000000	3382330,649998	0,490674	0,000200	0,000000	0,000000
0,000000	-1,214790	0,000000	1,214790	20,300000	0,000000	0,000000	3382350,949998	0,490848	0,000203	0,000000	0,000000
0,000000	-1,214790	0,000000	1,214790	19,850000	0,000000	0,000000	3382370,799998	0,490739	0,000198	0,000000	0,000000
0,000000	-1,214790	0,000000	1,214790	20,300000	0,000000	0,000000	3382391,099998	0,490848	0,000203	0,000000	0,000000
0,000000	-1,113557	0,000000	1,113557	19,900000	0,000000	0,000000	3382410,999998	0,450056	0,000199	0,000000	0,000000
0,000000	-1,012325	0,000000	1,012325	19,850000	0,000000	0,000000	3382430,849998	0,409150	0,000198	0,000000	0,000000
0,000000	-1,012325	0,000000	1,012325	19,900000	0,000000	0,000000	3382450,749998	0,408959	0,000199	0,000000	0,000000
0,000000	-1,012325	0,000000	1,012325	20,300000	0,000000	0,000000	3382471,049998	0,409040	0,000203	0,000000	0,000000
0,000000	-1,012325	0,000000	1,012325	19,850000	0,000000	0,000000	3382490,899998	0,408949	0,000198	0,000000	0,000000
0,000000	-1,012325	0,000000	1,012325	19,900000	0,000000	0,000000	3382510,799998	0,408959	0,000199	0,000000	0,000000
0,000000	-1,012325	0,000000	1,012325	19,900000	0,000000	0,000000	3382530,699998	0,408959	0,000199	0,000000	0,000000
0,000000	-1,012325	0,000000	1,012325	21,200000	0,000000	0,000000	3382551,899998	0,409222	0,000212	0,000000	0,000000
0,000000	-0,911092	0,000000	0,911092	19,000000	0,000000	0,000000	3382570,899998	0,368091	0,000190	0,000000	0,000000
0,000000	-0,708627	0,000000	0,708627	19,850000	0,000000	0,000000	3382590,749998	0,286666	0,000198	0,000000	0,000000
0,000000	-0,708627	0,000000	0,708627	19,900000	0,000000	0,000000	3382610,649998	0,286271	0,000199	0,000000	0,000000
0,000000	-0,607395	0,000000	0,607395	20,350000	0,000000	0,000000	3382630,999998	0,245636	0,000203	0,000000	0,000000
0,000000	-0,506162	0,000000	0,506162	19,900000	0,000000	0,000000	3382650,899998	0,204681	0,000199	0,000000	0,000000
0,000000	-0,506162	0,000000	0,506162	19,900000	0,000000	0,000000	3382670,799998	0,204479	0,000199	0,000000	0,000000
0,000000	-0,506162	0,000000	0,506162	19,850000	0,000000	0,000000	3382690,649998	0,204474	0,000198	0,000000	0,000000
0,000000	-0,506162	0,000000	0,506162	20,300000	0,000000	0,000000	3382710,949998	0,204520	0,000203	0,000000	0,000000
0,000000	-0,506162	0,000000	0,506162	19,850000	0,000000	0,000000	3382730,799998	0,204474	0,000198	0,000000	0,000000
0,000000	-0,506162	0,000000	0,506162	19,900000	0,000000	0,000000	3382750,699998	0,204479	0,000199	0,000000	0,000000
0,000000	-0,506162	0,000000	0,506162	20,300000	0,000000	0,000000	3382770,999998	0,204520	0,000203	0,000000	0,000000
0,000000	-0,506162	0,000000	0,506162	19,850000	0,000000	0,000000	3382790,849998	0,204474	0,000198	0,000000	0,000000
0,000000	-0,506162	0,000000	0,506162	19,900000	0,000000	0,000000	3382810,749998	0,204479	0,000199	0,000000	0,000000
