OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
9.000000	17.000000	30.000000	30.000000	0.000000	1.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
0.000000	0.000000	19.900000	2907045.900000	0.000000	0.000000
0.000000	0.000000	22.950000	2907068.850000	0.000000	0.000000
0.000000	0.000000	17.200000	2907086.050000	0.000000	0.000000
0.000000	0.000000	19.900000	2907105.950000	0.000000	0.000000
0.000000	0.000000	20.450000	2907126.400000	0.000000	0.000000
0.000000	0.000000	19.900000	2907146.300000	0.000000	0.000000
0.000000	0.000000	19.100000	2907165.400000	0.000000	0.000000
0.000000	0.000000	20.350000	2907185.750000	0.000000	0.000000
0.000000	0.000000	19.900000	2907205.650000	0.000000	0.000000
0.000000	0.000000	20.450000	2907226.100000	0.000000	0.000000
0.000000	0.000000	19.850000	2907245.950000	0.000000	0.000000
0.000000	0.000000	19.950000	2907265.900000	0.000000	0.000000
0.000000	0.000000	19.950000	2907285.850000	0.000000	0.000000
0.000000	0.000000	20.350000	2907306.200000	0.000000	0.000000
0.000000	0.000000	20.750000	2907326.950000	0.000000	0.000000
0.000000	0.000000	18.400000	2907345.350000	0.000000	0.000000
0.000000	0.000000	20.500000	2907365.850000	0.000000	0.000000
0.000000	0.000000	19.900000	2907385.750000	0.000000	0.000000
0.000000	0.000000	20.300000	2907406.050000	0.000000	0.000000
0.000000	0.000000	19.950000	2907426.000000	0.000000	0.000000
0.000000	0.000000	19.150000	2907445.150000	0.000000	0.000000
0.000000	0.000000	20.500000	2907465.650000	0.000000	0.000000
0.000000	0.000000	19.900000	2907485.550000	0.000000	0.000000
0.000000	0.000000	20.600000	2907506.150000	0.000000	0.000000
0.000000	0.000000	19.900000	2907526.050000	0.000000	0.000000
0.000000	0.000000	20.000000	2907546.050000	0.000000	0.000000
0.000000	0.000000	20.400000	2907566.450000	0.000000	0.000000
0.000000	0.000000	19.050000	2907585.500000	0.000000	0.000000
0.000000	0.000000	20.400000	2907605.900000	0.000000	0.000000
0.000000	0.000000	19.850000	2907625.750000	0.000000	0.000000
0.000000	0.000000	20.600000	2907646.350000	0.000000	0.000000
0.000000	0.000000	19.050000	2907665.400000	0.000000	0.000000
0.000000	0.000000	20.300000	2907685.700000	0.000000	0.000000
0.000000	0.000000	19.850000	2907705.550000	0.000000	0.000000
0.000000	0.000000	19.900000	2907725.450000	0.000000	0.000000
0.000000	0.000000	20.300000	2907745.750000	0.000000	0.000000
0.000000	0.000000	19.850000	2907765.600000	0.000000	0.000000
0.000000	0.000000	20.400000	2907786.000000	0.000000	0.000000
0.000000	0.000000	19.950000	2907805.950000	0.000000	0.000000
0.000000	0.000000	20.300000	2907826.250000	0.000000	0.000000
