OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
9.000000	17.000000	30.000000	30.000000	0.000000	1.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
0.000000	0.000000	20.350000	2710235.850000	0.000000	0.000000
0.000000	0.000000	22.100000	2710257.950000	0.000000	0.000000
0.000000	0.000000	122.350000	2710380.300000	0.000000	0.000000
0.000000	0.000000	11.950000	2710392.250000	0.000000	0.000000
0.000000	0.000000	12.750000	2710405.000000	0.000000	0.000000
0.000000	0.000000	9.350000	2710414.350000	0.000000	0.000000
0.000000	0.000000	10.300000	2710424.650000	0.000000	0.000000
0.000000	0.000000	10.300000	2710434.950000	0.000000	0.000000
0.000000	0.000000	19.900000	2710454.850000	0.000000	0.000000
0.000000	0.000000	20.400000	2710475.250000	0.000000	0.000000
0.000000	0.000000	19.900000	2710495.150000	0.000000	0.000000
0.000000	0.000000	22.000000	2710517.150000	0.000000	0.000000
0.000000	0.000000	19.100000	2710536.250000	0.000000	0.000000
0.000000	0.000000	19.050000	2710555.300000	0.000000	0.000000
0.000000	0.000000	19.100000	2710574.400000	0.000000	0.000000
0.000000	0.000000	20.650000	2710595.050000	0.000000	0.000000
0.000000	0.000000	19.900000	2710614.950000	0.000000	0.000000
0.000000	0.000000	20.650000	2710635.600000	0.000000	0.000000
0.000000	0.000000	19.850000	2710655.450000	0.000000	0.000000
0.000000	0.000000	19.150000	2710674.600000	0.000000	0.000000
0.000000	0.000000	19.900000	2710694.500000	0.000000	0.000000
0.000000	0.000000	20.350000	2710714.850000	0.000000	0.000000
0.000000	0.000000	20.300000	2710735.150000	0.000000	0.000000
0.000000	0.000000	19.850000	2710755.000000	0.000000	0.000000
0.000000	0.000000	22.050000	2710777.050000	0.000000	0.000000
0.000000	0.000000	18.250000	2710795.300000	0.000000	0.000000
0.000000	0.000000	20.400000	2710815.700000	0.000000	0.000000
0.000000	0.000000	19.700000	2710835.400000	0.000000	0.000000
0.000000	0.000000	19.550000	2710854.950000	0.000000	0.000000
0.000000	0.000000	19.900000	2710874.850000	0.000000	0.000000
0.000000	0.000000	20.450000	2710895.300000	0.000000	0.000000
0.000000	0.000000	19.900000	2710915.200000	0.000000	0.000000
0.000000	0.000000	20.000000	2710935.200000	0.000000	0.000000
0.000000	0.000000	20.350000	2710955.550000	0.000000	0.000000
0.000000	0.000000	19.950000	2710975.500000	0.000000	0.000000
0.000000	0.000000	19.050000	2710994.550000	0.000000	0.000000
0.000000	0.000000	20.500000	2711015.050000	0.000000	0.000000
0.000000	0.000000	22.050000	2711037.100000	0.000000	0.000000
0.000000	0.000000	18.150000	2711055.250000	0.000000	0.000000
0.000000	0.000000	20.350000	2711075.600000	0.000000	0.000000
0.000000	0.000000	19.100000	2711094.700000	0.000000	0.000000
0.000000	0.000000	20.400000	2711115.100000	0.000000	0.000000
0.000000	0.000000	19.900000	2711135.000000	0.000000	0.000000
0.000000	0.000000	19.850000	2711154.850000	0.000000	0.000000
0.000000	0.000000	20.300000	2711175.150000	0.000000	0.000000
0.000000	0.000000	21.500000	2711196.650000	0.000000	0.000000
0.000000	0.000000	19.600000	2711216.250000	0.000000	0.000000
0.000000	0.000000	20.350000	2711236.600000	0.000000	0.000000
0.000000	0.000000	19.000000	2711255.600000	0.000000	0.000000
0.000000	0.000000	19.900000	2711275.500000	0.000000	0.000000
0.000000	0.000000	21.200000	2711296.700000	0.000000	0.000000
0.000000	0.000000	19.050000	2711315.750000	0.000000	0.000000
0.000000	0.000000	20.300000	2711336.050000	0.000000	0.000000
0.000000	0.000000	19.950000	2711356.000000	0.000000	0.000000
0.000000	0.000000	20.300000	2711376.300000	0.000000	0.000000
0.000000	0.000000	19.950000	2711396.250000	0.000000	0.000000
0.000000	0.000000	19.600000	2711415.850000	0.000000	0.000000
0.000000	0.000000	19.850000	2711435.700000	0.000000	0.000000
0.000000	0.000000	19.950000	2711455.650000	0.000000	0.000000
0.000000	0.000000	20.350000	2711476.000000	0.000000	0.000000
0.000000	0.000000	19.950000	2711495.950000	0.000000	0.000000
0.000000	0.000000	20.650000	2711516.600000	0.000000	0.000000
0.000000	0.000000	19.050000	2711535.650000	0.000000	0.000000
0.000000	0.000000	19.900000	2711555.550000	0.000000	0.000000
0.000000	0.000000	20.350000	2711575.900000	0.000000	0.000000
0.000000	0.000000	19.900000	2711595.800000	0.000000	0.000000
0.000000	0.000000	21.900000	2711617.700000	0.000000	0.000000
0.000000	0.000000	19.800000	2711637.500000	0.000000	0.000000
0.000000	0.000000	41.450000	2711678.950000	0.000000	0.000000
0.000000	0.000000	2.100000	2711681.050000	0.000000	0.000000
0.000000	0.000000	24.650000	2711705.700000	0.000000	0.000000
0.000000	0.000000	19.550000	2711725.250000	0.000000	0.000000
0.000000	0.000000	19.850000	2711745.100000	0.000000	0.000000
0.000000	0.000000	19.900000	2711765.000000	0.000000	0.000000
0.000000	0.000000	20.300000	2711785.300000	0.000000	0.000000
0.000000	0.000000	19.900000	2711805.200000	0.000000	0.000000
0.000000	0.000000	20.400000	2711825.600000	0.000000	0.000000
0.000000	0.000000	19.050000	2711844.650000	0.000000	0.000000
0.000000	0.000000	22.150000	2711866.800000	0.000000	0.000000
0.000000	0.000000	18.250000	2711885.050000	0.000000	0.000000
0.000000	0.000000	20.000000	2711905.050000	0.000000	0.000000
0.000000	0.000000	19.900000	2711924.950000	0.000000	0.000000
0.000000	0.000000	20.400000	2711945.350000	0.000000	0.000000
0.000000	0.000000	20.400000	2711965.750000	0.000000	0.000000
0.000000	0.000000	19.700000	2711985.450000	0.000000	0.000000
0.000000	0.000000	19.950000	2712005.400000	0.000000	0.000000
0.000000	0.000000	19.550000	2712024.950000	0.000000	0.000000
0.000000	0.000000	20.550000	2712045.500000	0.000000	0.000000
0.000000	0.000000	19.900000	2712065.400000	0.000000	0.000000
0.000000	0.000000	19.950000	2712085.350000	0.000000	0.000000
0.000000	0.000000	20.300000	2712105.650000	0.000000	0.000000
0.000000	0.000000	21.550000	2712127.200000	0.000000	0.000000
0.000000	0.000000	17.500000	2712144.700000	0.000000	0.000000
0.000000	0.000000	19.900000	2712164.600000	0.000000	0.000000
0.000000	0.000000	19.950000	2712184.550000	0.000000	0.000000
0.000000	0.000000	20.450000	2712205.000000	0.000000	0.000000
0.000000	0.000000	19.900000	2712224.900000	0.000000	0.000000
0.000000	0.000000	19.900000	2712244.800000	0.000000	0.000000
0.000000	0.000000	20.650000	2712265.450000	0.000000	0.000000
0.000000	0.000000	19.700000	2712285.150000	0.000000	0.000000
0.000000	0.000000	19.900000	2712305.050000	0.000000	0.000000
0.000000	0.000000	20.600000	2712325.650000	0.000000	0.000000
0.000000	0.000000	19.100000	2712344.750000	0.000000	0.000000
0.000000	0.000000	19.950000	2712364.700000	0.000000	0.000000
0.000000	0.000000	22.000000	2712386.700000	0.000000	0.000000
0.000000	0.000000	18.300000	2712405.000000	0.000000	0.000000
0.000000	0.000000	19.850000	2712424.850000	0.000000	0.000000
0.000000	0.000000	20.700000	2712445.550000	0.000000	0.000000
0.000000	0.000000	20.650000	2712466.200000	0.000000	0.000000
0.000000	0.000000	18.750000	2712484.950000	0.000000	0.000000
0.000000	0.000000	19.850000	2712504.800000	0.000000	0.000000
0.000000	0.000000	20.400000	2712525.200000	0.000000	0.000000
0.000000	0.000000	19.850000	2712545.050000	0.000000	0.000000
0.000000	0.000000	20.400000	2712565.450000	0.000000	0.000000
0.000000	0.000000	19.900000	2712585.350000	0.000000	0.000000
