P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	33,000000	19,000000	40,000000	27,000000	1,000000	1,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,000000	0,101232	0,000000	0,000000	19,400000	0,000000	0,000000	4770748,199999	-0,000211	-0,000019	0,000000	0,000000
-0,108961	0,101232	0,000000	0,108961	20,600000	0,000000	0,000000	4770768,799999	0,043809	0,000000	0,000000	0,000000
-0,217922	0,101232	0,000000	0,217922	19,400000	0,000000	0,000000	4770788,199999	0,087803	0,000019	0,000000	0,000000
-0,326883	0,101232	0,000000	0,326883	20,600000	0,000000	0,000000	4770808,799999	0,131876	0,000021	0,000000	0,000000
-0,435844	0,101232	0,000000	0,435844	19,600000	0,000000	0,000000	4770828,399999	0,175833	0,000020	0,000000	0,000000
-0,435844	0,101232	0,000000	0,435844	20,400000	0,000000	0,000000	4770848,799999	0,176116	0,000020	0,000000	0,000000
-0,435844	0,101232	0,000000	0,435844	19,600000	0,000000	0,000000	4770868,399999	0,176046	0,000020	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	20,600000	0,000000	0,000000	4770888,999999	0,219942	0,000021	0,000000	0,000000
-0,435844	0,101232	0,000000	0,435844	19,400000	0,000000	0,000000	4770908,399999	0,176240	0,000019	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	20,600000	0,000000	0,000000	4770928,999999	0,219942	0,000021	0,000000	0,000000
-0,435844	0,101232	0,000000	0,435844	19,400000	0,000000	0,000000	4770948,399999	0,176240	0,000019	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	19,600000	0,000000	0,000000	4770967,999999	0,219844	0,000020	0,000000	0,000000
-0,435844	0,101232	0,000000	0,435844	20,600000	0,000000	0,000000	4770988,599999	0,176358	0,000021	0,000000	0,000000
-0,544805	0,000000	0,000000	0,544805	19,400000	0,000000	0,000000	4771007,999999	0,219824	0,000019	0,000000	0,000000
-0,544805	0,000000	0,000000	0,544805	20,600000	0,000000	0,000000	4771028,599999	0,220167	0,000021	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	19,400000	0,000000	0,000000	4771047,999999	0,220036	0,000019	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	20,600000	0,000000	0,000000	4771068,599999	0,220167	0,000021	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	19,800000	0,000000	0,000000	4771088,399999	0,220079	0,000020	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	20,200000	0,000000	0,000000	4771108,599999	0,220123	0,000020	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	19,600000	0,000000	0,000000	4771128,199999	0,220058	0,000020	0,000000	0,000000
