P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,400000	0,200000	0,000000	9,000000	10,000000	13,000000	14,000000	1,000000	0,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,108961	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	12617714,900025	0,000198	0,000402	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	20,400000	0,000000	0,000000	12617735,300025	0,000204	0,000413	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12617755,200025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12617775,100025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12617795,000025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	20,350000	0,000000	0,000000	12617815,350025	0,000203	0,000412	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	12617835,200025	0,000198	0,000402	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12617855,100025	0,000199	0,000403	0,040493	0,000000
0,054481	-0,101232	0,000000	0,101232	19,950000	0,000000	0,000000	12617875,050025	0,000199	0,000404	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,950000	0,000000	0,000000	12617895,000025	0,000199	0,000404	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	20,350000	0,000000	0,000000	12617915,350025	0,000203	0,000412	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	12617935,200025	0,000198	0,000402	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12617955,100025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	20,300000	0,000000	0,000000	12617975,400025	0,000203	0,000411	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12617995,300025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12618015,200025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	12618035,050025	0,000198	0,000402	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	20,300000	0,000000	0,000000	12618055,350025	0,000203	0,000411	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	12618075,200025	0,000198	0,000402	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12618095,100025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	22,050000	0,000000	0,000000	12618117,150025	0,000220	0,000446	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	18,200000	0,000000	0,000000	12618135,350025	0,000182	0,000368	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12618155,250025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12618175,150025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	20,350000	0,000000	0,000000	12618195,500025	0,000203	0,000412	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	12618215,350025	0,000198	0,000402	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	12618235,200025	0,000198	0,000402	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,950000	0,000000	0,000000	12618255,150025	0,000199	0,000404	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12618275,050025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	20,300000	0,000000	0,000000	12618295,350025	0,000203	0,000411	0,040493	0,000000
0,000000	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	12618315,200025	0,000198	0,000402	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12618335,100025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	20,350000	0,000000	0,000000	12618355,450025	0,000203	0,000412	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12618375,350025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12618395,250025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,950000	0,000000	0,000000	12618415,200025	0,000199	0,000404	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	12618435,100025	0,000199	0,000403	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	20,300000	0,000000	0,000000	12618455,400025	0,000203	0,000411	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	19,000000	0,000000	0,000000	12618474,400025	0,000190	0,000385	0,040493	0,000000
0,108961	-0,101232	0,000000	0,101232	429,500000	0,000000	0,000000	12618903,900025	0,004295	0,008696	0,040493	0,000000
0,000000	0,000000	0,000000	0,000000	91,550000	0,000000	0,000000	12618995,450025	0,000000	0,000927	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	12619015,050025	-0,000196	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,150000	0,000000	0,000000	12619034,200025	-0,000191	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,350000	0,000000	0,000000	12619054,550025	-0,000203	0,000000	0,000000	0,000000
