P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0.400000	0.200000	0.000000	9.000000	10.000000	13.000000	14.000000	1.000000	0.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0.108961	0.101232	0.000000	-0.101232	19.950000	0.000000	0.000000	12076371.400024	-0.000199	-0.000404	-0.040493	0.000000
0.108961	0.101232	0.000000	-0.101232	20.350000	0.000000	0.000000	12076391.750024	-0.000203	-0.000412	-0.040493	0.000000
0.217922	0.101232	0.000000	-0.101232	19.950000	0.000000	0.000000	12076411.700024	-0.000199	-0.000404	-0.040493	0.000000
0.108961	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	12076431.600024	-0.000199	-0.000403	-0.040493	0.000000
0.108961	0.101232	0.000000	-0.101232	19.050000	0.000000	0.000000	12076450.650024	-0.000190	-0.000386	-0.040493	0.000000
0.217922	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	12076470.550024	-0.000199	-0.000403	-0.040493	0.000000
0.217922	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	12076490.450024	-0.000199	-0.000403	-0.040493	0.000000
0.217922	0.101232	0.000000	-0.101232	20.300000	0.000000	0.000000	12076510.750024	-0.000203	-0.000411	-0.040493	0.000000
0.217922	0.101232	0.000000	-0.101232	19.950000	0.000000	0.000000	12076530.700024	-0.000199	-0.000404	-0.040493	0.000000
0.217922	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	12076550.600024	-0.000199	-0.000403	-0.040493	0.000000
0.217922	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	12076570.500024	-0.000199	-0.000403	-0.040493	0.000000
0.217922	0.101232	0.000000	-0.101232	20.300000	0.000000	0.000000	12076590.800024	-0.000203	-0.000411	-0.040493	0.000000
0.217922	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	12076610.700024	-0.000199	-0.000403	-0.040493	0.000000
0.217922	0.202465	0.000000	-0.202465	19.900000	0.000000	0.000000	12076630.600024	-0.000199	-0.000604	-0.080986	0.000000
0.217922	0.202465	0.000000	-0.202465	19.850000	0.000000	0.000000	12076650.450024	-0.000198	-0.000804	-0.080986	0.000000
0.326883	0.303697	0.000000	-0.303697	20.300000	0.000000	0.000000	12076670.750024	-0.000203	-0.001028	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	19.950000	0.000000	0.000000	12076690.700024	-0.000199	-0.001212	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	12076710.600024	-0.000199	-0.001209	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	12076730.500024	-0.000199	-0.001209	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	20.300000	0.000000	0.000000	12076750.800024	-0.000203	-0.001233	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	19.850000	0.000000	0.000000	12076770.650024	-0.000198	-0.001206	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	19.850000	0.000000	0.000000	12076790.500024	-0.000198	-0.001206	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	20.000000	0.000000	0.000000	12076810.500024	-0.000200	-0.001215	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	20.300000	0.000000	0.000000	12076830.800024	-0.000203	-0.001233	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	19.850000	0.000000	0.000000	12076850.650024	-0.000198	-0.001206	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	12076870.550024	-0.000199	-0.001209	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	12076890.450024	-0.000199	-0.001209	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	20.300000	0.000000	0.000000	12076910.750024	-0.000203	-0.001233	-0.121479	0.000000
0.326883	0.303697	0.000000	-0.303697	19.850000	0.000000	0.000000	12076930.600024	-0.000198	-0.001206	-0.121479	0.000000
0.217922	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	12076950.500024	-0.000199	-0.001209	-0.121479	0.000000
0.217922	0.404930	0.000000	-0.404930	19.950000	0.000000	0.000000	12076970.450024	-0.000199	-0.001414	-0.161972	0.000000
0.217922	0.506162	0.000000	-0.506162	19.950000	0.000000	0.000000	12076990.400024	-0.000199	-0.001818	-0.202465	0.000000
0.217922	0.506162	0.000000	-0.506162	20.400000	0.000000	0.000000	12077010.800024	-0.000204	-0.002065	-0.202465	0.000000
0.217922	0.506162	0.000000	-0.506162	19.900000	0.000000	0.000000	12077030.700024	-0.000199	-0.002015	-0.202465	0.000000
0.108961	0.506162	0.000000	-0.506162	19.900000	0.000000	0.000000	12077050.600024	-0.000199	-0.002015	-0.202465	0.000000
0.108961	0.506162	0.000000	-0.506162	19.850000	0.000000	0.000000	12077070.450024	-0.000198	-0.002009	-0.202465	0.000000
0.000000	0.404930	0.000000	-0.404930	20.400000	0.000000	0.000000	12077090.850024	-0.000204	-0.001859	-0.161972	0.000000
0.000000	0.506162	0.000000	-0.506162	19.900000	0.000000	0.000000	12077110.750024	-0.000199	-0.001813	-0.202465	0.000000
-0.108961	0.506162	0.000000	-0.506162	19.850000	0.000000	0.000000	12077130.600024	-0.000198	-0.002009	-0.202465	0.000000
-0.217922	0.101232	0.000000	-0.101232	429.500000	0.000000	0.000000	12077560.100024	-0.004295	-0.026088	-0.040493	0.000000
0.108961	0.000000	0.000000	0.000000	90.800000	0.000000	0.000000	12077650.900024	-0.000908	-0.000919	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12077670.800024	-0.000199	0.000000	0.000000	0.000000
0.217922	0.000000	0.000000	0.000000	19.850000	0.000000	0.000000	12077690.650024	-0.000198	0.000000	0.000000	0.000000
0.217922	-0.101232	0.000000	0.101232	19.900000	0.000000	0.000000	12077710.550024	0.000000	0.000201	0.040493	0.000000
0.217922	-0.101232	0.000000	0.101232	20.300000	0.000000	0.000000	12077730.850024	0.000203	0.000411	0.040493	0.000000
0.217922	-0.101232	0.000000	0.101232	19.950000	0.000000	0.000000	12077750.800024	0.000199	0.000404	0.040493	0.000000
0.217922	-0.101232	0.000000	0.101232	20.300000	0.000000	0.000000	12077771.100024	0.000203	0.000411	0.040493	0.000000
0.217922	-0.101232	0.000000	0.101232	21.450000	0.000000	0.000000	12077792.550024	0.000214	0.000434	0.040493	0.000000
0.217922	-0.101232	0.000000	0.101232	18.250000	0.000000	0.000000	12077810.800024	0.000182	0.000369	0.040493	0.000000
0.217922	-0.101232	0.000000	0.101232	19.950000	0.000000	0.000000	12077830.750024	0.000199	0.000404	0.040493	0.000000
0.217922	-0.101232	0.000000	0.101232	19.850000	0.000000	0.000000	12077850.600024	0.000198	0.000402	0.040493	0.000000
0.000000	-0.202465	0.000000	0.202465	429.600000	0.000000	0.000000	12078280.200024	0.004296	0.013047	0.080986	0.000000
0.000000	0.000000	0.000000	0.000000	90.350000	0.000000	0.000000	12078370.550024	0.000000	0.001829	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.450000	0.000000	0.000000	12078391.000024	-0.000204	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.850000	0.000000	0.000000	12078410.850024	-0.000198	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.950000	0.000000	0.000000	12078430.800024	-0.000199	0.000000	0.000000	0.000000
0.000000	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	12078450.700024	-0.000199	-0.000201	-0.040493	0.000000
0.000000	0.000000	0.000000	0.000000	19.950000	0.000000	0.000000	12078470.650024	-0.000199	-0.000202	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.400000	0.000000	0.000000	12078491.050024	-0.000204	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	21.900000	0.000000	0.000000	12078512.950024	-0.000219	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	18.000000	0.000000	0.000000	12078530.950024	-0.000180	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.850000	0.000000	0.000000	12078550.800024	-0.000198	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078570.700024	-0.000199	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.300000	0.000000	0.000000	12078591.000024	-0.000203	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078610.900024	-0.000199	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.950000	0.000000	0.000000	12078630.850024	-0.000199	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078650.750024	-0.000199	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.000000	0.000000	0.000000	12078670.750024	-0.000200	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078690.650024	-0.000199	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.950000	0.000000	0.000000	12078710.600024	-0.000199	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	20.400000	0.000000	0.000000	12078731.000024	-0.000204	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078750.900024	-0.000199	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078770.800024	-0.000199	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078790.700024	-0.000199	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.950000	0.000000	0.000000	12078810.650024	-0.000199	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	20.300000	0.000000	0.000000	12078830.950024	-0.000203	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.850000	0.000000	0.000000	12078850.800024	-0.000198	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078870.700024	-0.000199	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	20.400000	0.000000	0.000000	12078891.100024	-0.000204	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078911.000024	-0.000199	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.850000	0.000000	0.000000	12078930.850024	-0.000198	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12078950.750024	-0.000199	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	22.000000	0.000000	0.000000	12078972.750024	-0.000220	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	18.250000	0.000000	0.000000	12078991.000024	-0.000182	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12079010.900024	-0.000199	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12079030.800024	-0.000199	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	12079050.700024	-0.000199	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	20.400000	0.000000	0.000000	12079071.100024	-0.000204	0.000000	0.000000	0.000000
0.108961	0.000000	0.000000	0.000000	19.850000	0.000000	0.000000	12079090.950024	-0.000198	0.000000	0.000000	0.000000
