P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	5,000000	10,000000	20,000000	20,000000	1,000000	0,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,000000	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	1448351,300000	0,040896	0,002015	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	20,000000	0,000000	0,000000	1448371,300000	0,040898	0,002025	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1448391,700000	0,000207	0,001033	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	1448411,550000	0,040694	0,001005	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	1448431,450000	0,040896	0,002015	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	1448451,350000	0,040896	0,002015	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	20,000000	0,000000	0,000000	1448471,350000	0,040898	0,002025	0,000000	0,000000
0,000000	-0,050616	0,000000	0,050616	20,400000	0,000000	0,000000	1448491,750000	0,020556	0,001549	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,800000	0,000000	0,000000	1448511,550000	0,040794	0,001503	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	1448531,400000	0,040895	0,002009	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	20,000000	0,000000	0,000000	1448551,400000	0,040898	0,002025	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,900000	0,000000	0,000000	1448571,300000	0,040896	0,002015	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	21,200000	0,000000	0,000000	1448592,500000	0,040922	0,002146	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,100000	0,000000	0,000000	1448611,600000	0,040880	0,001934	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,850000	0,000000	0,000000	1448631,450000	0,040895	0,002009	0,000000	0,000000
