P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,400000	0,200000	0,000000	10,000000	8,000000	25,000000	25,000000	1,000000	1,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5263490,250001	0,000000	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	21,200000	0,000000	0,000000	5263511,450001	0,000000	0,000462	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	31,850000	0,000000	0,000000	5263543,300001	0,000000	0,000694	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,850000	0,000000	0,000000	5263563,150001	0,000000	0,000433	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,100000	0,000000	0,000000	5263582,250001	0,000000	0,000416	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,950000	0,000000	0,000000	5263602,200001	0,000000	0,000435	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,850000	0,000000	0,000000	5263622,050001	0,000000	0,000433	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,400000	0,000000	0,000000	5263642,450001	0,000000	0,000445	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5263662,350001	0,000000	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,850000	0,000000	0,000000	5263682,200001	0,000000	0,000433	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,000000	0,000000	0,000000	5263702,200001	0,000000	0,000436	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,300000	0,000000	0,000000	5263722,500001	0,000000	0,000442	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5263742,400001	0,000000	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,950000	0,000000	0,000000	5263762,350001	0,000000	0,000435	0,043584	0,000000
-0,217922	0,000000	0,000000	0,217922	19,900000	0,000000	0,000000	5263782,250001	0,000000	0,000650	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,850000	0,000000	0,000000	5263802,100001	0,000000	0,000865	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	20,300000	0,000000	0,000000	5263822,400001	0,000000	0,000885	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,850000	0,000000	0,000000	5263842,250001	0,000000	0,000865	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,900000	0,000000	0,000000	5263862,150001	0,000000	0,000867	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	20,300000	0,000000	0,000000	5263882,450001	0,000000	0,000885	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,950000	0,000000	0,000000	5263902,400001	0,000000	0,000870	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,900000	0,000000	0,000000	5263922,300001	0,000000	0,000867	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,900000	0,000000	0,000000	5263942,200001	0,000000	0,000867	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	20,000000	0,000000	0,000000	5263962,200001	0,000000	0,000872	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	20,300000	0,000000	0,000000	5263982,500001	0,000000	0,000885	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,900000	0,000000	0,000000	5264002,400001	0,000000	0,000867	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	22,050000	0,000000	0,000000	5264024,450001	0,000000	0,000961	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	18,000000	0,000000	0,000000	5264042,450001	0,000000	0,000785	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,900000	0,000000	0,000000	5264062,350001	0,000000	0,000867	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,850000	0,000000	0,000000	5264082,200001	0,000000	0,000865	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	20,300000	0,000000	0,000000	5264102,500001	0,000000	0,000885	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,850000	0,000000	0,000000	5264122,350001	0,000000	0,000865	0,087169	0,000000
-0,163442	0,000000	0,000000	0,163442	19,850000	0,000000	0,000000	5264142,200001	0,000000	0,000757	0,065377	0,000000
-0,108961	0,000000	0,000000	0,108961	20,300000	0,000000	0,000000	5264162,500001	0,000000	0,000553	0,043584	0,000000
-0,217922	0,000000	0,000000	0,217922	21,450000	0,000000	0,000000	5264183,950001	0,000000	0,000701	0,087169	0,000000
-0,108961	0,000000	0,000000	0,108961	18,250000	0,000000	0,000000	5264202,200001	0,000000	0,000597	0,043584	0,000000
-0,217922	0,000000	0,000000	0,217922	20,000000	0,000000	0,000000	5264222,200001	0,000000	0,000654	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	20,300000	0,000000	0,000000	5264242,500001	0,000000	0,000885	0,087169	0,000000
-0,108961	0,000000	0,000000	0,108961	19,950000	0,000000	0,000000	5264262,450001	0,000000	0,000652	0,043584	0,000000
-0,217922	0,000000	0,000000	0,217922	20,700000	0,000000	0,000000	5264283,150001	0,000000	0,000677	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,050000	0,000000	0,000000	5264302,200001	0,000000	0,000830	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	20,300000	0,000000	0,000000	5264322,500001	0,000000	0,000885	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,950000	0,000000	0,000000	5264342,450001	0,000000	0,000870	0,087169	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5264362,350001	0,000000	0,000650	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5264382,250001	0,000000	0,000434	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,000000	0,000000	0,000000	5264402,250001	0,000000	0,000436	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,300000	0,000000	0,000000	5264422,550001	0,000000	0,000442	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5264442,450001	0,000000	0,000434	0,043584	0,000000
-0,217922	0,000000	0,000000	0,217922	19,950000	0,000000	0,000000	5264462,400001	0,000000	0,000652	0,087169	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5264482,300001	0,000000	0,000650	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,950000	0,000000	0,000000	5264502,250001	0,000000	0,000435	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	20,350000	0,000000	0,000000	5264522,600001	0,000000	0,000443	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,850000	0,000000	0,000000	5264542,450001	0,000000	0,000433	0,043584	0,000000
-0,108961	0,000000	0,000000	0,108961	19,900000	0,000000	0,000000	5264562,350001	0,000000	0,000434	0,043584	0,000000
-0,217922	0,000000	0,000000	0,217922	19,850000	0,000000	0,000000	5264582,200001	0,000000	0,000649	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	20,000000	0,000000	0,000000	5264602,200001	0,000000	0,000872	0,087169	0,000000
-0,326883	0,000000	0,000000	0,326883	20,300000	0,000000	0,000000	5264622,500001	0,000000	0,001106	0,130753	0,000000
-0,326883	0,000000	0,000000	0,326883	19,950000	0,000000	0,000000	5264642,450001	0,000000	0,001304	0,130753	0,000000
-0,326883	0,000000	0,000000	0,326883	19,900000	0,000000	0,000000	5264662,350001	0,000000	0,001301	0,130753	0,000000
-0,326883	0,000000	0,000000	0,326883	20,300000	0,000000	0,000000	5264682,650001	0,000000	0,001327	0,130753	0,000000
-0,326883	0,000000	0,000000	0,326883	19,850000	0,000000	0,000000	5264702,500001	0,000000	0,001298	0,130753	0,000000
-0,326883	0,000000	0,000000	0,326883	19,900000	0,000000	0,000000	5264722,400001	0,000000	0,001301	0,130753	0,000000
-0,326883	0,000000	0,000000	0,326883	19,850000	0,000000	0,000000	5264742,250001	0,000000	0,001298	0,130753	0,000000
-0,326883	0,000000	0,000000	0,326883	20,400000	0,000000	0,000000	5264762,650001	0,000000	0,001334	0,130753	0,000000
-0,217922	0,000000	0,000000	0,217922	19,850000	0,000000	0,000000	5264782,500001	0,000000	0,001081	0,087169	0,000000
-0,217922	0,000000	0,000000	0,217922	19,900000	0,000000	0,000000	5264802,400001	0,000000	0,000867	0,087169	0,000000
