P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	0,000000	0,000000	3,000000	3,000000	9,000000	8,000000	1,000000	1,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0,544805	0,000000	6,299250	6,844055	19,900000	0,000000	0,000000	3757872,999998	2,764267	0,000000	0,000000	6,299250
-0,544805	0,000000	6,607500	7,152305	20,550000	0,000000	0,000000	3757893,549998	2,889685	0,000000	0,000000	6,607500
-0,490325	0,000000	6,903000	7,393325	19,700000	0,000000	0,000000	3757913,249998	2,985985	0,000000	0,000000	6,903000
-0,544805	0,000000	7,212750	7,757555	20,650000	0,000000	0,000000	3757933,899998	3,134309	0,000000	0,000000	7,212750
-0,544805	0,000000	7,500000	8,044805	19,150000	0,000000	0,000000	3757953,049998	3,248184	0,000000	0,000000	7,500000
-0,544805	0,000000	7,804500	8,349305	20,300000	0,000000	0,000000	3757973,349998	3,373002	0,000000	0,000000	7,804500
-0,490325	0,000000	8,103000	8,593325	19,900000	0,000000	0,000000	3757993,249998	3,471046	0,000000	0,000000	8,103000
-0,544805	0,000000	8,401500	8,946305	19,900000	0,000000	0,000000	3758013,149998	3,613426	0,000000	0,000000	8,401500
-0,544805	0,000000	8,711250	9,256055	20,650000	0,000000	0,000000	3758033,799998	3,740010	0,000000	0,000000	8,711250
-0,544805	0,000000	8,998500	9,543305	19,150000	0,000000	0,000000	3758052,949998	3,853323	0,000000	0,000000	8,998500
-0,435844	0,000000	9,303000	9,738844	20,300000	0,000000	0,000000	3758073,249998	3,934680	0,000000	0,000000	9,303000
-0,544805	0,000000	9,612750	10,157555	20,650000	0,000000	0,000000	3758093,899998	4,104108	0,000000	0,000000	9,612750
-0,544805	0,000000	9,899250	10,444055	19,100000	0,000000	0,000000	3758112,999998	4,216971	0,000000	0,000000	9,899250
-0,435844	0,000000	10,197000	10,632844	19,850000	0,000000	0,000000	3758132,849998	4,294975	0,000000	0,000000	10,197000
-0,490325	0,000000	10,503000	10,993325	20,400000	0,000000	0,000000	3758153,249998	4,441447	0,000000	0,000000	10,503000
-0,435844	0,000000	10,801500	11,237344	19,900000	0,000000	0,000000	3758173,149998	4,539177	0,000000	0,000000	10,801500
-0,544805	0,000000	11,100000	11,644805	19,900000	0,000000	0,000000	3758193,049998	4,703458	0,000000	0,000000	11,100000
-0,544805	0,000000	11,397750	11,942555	19,850000	0,000000	0,000000	3758212,899998	4,823843	0,000000	0,000000	11,397750
-0,435844	0,000000	11,703000	12,138844	20,350000	0,000000	0,000000	3758233,249998	4,904543	0,000000	0,000000	11,703000
-0,435844	0,000000	12,001500	12,437344	19,900000	0,000000	0,000000	3758253,149998	5,023844	0,000000	0,000000	12,001500
-0,435844	0,000000	12,300000	12,735844	19,900000	0,000000	0,000000	3758273,049998	5,144432	0,000000	0,000000	12,300000
-0,544805	0,000000	12,599250	13,144055	19,950000	0,000000	0,000000	3758292,999998	5,309252	0,000000	0,000000	12,599250
-0,544805	0,000000	12,897000	13,441805	19,850000	0,000000	0,000000	3758312,849998	5,429495	0,000000	0,000000	12,897000
-0,544805	0,000000	13,202250	13,747055	20,350000	0,000000	0,000000	3758333,199998	5,554151	0,000000	0,000000	13,202250
-0,544805	0,000000	13,500750	14,045555	19,900000	0,000000	0,000000	3758353,099998	5,673529	0,000000	0,000000	13,500750
-0,490325	0,000000	13,799250	14,289575	19,900000	0,000000	0,000000	3758372,999998	5,772217	0,000000	0,000000	13,799250
-0,435844	0,000000	14,097750	14,533594	19,900000	0,000000	0,000000	3758392,899998	5,870796	0,000000	0,000000	14,097750
-0,435844	0,000000	14,402250	14,838094	20,300000	0,000000	0,000000	3758413,199998	5,994862	0,000000	0,000000	14,402250
-0,326883	0,000000	14,701500	15,028383	19,950000	0,000000	0,000000	3758433,149998	6,070937	0,000000	0,000000	14,701500
-0,326883	0,000000	15,000000	15,326883	19,900000	0,000000	0,000000	3758453,049998	6,191160	0,000000	0,000000	15,000000
-0,326883	0,000000	15,298500	15,625383	19,900000	0,000000	0,000000	3758472,949998	6,311748	0,000000	0,000000	15,298500
-0,326883	0,000000	15,603000	15,929883	20,300000	0,000000	0,000000	3758493,249998	6,436010	0,000000	0,000000	15,603000
-0,326883	0,000000	15,901500	16,228383	19,900000	0,000000	0,000000	3758513,149998	6,555348	0,000000	0,000000	15,901500
-0,326883	0,000000	16,200000	16,526883	19,900000	0,000000	0,000000	3758533,049998	6,675936	0,000000	0,000000	16,200000
-0,326883	0,000000	16,530750	16,857633	22,050000	0,000000	0,000000	3758555,099998	6,816666	0,000000	0,000000	16,530750
-0,326883	0,000000	16,803000	17,129883	18,150000	0,000000	0,000000	3758573,249998	6,913641	0,000000	0,000000	16,803000
-0,326883	0,000000	17,102250	17,429133	19,950000	0,000000	0,000000	3758593,199998	7,040598	0,000000	0,000000	17,102250
-0,326883	0,000000	17,400750	17,727633	19,900000	0,000000	0,000000	3758613,099998	7,161015	0,000000	0,000000	17,400750
-0,326883	0,000000	17,699250	18,026133	19,900000	0,000000	0,000000	3758632,999998	7,281603	0,000000	0,000000	17,699250
-0,326883	0,000000	18,003750	18,330633	20,300000	0,000000	0,000000	3758653,299998	7,406057	0,000000	0,000000	18,003750
-0,326883	0,000000	18,303000	18,629883	19,950000	0,000000	0,000000	3758673,249998	7,525689	0,000000	0,000000	18,303000
-0,326883	0,000000	18,601500	18,928383	19,900000	0,000000	0,000000	3758693,149998	7,646094	0,000000	0,000000	18,601500
-0,326883	0,000000	18,900000	19,226883	19,900000	0,000000	0,000000	3758713,049998	7,766682	0,000000	0,000000	18,900000
-0,326883	0,000000	19,204500	19,531383	20,300000	0,000000	0,000000	3758733,349998	7,891232	0,000000	0,000000	19,204500
-0,326883	0,000000	19,502250	19,829133	19,850000	0,000000	0,000000	3758753,199998	8,009784	0,000000	0,000000	19,502250
-0,326883	0,000000	19,800750	20,127633	19,900000	0,000000	0,000000	3758773,099998	8,130567	0,000000	0,000000	19,800750
-0,326883	0,000000	20,098500	20,425383	19,850000	0,000000	0,000000	3758792,949998	8,250651	0,000000	0,000000	20,098500
-0,326883	0,000000	20,404500	20,731383	20,400000	0,000000	0,000000	3758813,349998	8,376513	0,000000	0,000000	20,404500
-0,326883	0,000000	20,702250	21,029133	19,850000	0,000000	0,000000	3758833,199998	8,494548	0,000000	0,000000	20,702250
-0,326883	0,000000	21,000750	21,327633	19,900000	0,000000	0,000000	3758853,099998	8,615343	0,000000	0,000000	21,000750
-0,326883	0,000000	21,299250	21,626133	19,900000	0,000000	0,000000	3758872,999998	8,735931	0,000000	0,000000	21,299250
-0,326883	0,000000	21,598500	21,925383	19,950000	0,000000	0,000000	3758892,949998	8,857038	0,000000	0,000000	21,598500
-0,326883	0,000000	21,904500	22,231383	20,400000	0,000000	0,000000	3758913,349998	8,982633	0,000000	0,000000	21,904500
-0,326883	0,000000	22,203000	22,529883	19,900000	0,000000	0,000000	3758933,249998	9,101028	0,000000	0,000000	22,203000
-0,326883	0,000000	22,501500	22,828383	19,900000	0,000000	0,000000	3758953,149998	9,221616	0,000000	0,000000	22,501500
-0,326883	0,000000	22,799250	23,126133	19,850000	0,000000	0,000000	3758972,999998	9,341673	0,000000	0,000000	22,799250
-0,326883	0,000000	23,103750	23,430633	20,300000	0,000000	0,000000	3758993,299998	9,466763	0,000000	0,000000	23,103750
-0,326883	0,000000	23,401500	23,728383	19,850000	0,000000	0,000000	3759013,149998	9,584964	0,000000	0,000000	23,401500
-0,326883	0,000000	23,700000	24,026883	19,900000	0,000000	0,000000	3759033,049998	9,705786	0,000000	0,000000	23,700000
-0,326883	0,000000	23,999250	24,326133	19,950000	0,000000	0,000000	3759052,999998	9,826917	0,000000	0,000000	23,999250
-0,326883	0,000000	24,304500	24,631383	20,350000	0,000000	0,000000	3759073,349998	9,952182	0,000000	0,000000	24,304500
-0,326883	0,000000	24,602250	24,929133	19,850000	0,000000	0,000000	3759093,199998	10,070031	0,000000	0,000000	24,602250
-0,326883	0,000000	24,900750	25,227633	19,900000	0,000000	0,000000	3759113,099998	10,190865	0,000000	0,000000	24,900750
-0,326883	0,000000	25,210500	25,537383	20,650000	0,000000	0,000000	3759133,749998	10,319783	0,000000	0,000000	25,210500
-0,326883	0,000000	25,504500	25,831383	19,600000	0,000000	0,000000	3759153,349998	10,433236	0,000000	0,000000	25,504500
-0,217922	0,000000	25,802250	26,020172	19,850000	0,000000	0,000000	3759173,199998	10,510994	0,000000	0,000000	25,802250
-0,217922	0,000000	26,101500	26,319422	19,950000	0,000000	0,000000	3759193,149998	10,632186	0,000000	0,000000	26,101500
-0,217922	0,000000	26,399250	26,617172	19,850000	0,000000	0,000000	3759212,999998	10,751948	0,000000	0,000000	26,399250
-0,217922	0,000000	26,704500	26,922422	20,350000	0,000000	0,000000	3759233,349998	10,877922	0,000000	0,000000	26,704500
-0,217922	0,000000	27,003000	27,220922	19,900000	0,000000	0,000000	3759253,249998	10,996114	0,000000	0,000000	27,003000
-0,272403	0,000000	27,300750	27,573153	19,850000	0,000000	0,000000	3759273,099998	11,138027	0,000000	0,000000	27,300750
-0,326883	0,000000	27,605250	27,932133	20,300000	0,000000	0,000000	3759293,399998	11,285529	0,000000	0,000000	27,605250
-0,326883	0,000000	27,903000	28,229883	19,850000	0,000000	0,000000	3759313,249998	11,403435	0,000000	0,000000	27,903000
-0,326883	0,000000	28,201500	28,528383	19,900000	0,000000	0,000000	3759333,149998	11,524302	0,000000	0,000000	28,201500
-0,326883	0,000000	28,500000	28,826883	19,900000	0,000000	0,000000	3759353,049998	11,644890	0,000000	0,000000	28,500000
-0,326883	0,000000	28,818000	29,144883	21,200000	0,000000	0,000000	3759374,249998	11,780853	0,000000	0,000000	28,818000
-0,326883	0,000000	29,103750	29,430633	19,050000	0,000000	0,000000	3759393,299998	11,883840	0,000000	0,000000	29,103750
-0,326883	0,000000	29,402250	29,729133	19,900000	0,000000	0,000000	3759413,199998	12,009381	0,000000	0,000000	29,402250
