P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	0,000000	0,000000	25,000000	25,000000	30,000000	33,000000	1,000000	0,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,000000	-0,101232	0,000000	0,101232	20,400000	0,000000	0,000000	1262133,800000	0,040906	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1262153,400000	0,040890	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	20,400000	0,000000	0,000000	1262173,800000	0,040906	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1262193,400000	0,040890	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	20,600000	0,000000	0,000000	1262214,000000	0,040910	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1262233,600000	0,040890	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	20,400000	0,000000	0,000000	1262254,000000	0,040906	0,000000	0,000000	0,000000
-0,108961	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1262273,600000	0,000198	0,000000	0,000000	0,000000
-0,108961	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1262294,000000	0,000000	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1262313,600000	0,040691	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	20,400000	0,000000	0,000000	1262334,000000	0,040906	0,000000	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	1262353,600000	0,000198	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	20,600000	0,000000	0,000000	1262374,200000	0,040702	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	19,400000	0,000000	0,000000	1262393,600000	0,040886	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1262413,200000	0,040890	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	21,400000	0,000000	0,000000	1262434,600000	0,040926	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	18,600000	0,000000	0,000000	1262453,200000	0,040870	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	21,400000	0,000000	0,000000	1262474,600000	0,040926	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	18,600000	0,000000	0,000000	1262493,200000	0,040870	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	20,600000	0,000000	0,000000	1262513,800000	0,040910	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1262533,400000	0,040890	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	20,400000	0,000000	0,000000	1262553,800000	0,040906	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1262573,400000	0,040890	0,000000	0,000000	0,000000
0,000000	-0,101232	0,000000	0,101232	20,400000	0,000000	0,000000	1262593,800000	0,040906	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1262613,400000	0,040890	0,000000	0,000000	0,000000
-0,108961	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1262633,800000	0,000207	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	19,600000	0,000000	0,000000	1262653,400000	0,040691	0,000000	0,000000	0,000000
-0,108961	-0,101232	0,000000	0,101232	20,600000	0,000000	0,000000	1262674,000000	0,040910	0,000000	0,000000	0,000000
