P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	16,000000	10,000000	25,000000	15,000000	1,000000	0,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,000000	0,354314	0,000000	-0,354314	19,550000	0,000000	0,000000	2429779,450000	-0,179235	-0,006927	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,550000	0,000000	0,000000	2429800,000000	-0,179341	-0,007281	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,550000	0,000000	0,000000	2429819,550000	-0,179235	-0,006927	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,450000	0,000000	0,000000	2429840,000000	-0,179331	-0,007246	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,550000	0,000000	0,000000	2429859,550000	-0,179235	-0,006927	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,450000	0,000000	0,000000	2429880,000000	-0,179331	-0,007246	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,550000	0,000000	0,000000	2429900,550000	-0,179341	-0,007281	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,500000	0,000000	0,000000	2429921,050000	-0,179336	-0,007263	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	18,300000	0,000000	0,000000	2429939,350000	-0,179102	-0,006484	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,700000	0,000000	0,000000	2429960,050000	-0,179357	-0,007334	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,600000	0,000000	0,000000	2429979,650000	-0,179240	-0,006945	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,550000	0,000000	0,000000	2430000,200000	-0,179341	-0,007281	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,150000	0,000000	0,000000	2430019,350000	-0,179192	-0,006785	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,650000	0,000000	0,000000	2430040,000000	-0,179352	-0,007317	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,750000	0,000000	0,000000	2430059,750000	-0,179256	-0,006998	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,500000	0,000000	0,000000	2430080,250000	-0,179336	-0,007263	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,500000	0,000000	0,000000	2430099,750000	-0,179230	-0,006909	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,550000	0,000000	0,000000	2430120,300000	-0,179341	-0,007281	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,150000	0,000000	0,000000	2430139,450000	-0,179192	-0,006785	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,700000	0,000000	0,000000	2430160,150000	-0,179357	-0,007334	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,650000	0,000000	0,000000	2430179,800000	-0,179245	-0,006962	0,000000	0,000000
0,000000	0,303697	0,000000	-0,303697	19,600000	0,000000	0,000000	2430199,400000	-0,153783	-0,006449	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,450000	0,000000	0,000000	2430219,850000	-0,179175	-0,006728	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2430239,400000	-0,128322	-0,005937	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,500000	0,000000	0,000000	2430259,900000	-0,128097	-0,005188	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,600000	0,000000	0,000000	2430279,500000	-0,128029	-0,004960	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,550000	0,000000	0,000000	2430300,050000	-0,128101	-0,005201	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,150000	0,000000	0,000000	2430319,200000	-0,127995	-0,004847	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,750000	0,000000	0,000000	2430339,950000	-0,128116	-0,005251	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2430359,500000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,550000	0,000000	0,000000	2430380,050000	-0,128101	-0,005201	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,500000	0,000000	0,000000	2430399,550000	-0,178933	-0,005922	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	21,500000	0,000000	0,000000	2430421,050000	-0,128499	-0,006529	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	18,350000	0,000000	0,000000	2430439,400000	-0,127934	-0,004644	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,650000	0,000000	0,000000	2430460,050000	-0,128108	-0,005226	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	21,500000	0,000000	0,000000	2430481,550000	-0,128173	-0,005441	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	18,300000	0,000000	0,000000	2430499,850000	-0,127930	-0,004631	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,850000	0,000000	0,000000	2430519,700000	-0,128048	-0,005024	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,500000	0,000000	0,000000	2430540,200000	-0,128097	-0,005188	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,500000	0,000000	0,000000	2430559,700000	-0,128021	-0,004935	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,550000	0,000000	0,000000	2430580,250000	-0,128101	-0,005201	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2430599,800000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,450000	0,000000	0,000000	2430620,250000	-0,128093	-0,005176	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,300000	0,000000	0,000000	2430640,550000	-0,128082	-0,005138	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,800000	0,000000	0,000000	2430660,350000	-0,128044	-0,005011	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2430679,900000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,600000	0,000000	0,000000	2430699,500000	-0,128029	-0,004960	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,450000	0,000000	0,000000	2430719,950000	-0,128093	-0,005176	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2430739,500000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,400000	0,000000	0,000000	2430759,900000	-0,128089	-0,005163	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2430779,450000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,550000	0,000000	0,000000	2430800,000000	-0,128101	-0,005201	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,150000	0,000000	0,000000	2430819,150000	-0,127995	-0,004847	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,750000	0,000000	0,000000	2430839,900000	-0,128116	-0,005251	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,650000	0,000000	0,000000	2430859,550000	-0,128032	-0,004973	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,500000	0,000000	0,000000	2430880,050000	-0,128097	-0,005188	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2430899,600000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	21,450000	0,000000	0,000000	2430921,050000	-0,128169	-0,005429	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	18,300000	0,000000	0,000000	2430939,350000	-0,127930	-0,004631	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,750000	0,000000	0,000000	2430960,100000	-0,128116	-0,005251	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2430979,650000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,550000	0,000000	0,000000	2431000,200000	-0,128101	-0,005201	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,500000	0,000000	0,000000	2431019,700000	-0,128021	-0,004935	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,550000	0,000000	0,000000	2431040,250000	-0,128101	-0,005201	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	21,400000	0,000000	0,000000	2431061,650000	-0,128165	-0,005416	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	18,300000	0,000000	0,000000	2431079,950000	-0,127930	-0,004631	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,850000	0,000000	0,000000	2431099,800000	-0,128048	-0,005024	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,500000	0,000000	0,000000	2431120,300000	-0,128097	-0,005188	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,600000	0,000000	0,000000	2431139,900000	-0,128029	-0,004960	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,450000	0,000000	0,000000	2431160,350000	-0,128093	-0,005176	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2431179,900000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,600000	0,000000	0,000000	2431199,500000	-0,128029	-0,004960	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	21,200000	0,000000	0,000000	2431220,700000	-0,128150	-0,005365	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,550000	0,000000	0,000000	2431241,250000	-0,128101	-0,005201	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,700000	0,000000	0,000000	2431260,950000	-0,128036	-0,004986	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,700000	0,000000	0,000000	2431280,650000	-0,128036	-0,004986	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,500000	0,000000	0,000000	2431301,150000	-0,128097	-0,005188	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,200000	0,000000	0,000000	2431320,350000	-0,127998	-0,004859	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,650000	0,000000	0,000000	2431341,000000	-0,128108	-0,005226	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,650000	0,000000	0,000000	2431360,650000	-0,128032	-0,004973	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,450000	0,000000	0,000000	2431381,100000	-0,128093	-0,005176	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2431400,650000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,550000	0,000000	0,000000	2431421,200000	-0,128101	-0,005201	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,200000	0,000000	0,000000	2431440,400000	-0,127998	-0,004859	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,650000	0,000000	0,000000	2431461,050000	-0,128108	-0,005226	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,650000	0,000000	0,000000	2431480,700000	-0,128032	-0,004973	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,450000	0,000000	0,000000	2431501,150000	-0,128093	-0,005176	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,650000	0,000000	0,000000	2431520,800000	-0,178947	-0,005968	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,450000	0,000000	0,000000	2431541,250000	-0,128404	-0,006211	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,200000	0,000000	0,000000	2431560,450000	-0,127998	-0,004859	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,650000	0,000000	0,000000	2431581,100000	-0,128108	-0,005226	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,650000	0,000000	0,000000	2431600,750000	-0,128032	-0,004973	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	20,600000	0,000000	0,000000	2431621,350000	-0,179034	-0,006256	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,600000	0,000000	0,000000	2431640,950000	-0,128326	-0,005952	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,400000	0,000000	0,000000	2431661,350000	-0,128089	-0,005163	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,600000	0,000000	0,000000	2431680,950000	-0,128029	-0,004960	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,500000	0,000000	0,000000	2431700,450000	-0,128021	-0,004935	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,450000	0,000000	0,000000	2431720,900000	-0,128093	-0,005176	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,650000	0,000000	0,000000	2431740,550000	-0,128032	-0,004973	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,450000	0,000000	0,000000	2431761,000000	-0,128093	-0,005176	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	19,600000	0,000000	0,000000	2431780,600000	-0,178943	-0,005952	0,000000	0,000000
0,000000	0,354314	0,000000	-0,354314	22,100000	0,000000	0,000000	2431802,700000	-0,179506	-0,007830	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	17,900000	0,000000	0,000000	2431820,600000	-0,128171	-0,005436	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,650000	0,000000	0,000000	2431841,250000	-0,128108	-0,005226	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,100000	0,000000	0,000000	2431860,350000	-0,127991	-0,004834	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,650000	0,000000	0,000000	2431881,000000	-0,128108	-0,005226	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,600000	0,000000	0,000000	2431900,600000	-0,128029	-0,004960	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,500000	0,000000	0,000000	2431921,100000	-0,128097	-0,005188	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,500000	0,000000	0,000000	2431940,600000	-0,128021	-0,004935	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,600000	0,000000	0,000000	2431961,200000	-0,128105	-0,005213	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2431980,750000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,400000	0,000000	0,000000	2432001,150000	-0,128089	-0,005163	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2432020,700000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,550000	0,000000	0,000000	2432041,250000	-0,128101	-0,005201	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,650000	0,000000	0,000000	2432060,900000	-0,128032	-0,004973	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,400000	0,000000	0,000000	2432081,300000	-0,128089	-0,005163	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,550000	0,000000	0,000000	2432100,850000	-0,128025	-0,004948	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,500000	0,000000	0,000000	2432121,350000	-0,128097	-0,005188	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,200000	0,000000	0,000000	2432140,550000	-0,127998	-0,004859	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	20,650000	0,000000	0,000000	2432161,200000	-0,128108	-0,005226	0,000000	0,000000
0,000000	0,253081	0,000000	-0,253081	19,750000	0,000000	0,000000	2432180,950000	-0,128040	-0,004998	0,000000	0,000000
