P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0.400000	0.200000	0.000000	12.000000	11.000000	18.000000	18.000000	1.000000	0.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0.054481	0.303697	0.000000	-0.303697	19.850000	0.000000	0.000000	3277061.199999	0.000000	-0.006028	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	20.500000	0.000000	0.000000	3277081.699999	0.000000	-0.006226	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	36.350000	0.000000	0.000000	3277118.049999	0.000000	-0.011039	-0.121479	0.000000
-48.275244	206.566567	0.000000	-206.566567	0.000000	0.000000	0.000000	3277118.049999	NaN	0.000000	-82.626627	0.000000
0.054481	0.303697	0.000000	-0.303697	39.900000	0.000000	0.000000	3277157.949999	0.000000	-4.127062	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	20.650000	0.000000	0.000000	3277178.599999	0.000000	-0.006271	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	3277198.499999	0.000000	-0.006044	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	3277218.399999	0.000000	-0.006044	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	3277238.299999	0.000000	-0.006044	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	20.300000	0.000000	0.000000	3277258.599999	0.000000	-0.006165	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.850000	0.000000	0.000000	3277278.449999	0.000000	-0.006028	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.950000	0.000000	0.000000	3277298.399999	0.000000	-0.006059	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.850000	0.000000	0.000000	3277318.249999	0.000000	-0.006028	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	20.400000	0.000000	0.000000	3277338.649999	0.000000	-0.006195	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	3277358.549999	0.000000	-0.006044	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	3277378.449999	0.000000	-0.006044	-0.121479	0.000000
0.000000	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	3277398.349999	0.000000	-0.006044	-0.121479	0.000000
-0.054481	0.303697	0.000000	-0.303697	20.000000	0.000000	0.000000	3277418.349999	0.000000	-0.006074	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	20.300000	0.000000	0.000000	3277438.649999	0.000000	-0.006165	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	3277458.549999	0.000000	-0.006044	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.850000	0.000000	0.000000	3277478.399999	0.000000	-0.006028	-0.121479	0.000000
0.000000	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	3277498.299999	0.000000	-0.006044	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	20.300000	0.000000	0.000000	3277518.599999	0.000000	-0.006165	-0.121479	0.000000
0.054481	0.303697	0.000000	-0.303697	19.850000	0.000000	0.000000	3277538.449999	0.000000	-0.006028	-0.121479	0.000000
0.000000	0.202465	0.000000	-0.202465	21.200000	0.000000	0.000000	3277559.649999	0.000000	-0.005365	-0.080986	0.000000
0.054481	0.202465	0.000000	-0.202465	18.900000	0.000000	0.000000	3277578.549999	0.000000	-0.003827	-0.080986	0.000000
0.054481	0.202465	0.000000	-0.202465	19.950000	0.000000	0.000000	3277598.499999	0.000000	-0.004039	-0.080986	0.000000
0.054481	0.202465	0.000000	-0.202465	19.900000	0.000000	0.000000	3277618.399999	0.000000	-0.004029	-0.080986	0.000000
0.054481	0.202465	0.000000	-0.202465	19.900000	0.000000	0.000000	3277638.299999	0.000000	-0.004029	-0.080986	0.000000
0.054481	0.151849	0.000000	-0.151849	20.400000	0.000000	0.000000	3277658.699999	0.000000	-0.003614	-0.060739	0.000000
-0.054481	0.101232	0.000000	-0.101232	19.850000	0.000000	0.000000	3277678.549999	0.000000	-0.002512	-0.040493	0.000000
-0.054481	0.202465	0.000000	-0.202465	19.900000	0.000000	0.000000	3277698.449999	0.000000	-0.003022	-0.080986	0.000000
0.054481	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	3277718.349999	0.000000	-0.003022	-0.040493	0.000000
0.054481	0.202465	0.000000	-0.202465	20.300000	0.000000	0.000000	3277738.649999	0.000000	-0.003083	-0.080986	0.000000
0.054481	0.101232	0.000000	-0.101232	19.850000	0.000000	0.000000	3277758.499999	0.000000	-0.003014	-0.040493	0.000000
0.054481	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	3277778.399999	0.000000	-0.002015	-0.040493	0.000000
-0.054481	0.101232	0.000000	-0.101232	20.300000	0.000000	0.000000	3277798.699999	0.000000	-0.002055	-0.040493	0.000000
0.000000	0.101232	0.000000	-0.101232	19.850000	0.000000	0.000000	3277818.549999	0.000000	-0.002009	-0.040493	0.000000
0.054481	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	3277838.449999	0.000000	-0.002015	-0.040493	0.000000
0.054481	0.101232	0.000000	-0.101232	20.350000	0.000000	0.000000	3277858.799999	0.000000	-0.002060	-0.040493	0.000000
0.054481	0.101232	0.000000	-0.101232	19.850000	0.000000	0.000000	3277878.649999	0.000000	-0.002009	-0.040493	0.000000
0.054481	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	3277898.549999	0.000000	-0.002015	-0.040493	0.000000
0.054481	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	3277918.449999	0.000000	-0.002015	-0.040493	0.000000
-0.054481	0.101232	0.000000	-0.101232	20.300000	0.000000	0.000000	3277938.749999	0.000000	-0.002055	-0.040493	0.000000
0.054481	0.000000	0.000000	0.000000	19.850000	0.000000	0.000000	3277958.599999	0.000000	-0.001005	0.000000	0.000000
