P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
1.317441	0.578921	0.000000	12.000000	11.000000	22.000000	19.000000	1.000000	0.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0.217922	-1.113557	0.000000	1.113557	19.900000	0.000000	0.000000	5409364.350003	0.000000	0.022160	1.467046	0.000000
0.217922	-1.164173	0.000000	1.164173	19.950000	0.000000	0.000000	5409384.300003	0.000000	0.022720	1.533730	0.000000
0.217922	-1.113557	0.000000	1.113557	19.900000	0.000000	0.000000	5409404.200003	0.000000	0.022663	1.467046	0.000000
0.217922	-1.214790	0.000000	1.214790	20.350000	0.000000	0.000000	5409424.550003	0.000000	0.023691	1.600414	0.000000
0.217922	-1.113557	0.000000	1.113557	19.900000	0.000000	0.000000	5409444.450003	0.000000	0.023167	1.467046	0.000000
0.217922	-1.214790	0.000000	1.214790	19.900000	0.000000	0.000000	5409464.350003	0.000000	0.023167	1.600414	0.000000
0.217922	-1.214790	0.000000	1.214790	19.950000	0.000000	0.000000	5409484.300003	0.000000	0.024235	1.600414	0.000000
0.217922	-1.113557	0.000000	1.113557	20.300000	0.000000	0.000000	5409504.600003	0.000000	0.023633	1.467046	0.000000
0.217922	-1.113557	0.000000	1.113557	19.900000	0.000000	0.000000	5409524.500003	0.000000	0.022160	1.467046	0.000000
0.217922	-1.214790	0.000000	1.214790	19.900000	0.000000	0.000000	5409544.400003	0.000000	0.023167	1.600414	0.000000
0.217922	-1.113557	0.000000	1.113557	22.050000	0.000000	0.000000	5409566.450003	0.000000	0.025670	1.467046	0.000000
0.217922	-1.113557	0.000000	1.113557	18.100000	0.000000	0.000000	5409584.550003	0.000000	0.020155	1.467046	0.000000
0.217922	-1.164173	0.000000	1.164173	19.900000	0.000000	0.000000	5409604.450003	0.000000	0.022663	1.533730	0.000000
0.217922	-1.214790	0.000000	1.214790	19.900000	0.000000	0.000000	5409624.350003	0.000000	0.023671	1.600414	0.000000
0.217922	-1.113557	0.000000	1.113557	19.950000	0.000000	0.000000	5409644.300003	0.000000	0.023225	1.467046	0.000000
0.217922	-1.113557	0.000000	1.113557	20.350000	0.000000	0.000000	5409664.650003	0.000000	0.022661	1.467046	0.000000
0.217922	-1.113557	0.000000	1.113557	19.900000	0.000000	0.000000	5409684.550003	0.000000	0.022160	1.467046	0.000000
0.217922	-1.164173	0.000000	1.164173	19.900000	0.000000	0.000000	5409704.450003	0.000000	0.022663	1.533730	0.000000
0.217922	-1.214790	0.000000	1.214790	19.900000	0.000000	0.000000	5409724.350003	0.000000	0.023671	1.600414	0.000000
0.217922	-1.113557	0.000000	1.113557	19.950000	0.000000	0.000000	5409744.300003	0.000000	0.023225	1.467046	0.000000
0.217922	-1.113557	0.000000	1.113557	20.300000	0.000000	0.000000	5409764.600003	0.000000	0.022605	1.467046	0.000000
0.217922	-1.113557	0.000000	1.113557	19.900000	0.000000	0.000000	5409784.500003	0.000000	0.022160	1.467046	0.000000
0.217922	-1.113557	0.000000	1.113557	19.900000	0.000000	0.000000	5409804.400003	0.000000	0.022160	1.467046	0.000000
