P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0.400000	0.200000	0.000000	8.000000	11.000000	18.000000	16.000000	1.000000	0.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0.108961	0.101232	0.000000	-0.101232	21.200000	0.000000	0.000000	548714.000000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	19.600000	0.000000	0.000000	548733.600000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	20.350000	0.000000	0.000000	548753.950000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	19.050000	0.000000	0.000000	548773.000000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	19.850000	0.000000	0.000000	548792.850000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	19.900000	0.000000	0.000000	548812.750000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	20.350000	0.000000	0.000000	548833.100000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.000000	0.000000	0.000000	19.850000	0.000000	0.000000	548852.950000	0.000000	-0.000202	0.000000	0.000000
-0.108961	0.000000	0.000000	0.000000	19.900000	0.000000	0.000000	548872.850000	0.000000	0.000000	0.000000	0.000000
-0.108961	0.101232	0.000000	-0.101232	19.950000	0.000000	0.000000	548892.800000	0.000000	-0.000202	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	20.700000	0.000000	0.000000	548913.500000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	19.650000	0.000000	0.000000	548933.150000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	20.700000	0.000000	0.000000	548953.850000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	19.950000	0.000000	0.000000	548973.800000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.101232	0.000000	-0.101232	19.600000	0.000000	0.000000	548993.400000	0.000000	-0.000405	-0.040493	0.000000
-0.108961	0.202465	0.000000	-0.202465	19.500000	0.000000	0.000000	549012.900000	0.000000	-0.000607	-0.080986	0.000000
-0.108961	0.202465	0.000000	-0.202465	19.900000	0.000000	0.000000	549032.800000	0.000000	-0.000810	-0.080986	0.000000
-0.108961	0.202465	0.000000	-0.202465	19.850000	0.000000	0.000000	549052.650000	0.000000	-0.000810	-0.080986	0.000000
-0.108961	0.202465	0.000000	-0.202465	20.650000	0.000000	0.000000	549073.300000	0.000000	-0.000810	-0.080986	0.000000
-0.108961	0.303697	0.000000	-0.303697	19.650000	0.000000	0.000000	549092.950000	0.000000	-0.001012	-0.121479	0.000000
-0.108961	0.303697	0.000000	-0.303697	19.900000	0.000000	0.000000	549112.850000	0.000000	-0.001215	-0.121479	0.000000
