OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
6.000000	12.000000	20.000000	19.000000	1.000000	1.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
0.000000	0.000000	839.050000	1197034.950000	0.000000	0.000000
0.000000	0.000000	117.150000	1197152.100000	0.000000	0.000000
0.000000	0.000000	2.950000	1197155.050000	0.000000	0.000000
0.000000	0.000000	4.750000	1197159.800000	0.000000	0.000000
0.000000	0.000000	5.300000	1197165.100000	0.000000	0.000000
0.000000	0.000000	4.700000	1197169.800000	0.000000	0.000000
0.000000	0.000000	5.300000	1197175.100000	0.000000	0.000000
0.000000	0.000000	4.700000	1197179.800000	0.000000	0.000000
0.000000	0.000000	5.300000	1197185.100000	0.000000	0.000000
0.000000	0.000000	4.750000	1197189.850000	0.000000	0.000000
0.000000	0.000000	5.300000	1197195.150000	0.000000	0.000000
0.000000	0.000000	4.700000	1197199.850000	0.000000	0.000000
0.000000	0.000000	5.200000	1197205.050000	0.000000	0.000000
0.000000	0.000000	6.300000	1197211.350000	0.000000	0.000000
0.000000	0.000000	3.750000	1197215.100000	0.000000	0.000000
0.000000	0.000000	4.750000	1197219.850000	0.000000	0.000000
0.000000	0.000000	5.300000	1197225.150000	0.000000	0.000000
0.000000	0.000000	4.700000	1197229.850000	0.000000	0.000000
0.000000	0.000000	5.300000	1197235.150000	0.000000	0.000000
0.000000	0.000000	5.100000	1197240.250000	0.000000	0.000000
0.000000	0.000000	4.650000	1197244.900000	0.000000	0.000000
0.000000	0.000000	5.200000	1197250.100000	0.000000	0.000000
0.000000	0.000000	4.700000	1197254.800000	0.000000	0.000000
0.000000	0.000000	5.300000	1197260.100000	0.000000	0.000000
0.000000	0.000000	4.650000	1197264.750000	0.000000	0.000000
0.000000	0.000000	5.300000	1197270.050000	0.000000	0.000000
0.000000	0.000000	4.600000	1197274.650000	0.000000	0.000000
0.000000	0.000000	5.450000	1197280.100000	0.000000	0.000000
0.000000	0.000000	4.700000	1197284.800000	0.000000	0.000000
0.000000	0.000000	5.300000	1197290.100000	0.000000	0.000000
0.000000	0.000000	5.100000	1197295.200000	0.000000	0.000000
0.000000	0.000000	4.650000	1197299.850000	0.000000	0.000000
0.000000	0.000000	5.200000	1197305.050000	0.000000	0.000000
0.000000	0.000000	4.800000	1197309.850000	0.000000	0.000000
0.000000	0.000000	5.550000	1197315.400000	0.000000	0.000000
0.000000	0.000000	4.700000	1197320.100000	0.000000	0.000000
0.000000	0.000000	4.700000	1197324.800000	0.000000	0.000000
0.000000	0.000000	5.300000	1197330.100000	0.000000	0.000000
0.000000	0.000000	4.700000	1197334.800000	0.000000	0.000000
