OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
9.000000	10.000000	17.000000	30.000000	0.000000	1.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
0.000000	0.000000	26.200000	2638407.200000	0.000000	0.000000
0.000000	0.000000	19.850000	2638427.050000	0.000000	0.000000
0.000000	0.000000	84.300000	2638511.350000	0.000000	0.000000
0.000000	0.000000	131.050000	2638642.400000	0.000000	0.000000
0.000000	0.000000	13.300000	2638655.700000	0.000000	0.000000
0.000000	0.000000	15.750000	2638671.450000	0.000000	0.000000
0.000000	0.000000	14.300000	2638685.750000	0.000000	0.000000
0.000000	0.000000	14.200000	2638699.950000	0.000000	0.000000
0.000000	0.000000	14.350000	2638714.300000	0.000000	0.000000
0.000000	0.000000	32.550000	2638746.850000	0.000000	0.000000
0.000000	0.000000	2.300000	2638749.150000	0.000000	0.000000
0.000000	0.000000	16.700000	2638765.850000	0.000000	0.000000
0.000000	0.000000	31.750000	2638797.600000	0.000000	0.000000
0.000000	0.000000	2.700000	2638800.300000	0.000000	0.000000
0.000000	0.000000	19.050000	2638819.350000	0.000000	0.000000
0.000000	0.000000	26.750000	2638846.100000	0.000000	0.000000
0.000000	0.000000	20.350000	2638866.450000	0.000000	0.000000
0.000000	0.000000	19.150000	2638885.600000	0.000000	0.000000
0.000000	0.000000	20.350000	2638905.950000	0.000000	0.000000
0.000000	0.000000	20.300000	2638926.250000	0.000000	0.000000
0.000000	0.000000	19.150000	2638945.400000	0.000000	0.000000
0.000000	0.000000	26.100000	2638971.500000	0.000000	0.000000
0.000000	0.000000	19.850000	2638991.350000	0.000000	0.000000
0.000000	0.000000	20.500000	2639011.850000	0.000000	0.000000
0.000000	0.000000	19.900000	2639031.750000	0.000000	0.000000
0.000000	0.000000	19.950000	2639051.700000	0.000000	0.000000
0.000000	0.000000	22.000000	2639073.700000	0.000000	0.000000
0.000000	0.000000	18.300000	2639092.000000	0.000000	0.000000
0.000000	0.000000	19.950000	2639111.950000	0.000000	0.000000
0.000000	0.000000	25.950000	2639137.900000	0.000000	0.000000
0.000000	0.000000	18.700000	2639156.600000	0.000000	0.000000
0.000000	0.000000	20.650000	2639177.250000	0.000000	0.000000
0.000000	0.000000	19.200000	2639196.450000	0.000000	0.000000
0.000000	0.000000	20.700000	2639217.150000	0.000000	0.000000
0.000000	0.000000	30.350000	2639247.500000	0.000000	0.000000
0.000000	0.000000	19.650000	2639267.150000	0.000000	0.000000
0.000000	0.000000	19.050000	2639286.200000	0.000000	0.000000
0.000000	0.000000	20.300000	2639306.500000	0.000000	0.000000
0.000000	0.000000	19.950000	2639326.450000	0.000000	0.000000
0.000000	0.000000	19.900000	2639346.350000	0.000000	0.000000
0.000000	0.000000	30.300000	2639376.650000	0.000000	0.000000
0.000000	0.000000	19.850000	2639396.500000	0.000000	0.000000
0.000000	0.000000	20.350000	2639416.850000	0.000000	0.000000
0.000000	0.000000	19.900000	2639436.750000	0.000000	0.000000
0.000000	0.000000	20.350000	2639457.100000	0.000000	0.000000
0.000000	0.000000	19.950000	2639477.050000	0.000000	0.000000
0.000000	0.000000	29.450000	2639506.500000	0.000000	0.000000
0.000000	0.000000	19.050000	2639525.550000	0.000000	0.000000
0.000000	0.000000	20.350000	2639545.900000	0.000000	0.000000
0.000000	0.000000	19.950000	2639565.850000	0.000000	0.000000
0.000000	0.000000	20.400000	2639586.250000	0.000000	0.000000
0.000000	0.000000	19.900000	2639606.150000	0.000000	0.000000
0.000000	0.000000	41.500000	2639647.650000	0.000000	0.000000
0.000000	0.000000	18.950000	2639666.600000	0.000000	0.000000
0.000000	0.000000	18.750000	2639685.350000	0.000000	0.000000
0.000000	0.000000	19.950000	2639705.300000	0.000000	0.000000
0.000000	0.000000	28.650000	2639733.950000	0.000000	0.000000
0.000000	0.000000	19.150000	2639753.100000	0.000000	0.000000
0.000000	0.000000	20.650000	2639773.750000	0.000000	0.000000
0.000000	0.000000	19.900000	2639793.650000	0.000000	0.000000
0.000000	0.000000	19.900000	2639813.550000	0.000000	0.000000
0.000000	0.000000	20.550000	2639834.100000	0.000000	0.000000
0.000000	0.000000	19.950000	2639854.050000	0.000000	0.000000
0.000000	0.000000	19.100000	2639873.150000	0.000000	0.000000
0.000000	0.000000	20.350000	2639893.500000	0.000000	0.000000
0.000000	0.000000	20.300000	2639913.800000	0.000000	0.000000
0.000000	0.000000	19.850000	2639933.650000	0.000000	0.000000
0.000000	0.000000	20.400000	2639954.050000	0.000000	0.000000
0.000000	0.000000	30.050000	2639984.100000	0.000000	0.000000
0.000000	0.000000	20.500000	2640004.600000	0.000000	0.000000
0.000000	0.000000	19.200000	2640023.800000	0.000000	0.000000
0.000000	0.000000	20.400000	2640044.200000	0.000000	0.000000
0.000000	0.000000	24.300000	2640068.500000	0.000000	0.000000
0.000000	0.000000	26.250000	2640094.750000	0.000000	0.000000
0.000000	0.000000	38.400000	2640133.150000	0.000000	0.000000
0.000000	0.000000	35.750000	2640168.900000	0.000000	0.000000
0.000000	0.000000	19.700000	2640188.600000	0.000000	0.000000
0.000000	0.000000	19.900000	2640208.500000	0.000000	0.000000
0.000000	0.000000	19.900000	2640228.400000	0.000000	0.000000
0.000000	0.000000	20.300000	2640248.700000	0.000000	0.000000
0.000000	0.000000	20.350000	2640269.050000	0.000000	0.000000
0.000000	0.000000	27.100000	2640296.150000	0.000000	0.000000
0.000000	0.000000	19.750000	2640315.900000	0.000000	0.000000
0.000000	0.000000	19.900000	2640335.800000	0.000000	0.000000
0.000000	0.000000	19.950000	2640355.750000	0.000000	0.000000
0.000000	0.000000	19.550000	2640375.300000	0.000000	0.000000
0.000000	0.000000	20.000000	2640395.300000	0.000000	0.000000
0.000000	0.000000	20.500000	2640415.800000	0.000000	0.000000
0.000000	0.000000	20.700000	2640436.500000	0.000000	0.000000
0.000000	0.000000	18.950000	2640455.450000	0.000000	0.000000
0.000000	0.000000	19.900000	2640475.350000	0.000000	0.000000
0.000000	0.000000	20.300000	2640495.650000	0.000000	0.000000
0.000000	0.000000	19.950000	2640515.600000	0.000000	0.000000
0.000000	0.000000	20.300000	2640535.900000	0.000000	0.000000
0.000000	0.000000	19.850000	2640555.750000	0.000000	0.000000
0.000000	0.000000	22.050000	2640577.800000	0.000000	0.000000
0.000000	0.000000	28.450000	2640606.250000	0.000000	0.000000
0.000000	0.000000	19.850000	2640626.100000	0.000000	0.000000
0.000000	0.000000	19.900000	2640646.000000	0.000000	0.000000
0.000000	0.000000	19.900000	2640665.900000	0.000000	0.000000
0.000000	0.000000	19.600000	2640685.500000	0.000000	0.000000
0.000000	0.000000	19.850000	2640705.350000	0.000000	0.000000
0.000000	0.000000	19.900000	2640725.250000	0.000000	0.000000
0.000000	0.000000	20.500000	2640745.750000	0.000000	0.000000
0.000000	0.000000	20.300000	2640766.050000	0.000000	0.000000
0.000000	0.000000	20.300000	2640786.350000	0.000000	0.000000
0.000000	0.000000	19.100000	2640805.450000	0.000000	0.000000
0.000000	0.000000	19.900000	2640825.350000	0.000000	0.000000
0.000000	0.000000	20.450000	2640845.800000	0.000000	0.000000
0.000000	0.000000	19.900000	2640865.700000	0.000000	0.000000
0.000000	0.000000	20.600000	2640886.300000	0.000000	0.000000
0.000000	0.000000	19.950000	2640906.250000	0.000000	0.000000
0.000000	0.000000	19.150000	2640925.400000	0.000000	0.000000
0.000000	0.000000	20.650000	2640946.050000	0.000000	0.000000
0.000000	0.000000	28.700000	2640974.750000	0.000000	0.000000
0.000000	0.000000	19.100000	2640993.850000	0.000000	0.000000
0.000000	0.000000	20.350000	2641014.200000	0.000000	0.000000
0.000000	0.000000	19.950000	2641034.150000	0.000000	0.000000
0.000000	0.000000	19.150000	2641053.300000	0.000000	0.000000
0.000000	0.000000	20.350000	2641073.650000	0.000000	0.000000
0.000000	0.000000	19.850000	2641093.500000	0.000000	0.000000
0.000000	0.000000	19.850000	2641113.350000	0.000000	0.000000
0.000000	0.000000	20.600000	2641133.950000	0.000000	0.000000
0.000000	0.000000	19.900000	2641153.850000	0.000000	0.000000
0.000000	0.000000	19.950000	2641173.800000	0.000000	0.000000
0.000000	0.000000	20.650000	2641194.450000	0.000000	0.000000
0.000000	0.000000	19.050000	2641213.500000	0.000000	0.000000
0.000000	0.000000	29.150000	2641242.650000	0.000000	0.000000
0.000000	0.000000	19.900000	2641262.550000	0.000000	0.000000
0.000000	0.000000	19.850000	2641282.400000	0.000000	0.000000
0.000000	0.000000	21.300000	2641303.700000	0.000000	0.000000
0.000000	0.000000	19.100000	2641322.800000	0.000000	0.000000
0.000000	0.000000	20.450000	2641343.250000	0.000000	0.000000
0.000000	0.000000	30.200000	2641373.450000	0.000000	0.000000
0.000000	0.000000	18.900000	2641392.350000	0.000000	0.000000
0.000000	0.000000	19.850000	2641412.200000	0.000000	0.000000
0.000000	0.000000	19.900000	2641432.100000	0.000000	0.000000
0.000000	0.000000	20.500000	2641452.600000	0.000000	0.000000
0.000000	0.000000	19.900000	2641472.500000	0.000000	0.000000
0.000000	0.000000	20.500000	2641493.000000	0.000000	0.000000
0.000000	0.000000	19.900000	2641512.900000	0.000000	0.000000
0.000000	0.000000	19.550000	2641532.450000	0.000000	0.000000
0.000000	0.000000	19.900000	2641552.350000	0.000000	0.000000
0.000000	0.000000	19.950000	2641572.300000	0.000000	0.000000
0.000000	0.000000	20.500000	2641592.800000	0.000000	0.000000
0.000000	0.000000	28.700000	2641621.500000	0.000000	0.000000
0.000000	0.000000	19.200000	2641640.700000	0.000000	0.000000
0.000000	0.000000	20.300000	2641661.000000	0.000000	0.000000
0.000000	0.000000	19.850000	2641680.850000	0.000000	0.000000
0.000000	0.000000	19.700000	2641700.550000	0.000000	0.000000
0.000000	0.000000	20.650000	2641721.200000	0.000000	0.000000
0.000000	0.000000	19.700000	2641740.900000	0.000000	0.000000
0.000000	0.000000	29.450000	2641770.350000	0.000000	0.000000
0.000000	0.000000	19.750000	2641790.100000	0.000000	0.000000
0.000000	0.000000	19.900000	2641810.000000	0.000000	0.000000
0.000000	0.000000	19.050000	2641829.050000	0.000000	0.000000
0.000000	0.000000	20.300000	2641849.350000	0.000000	0.000000
0.000000	0.000000	19.850000	2641869.200000	0.000000	0.000000
0.000000	0.000000	19.900000	2641889.100000	0.000000	0.000000
0.000000	0.000000	20.550000	2641909.650000	0.000000	0.000000
0.000000	0.000000	20.300000	2641929.950000	0.000000	0.000000
0.000000	0.000000	19.950000	2641949.900000	0.000000	0.000000
0.000000	0.000000	19.900000	2641969.800000	0.000000	0.000000
0.000000	0.000000	20.300000	2641990.100000	0.000000	0.000000
0.000000	0.000000	29.200000	2642019.300000	0.000000	0.000000
0.000000	0.000000	19.750000	2642039.050000	0.000000	0.000000
0.000000	0.000000	19.900000	2642058.950000	0.000000	0.000000
0.000000	0.000000	20.400000	2642079.350000	0.000000	0.000000
0.000000	0.000000	19.100000	2642098.450000	0.000000	0.000000
0.000000	0.000000	20.650000	2642119.100000	0.000000	0.000000
0.000000	0.000000	28.650000	2642147.750000	0.000000	0.000000
0.000000	0.000000	19.100000	2642166.850000	0.000000	0.000000
0.000000	0.000000	20.450000	2642187.300000	0.000000	0.000000
0.000000	0.000000	19.100000	2642206.400000	0.000000	0.000000
0.000000	0.000000	19.900000	2642226.300000	0.000000	0.000000
0.000000	0.000000	20.300000	2642246.600000	0.000000	0.000000
0.000000	0.000000	20.350000	2642266.950000	0.000000	0.000000
0.000000	0.000000	20.650000	2642287.600000	0.000000	0.000000
0.000000	0.000000	19.650000	2642307.250000	0.000000	0.000000
0.000000	0.000000	19.100000	2642326.350000	0.000000	0.000000
0.000000	0.000000	20.400000	2642346.750000	0.000000	0.000000
0.000000	0.000000	20.350000	2642367.100000	0.000000	0.000000
0.000000	0.000000	20.350000	2642387.450000	0.000000	0.000000
0.000000	0.000000	28.600000	2642416.050000	0.000000	0.000000
0.000000	0.000000	19.500000	2642435.550000	0.000000	0.000000
0.000000	0.000000	19.900000	2642455.450000	0.000000	0.000000
0.000000	0.000000	20.400000	2642475.850000	0.000000	0.000000
0.000000	0.000000	19.900000	2642495.750000	0.000000	0.000000
0.000000	0.000000	19.950000	2642515.700000	0.000000	0.000000
0.000000	0.000000	30.050000	2642545.750000	0.000000	0.000000
0.000000	0.000000	18.250000	2642564.000000	0.000000	0.000000
0.000000	0.000000	20.350000	2642584.350000	0.000000	0.000000
0.000000	0.000000	19.850000	2642604.200000	0.000000	0.000000
0.000000	0.000000	19.900000	2642624.100000	0.000000	0.000000
0.000000	0.000000	19.500000	2642643.600000	0.000000	0.000000
0.000000	0.000000	28.450000	2642672.050000	0.000000	0.000000
0.000000	0.000000	19.700000	2642691.750000	0.000000	0.000000
0.000000	0.000000	19.850000	2642711.600000	0.000000	0.000000
0.000000	0.000000	20.700000	2642732.300000	0.000000	0.000000
0.000000	0.000000	20.300000	2642752.600000	0.000000	0.000000
0.000000	0.000000	19.000000	2642771.600000	0.000000	0.000000
0.000000	0.000000	28.700000	2642800.300000	0.000000	0.000000
0.000000	0.000000	19.150000	2642819.450000	0.000000	0.000000
0.000000	0.000000	20.350000	2642839.800000	0.000000	0.000000
0.000000	0.000000	19.900000	2642859.700000	0.000000	0.000000
0.000000	0.000000	20.400000	2642880.100000	0.000000	0.000000
0.000000	0.000000	20.300000	2642900.400000	0.000000	0.000000
0.000000	0.000000	29.400000	2642929.800000	0.000000	0.000000
0.000000	0.000000	19.100000	2642948.900000	0.000000	0.000000
0.000000	0.000000	20.300000	2642969.200000	0.000000	0.000000
0.000000	0.000000	19.950000	2642989.150000	0.000000	0.000000
0.000000	0.000000	21.200000	2643010.350000	0.000000	0.000000
0.000000	0.000000	18.700000	2643029.050000	0.000000	0.000000
0.000000	0.000000	19.950000	2643049.000000	0.000000	0.000000
0.000000	0.000000	29.300000	2643078.300000	0.000000	0.000000
0.000000	0.000000	19.900000	2643098.200000	0.000000	0.000000
0.000000	0.000000	19.900000	2643118.100000	0.000000	0.000000
0.000000	0.000000	20.300000	2643138.400000	0.000000	0.000000
0.000000	0.000000	19.100000	2643157.500000	0.000000	0.000000
0.000000	0.000000	20.400000	2643177.900000	0.000000	0.000000
0.000000	0.000000	27.900000	2643205.800000	0.000000	0.000000
0.000000	0.000000	19.950000	2643225.750000	0.000000	0.000000
0.000000	0.000000	20.300000	2643246.050000	0.000000	0.000000
0.000000	0.000000	22.050000	2643268.100000	0.000000	0.000000
0.000000	0.000000	17.500000	2643285.600000	0.000000	0.000000
0.000000	0.000000	19.850000	2643305.450000	0.000000	0.000000
0.000000	0.000000	29.900000	2643335.350000	0.000000	0.000000
0.000000	0.000000	19.150000	2643354.500000	0.000000	0.000000
0.000000	0.000000	20.700000	2643375.200000	0.000000	0.000000
0.000000	0.000000	19.850000	2643395.050000	0.000000	0.000000
0.000000	0.000000	20.300000	2643415.350000	0.000000	0.000000
0.000000	0.000000	19.850000	2643435.200000	0.000000	0.000000
0.000000	0.000000	28.650000	2643463.850000	0.000000	0.000000
0.000000	0.000000	19.800000	2643483.650000	0.000000	0.000000
0.000000	0.000000	19.950000	2643503.600000	0.000000	0.000000
0.000000	0.000000	19.900000	2643523.500000	0.000000	0.000000
0.000000	0.000000	20.000000	2643543.500000	0.000000	0.000000
0.000000	0.000000	20.400000	2643563.900000	0.000000	0.000000
0.000000	0.000000	28.650000	2643592.550000	0.000000	0.000000
0.000000	0.000000	19.100000	2643611.650000	0.000000	0.000000
0.000000	0.000000	19.950000	2643631.600000	0.000000	0.000000
0.000000	0.000000	20.500000	2643652.100000	0.000000	0.000000
0.000000	0.000000	19.950000	2643672.050000	0.000000	0.000000
0.000000	0.000000	19.550000	2643691.600000	0.000000	0.000000
0.000000	0.000000	19.850000	2643711.450000	0.000000	0.000000
0.000000	0.000000	30.300000	2643741.750000	0.000000	0.000000
0.000000	0.000000	19.900000	2643761.650000	0.000000	0.000000
