PIDRelay
Kp	Ki	Kd	Kr
0.400000	0.200000	0.000000	0.010000
SaidaP	SaidaI	SaidaD	SaidaR
-5.317419	-0.051978	0.000000	0.000000
-5.317419	-0.054902	0.000000	0.000000
-5.317419	-0.131739	0.000000	0.000000
-5.317419	-0.111533	0.000000	0.000000
-5.317419	-0.055035	0.000000	0.000000
-5.317419	-0.057029	0.000000	0.000000
-5.317419	-0.086940	0.000000	0.000000
-5.317419	-0.059289	0.000000	0.000000
-5.317419	-0.052775	0.000000	0.000000
-5.317419	-0.126555	0.000000	0.000000
-5.317419	-0.310006	0.000000	0.000000
-5.317419	-0.173614	0.000000	0.000000
-5.317419	-0.059289	0.000000	0.000000
-5.317419	-0.086674	0.000000	0.000000
-5.317419	-0.055168	0.000000	0.000000
-5.317419	-0.057029	0.000000	0.000000
-5.317419	-0.133866	0.000000	0.000000
-5.317419	-0.042406	0.000000	0.000000
-5.317419	-0.073513	0.000000	0.000000
-5.317419	-0.086940	0.000000	0.000000
-5.317419	-0.072184	0.000000	0.000000
-5.317419	-0.124561	0.000000	0.000000
-5.317419	-0.057029	0.000000	0.000000
-5.317419	-0.086940	0.000000	0.000000
-5.317419	-0.074045	0.000000	0.000000
-5.317419	-0.083882	0.000000	0.000000
-5.317419	-0.058625	0.000000	0.000000
-5.317419	-0.122699	0.000000	0.000000
-5.317419	-0.050648	0.000000	0.000000
-5.317419	-0.035893	0.000000	0.000000
-5.317419	-0.097575	0.000000	0.000000
-5.317419	-0.088934	0.000000	0.000000
-5.317419	-0.088801	0.000000	0.000000
-5.317419	-0.058757	0.000000	0.000000
-5.317419	-0.131074	0.000000	0.000000
-5.317419	-0.053041	0.000000	0.000000
-5.317419	-0.040147	0.000000	0.000000
-5.317419	-0.103291	0.000000	0.000000
-5.317419	-0.050781	0.000000	0.000000
-5.317419	-0.052775	0.000000	0.000000
-5.317419	-0.121104	0.000000	0.000000
-5.317419	-0.058625	0.000000	0.000000
-5.317419	-0.097708	0.000000	0.000000
-5.317419	-0.056232	0.000000	0.000000
-5.317419	-0.052775	0.000000	0.000000
-5.317419	-0.086275	0.000000	0.000000
-5.317419	-0.052775	0.000000	0.000000
-5.317419	-0.056498	0.000000	0.000000
-5.317419	-0.125358	0.000000	0.000000
-5.317419	-0.054504	0.000000	0.000000
-5.317419	-0.056631	0.000000	0.000000
-5.317419	-0.044400	0.000000	0.000000
-5.317419	-0.052244	0.000000	0.000000
-5.317419	-0.052908	0.000000	0.000000
-5.317419	-0.122434	0.000000	0.000000
-5.317419	-0.052908	0.000000	0.000000
-5.317419	-0.056365	0.000000	0.000000
-5.317419	-0.080692	0.000000	0.000000
-5.317419	-0.075374	0.000000	0.000000
-5.317419	-0.065537	0.000000	0.000000
-5.317419	-0.057162	0.000000	0.000000
-5.317419	-0.088535	0.000000	0.000000
-5.317419	-0.052908	0.000000	0.000000
-5.317419	-0.052775	0.000000	0.000000
-5.317419	-0.125092	0.000000	0.000000
-5.317419	-0.039881	0.000000	0.000000
-5.317419	-0.052775	0.000000	0.000000
-5.317419	-0.097708	0.000000	0.000000
-5.317419	-0.057029	0.000000	0.000000
-5.317419	-0.055035	0.000000	0.000000
-5.317419	-0.131074	0.000000	0.000000
-5.317419	-0.052775	0.000000	0.000000
-5.317419	-0.061549	0.000000	0.000000
-5.317419	-0.097442	0.000000	0.000000
-5.317419	-0.059156	0.000000	0.000000
-5.317419	-0.052111	0.000000	0.000000
-5.317419	-0.086009	0.000000	0.000000
-5.317419	-0.052377	0.000000	0.000000
