OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
13.000000	16.000000	35.000000	41.000000	0.000000	1.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
10.787386	0.000000	19.850000	9551480.750005	0.000000	0.000000
10.787386	0.000000	23.850000	9551504.600005	0.000000	0.000000
10.787386	0.000000	15.850000	9551520.450005	0.000000	0.000000
10.787386	0.000000	19.900000	9551540.350005	0.000000	0.000000
10.787386	0.000000	19.900000	9551560.250005	0.000000	0.000000
10.787386	0.000000	20.400000	9551580.650005	0.000000	0.000000
10.787386	0.000000	19.900000	9551600.550005	0.000000	0.000000
10.787386	0.000000	19.900000	9551620.450005	0.000000	0.000000
10.787386	0.000000	20.300000	9551640.750005	0.000000	0.000000
10.787386	0.000000	20.500000	9551661.250005	0.000000	0.000000
10.787386	0.000000	19.750000	9551681.000005	0.000000	0.000000
10.787386	0.000000	20.650000	9551701.650005	0.000000	0.000000
10.787386	0.000000	19.550000	9551721.200005	0.000000	0.000000
10.787386	0.000000	19.850000	9551741.050005	0.000000	0.000000
10.787386	0.000000	19.050000	9551760.100005	0.000000	0.000000
10.787386	0.000000	20.750000	9551780.850005	0.000000	0.000000
10.787386	0.000000	19.800000	9551800.650005	0.000000	0.000000
10.787386	0.000000	19.950000	9551820.600005	0.000000	0.000000
10.787386	0.000000	20.350000	9551840.950005	0.000000	0.000000
10.787386	0.000000	20.300000	9551861.250005	0.000000	0.000000
10.787386	0.000000	19.900000	9551881.150005	0.000000	0.000000
10.787386	0.000000	20.650000	9551901.800005	0.000000	0.000000
10.787386	0.000000	18.800000	9551920.600005	0.000000	0.000000
10.787386	0.000000	20.450000	9551941.050005	0.000000	0.000000
10.787386	0.000000	19.900000	9551960.950005	0.000000	0.000000
10.787386	0.000000	19.900000	9551980.850005	0.000000	0.000000
10.787386	0.000000	19.850000	9552000.700005	0.000000	0.000000
10.787386	0.000000	20.350000	9552021.050005	0.000000	0.000000
10.787386	0.000000	22.050000	9552043.100005	0.000000	0.000000
10.787386	0.000000	17.500000	9552060.600005	0.000000	0.000000
10.787386	0.000000	19.900000	9552080.500005	0.000000	0.000000
10.787386	0.000000	20.500000	9552101.000005	0.000000	0.000000
10.787386	0.000000	19.900000	9552120.900005	0.000000	0.000000
10.787386	0.000000	19.900000	9552140.800005	0.000000	0.000000
10.787386	0.000000	20.550000	9552161.350005	0.000000	0.000000
10.787386	0.000000	19.100000	9552180.450005	0.000000	0.000000
10.787386	0.000000	19.900000	9552200.350005	0.000000	0.000000
10.787386	0.000000	20.350000	9552220.700005	0.000000	0.000000
10.787386	0.000000	19.850000	9552240.550005	0.000000	0.000000
10.787386	0.000000	19.900000	9552260.450005	0.000000	0.000000
10.787386	0.000000	20.300000	9552280.750005	0.000000	0.000000
10.787386	0.000000	22.000000	9552302.750005	0.000000	0.000000
10.787386	0.000000	18.100000	9552320.850005	0.000000	0.000000
10.787386	0.000000	20.000000	9552340.850005	0.000000	0.000000
10.787386	0.000000	20.550000	9552361.400005	0.000000	0.000000
10.787386	0.000000	19.950000	9552381.350005	0.000000	0.000000
10.787386	0.000000	19.950000	9552401.300005	0.000000	0.000000
10.787386	0.000000	19.050000	9552420.350005	0.000000	0.000000
10.787386	0.000000	19.950000	9552440.300005	0.000000	0.000000
10.787386	0.000000	20.350000	9552460.650005	0.000000	0.000000
10.787386	0.000000	19.950000	9552480.600005	0.000000	0.000000
10.787386	0.000000	20.550000	9552501.150005	0.000000	0.000000
10.787386	0.000000	19.900000	9552521.050005	0.000000	0.000000
10.787386	0.000000	19.900000	9552540.950005	0.000000	0.000000
10.787386	0.000000	20.600000	9552561.550005	0.000000	0.000000
10.787386	0.000000	19.550000	9552581.100005	0.000000	0.000000
10.787386	0.000000	19.900000	9552601.000005	0.000000	0.000000
10.787386	0.000000	19.850000	9552620.850005	0.000000	0.000000
10.787386	0.000000	20.600000	9552641.450005	0.000000	0.000000
10.787386	0.000000	19.750000	9552661.200005	0.000000	0.000000
10.787386	0.000000	19.700000	9552680.900005	0.000000	0.000000
10.787386	0.000000	19.900000	9552700.800005	0.000000	0.000000
10.787386	0.000000	19.850000	9552720.650005	0.000000	0.000000
10.787386	0.000000	19.950000	9552740.600005	0.000000	0.000000
10.787386	0.000000	20.500000	9552761.100005	0.000000	0.000000
10.787386	0.000000	19.850000	9552780.950005	0.000000	0.000000
10.896350	0.000000	20.400000	9552801.350005	0.000000	0.000000
10.787386	0.000000	19.100000	9552820.450005	0.000000	0.000000
10.896350	0.000000	19.850000	9552840.300005	0.000000	0.000000
10.896350	0.000000	20.500000	9552860.800005	0.000000	0.000000
10.896350	0.000000	19.850000	9552880.650005	0.000000	0.000000
10.896350	0.000000	20.750000	9552901.400005	0.000000	0.000000
10.896350	0.000000	19.700000	9552921.100005	0.000000	0.000000
10.896350	0.000000	19.850000	9552940.950005	0.000000	0.000000
10.896350	0.000000	19.700000	9552960.650005	0.000000	0.000000
10.896350	0.000000	19.800000	9552980.450005	0.000000	0.000000
10.896350	0.000000	19.850000	9553000.300005	0.000000	0.000000
10.841868	0.000000	20.300000	9553020.600005	0.000000	0.000000
10.896350	0.000000	19.950000	9553040.550005	0.000000	0.000000
10.896350	0.000000	19.950000	9553060.500005	0.000000	0.000000
10.896350	0.000000	19.900000	9553080.400005	0.000000	0.000000
10.896350	0.000000	30.200000	9553110.600005	0.000000	0.000000
10.896350	0.000000	19.050000	9553129.650005	0.000000	0.000000
10.896350	0.000000	19.900000	9553149.550005	0.000000	0.000000
10.896350	0.000000	19.900000	9553169.450005	0.000000	0.000000
