PIDES
AlphaP	AlphaI	AlphaD	GammaI	GammaD	OmegaP	OmegaI	OmegaP	H	To
0.010000	0.017000	0.000000	0.050000	0.035000	0.000000	2.513270	2.010620	0.000000	0.500000	5.000000
SaidaP	SaidaI	SaidaD	J	Kp	Ki	Kd
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053828	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.053828	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.054046	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053828	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.404590	-0.053828	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053828	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.361004	-0.053610	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053392	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.295626	-0.053065	0.000000	0.000000	0.400000	0.200000	0.000000
-5.295626	-0.052956	0.000000	0.000000	0.400000	0.200000	0.000000
-5.273833	-0.052847	0.000000	0.000000	0.400000	0.200000	0.000000
-5.273833	-0.052738	0.000000	0.000000	0.400000	0.200000	0.000000
-5.295626	-0.052847	0.000000	0.000000	0.400000	0.200000	0.000000
-5.295626	-0.052956	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053065	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.273833	-0.052956	0.000000	0.000000	0.400000	0.200000	0.000000
-5.273833	-0.052738	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.052956	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.273833	-0.052956	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.052956	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.273833	-0.052956	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.052956	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.317419	-0.053174	0.000000	0.000000	0.400000	0.200000	0.000000
-5.273833	-0.052956	0.000000	0.000000	0.400000	0.200000	0.000000
-5.273833	-0.052738	0.000000	0.000000	0.400000	0.200000	0.000000
