PIDRelay
Kp	Ki	Kd	Kr
0.400000	0.200000	0.000000	0.010000
SaidaP	SaidaI	SaidaD	SaidaR
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.123749	-0.061129	0.000000	0.000000
-6.101956	-0.061129	0.000000	0.000000
-6.123749	-0.061129	0.000000	0.000000
-6.101956	-0.061129	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.145541	-0.061237	0.000000	0.000000
-6.123749	-0.061346	0.000000	0.000000
-6.123749	-0.061237	0.000000	0.000000
-6.145541	-0.061346	0.000000	0.000000
-6.101956	-0.061237	0.000000	0.000000
-6.145541	-0.061237	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.145541	-0.061455	0.000000	0.000000
-6.123749	-0.061346	0.000000	0.000000
-6.101956	-0.061129	0.000000	0.000000
-6.145541	-0.061237	0.000000	0.000000
-6.101956	-0.061237	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
-6.101956	-0.061020	0.000000	0.000000
