PIDRelay
Kp	Ki	Kd	Kr
0.400000	0.200000	0.000000	0.100000
SaidaP	SaidaI	SaidaD	SaidaR
-5.535346	-0.055353	0.000000	0.000000
-5.557138	-0.055462	0.000000	0.000000
-5.578931	-0.055680	0.000000	0.000000
-5.666102	-0.056225	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.709687	-0.056879	0.000000	0.000000
-5.753273	-0.057315	0.000000	0.000000
-5.753273	-0.057533	0.000000	0.000000
-5.796858	-0.057751	0.000000	0.000000
-5.840444	-0.058187	0.000000	0.000000
-5.884029	-0.058622	0.000000	0.000000
-5.840444	-0.058622	0.000000	0.000000
-5.840444	-0.058404	0.000000	0.000000
-5.840444	-0.058404	0.000000	0.000000
-5.796858	-0.058187	0.000000	0.000000
-5.796858	-0.057969	0.000000	0.000000
-5.796858	-0.057969	0.000000	0.000000
-5.796858	-0.057969	0.000000	0.000000
-5.753273	-0.057751	0.000000	0.000000
-5.753273	-0.057533	0.000000	0.000000
-5.709687	-0.057315	0.000000	0.000000
-5.709687	-0.057097	0.000000	0.000000
-5.709687	-0.057097	0.000000	0.000000
-5.687895	-0.056988	0.000000	0.000000
-5.666102	-0.056770	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.622517	-0.056443	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.644309	-0.056334	0.000000	0.000000
-5.622517	-0.056334	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.666102	-0.056443	0.000000	0.000000
-5.622517	-0.056443	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.644309	-0.056334	0.000000	0.000000
-5.622517	-0.056334	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.666102	-0.056443	0.000000	0.000000
-5.622517	-0.056443	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.666102	-0.056443	0.000000	0.000000
-5.622517	-0.056443	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.644309	-0.056334	0.000000	0.000000
-5.622517	-0.056334	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.666102	-0.056443	0.000000	0.000000
-5.622517	-0.056443	0.000000	0.000000
-5.666102	-0.056443	0.000000	0.000000
-5.622517	-0.056443	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.666102	-0.056443	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.622517	-0.056443	0.000000	0.000000
-5.622517	-0.056225	0.000000	0.000000
-5.666102	-0.056443	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.056661	0.000000	0.000000
-5.666102	-0.113322	0.000000	0.000000
-5.666102	-0.169983	0.000000	0.000000
-5.666102	-0.226644	0.000000	0.000000
-5.666102	-0.283305	0.000000	0.000000
-5.666102	-0.339966	0.000000	0.000000
-5.666102	-0.396627	0.000000	0.000000
-5.666102	-0.453288	0.000000	0.000000
-5.666102	-0.509949	0.000000	0.000000
-5.622517	-0.566392	0.000000	0.000000
-5.622517	-0.622617	0.000000	0.000000
-5.622517	-0.678843	0.000000	0.000000
-5.622517	-0.735068	0.000000	0.000000
-5.622517	-0.791293	0.000000	0.000000
-5.622517	-0.847518	0.000000	0.000000
-5.622517	-0.903743	0.000000	0.000000
-5.622517	-0.959968	0.000000	0.000000
-5.622517	-1.016194	0.000000	0.000000
-5.622517	-1.072419	0.000000	0.000000
-5.622517	-1.128644	0.000000	0.000000
-5.622517	-1.184869	0.000000	0.000000
-5.622517	-1.241094	0.000000	0.000000
-5.622517	-1.297319	0.000000	0.000000
-5.622517	-1.353545	0.000000	0.000000
-5.622517	-1.409770	0.000000	0.000000
-5.622517	-1.465995	0.000000	0.000000
-5.578931	-1.522002	0.000000	0.000000
-5.622517	-1.578009	0.000000	0.000000
-5.622517	-1.634235	0.000000	0.000000
-5.578931	-1.690242	0.000000	0.000000
-5.622517	-1.746249	0.000000	0.000000
-5.622517	-1.802474	0.000000	0.000000
-5.622517	-1.858699	0.000000	0.000000
-5.578931	-1.914707	0.000000	0.000000
-5.578931	-1.970496	0.000000	0.000000
-5.578931	-2.026285	0.000000	0.000000
-5.578931	-2.082075	0.000000	0.000000
-5.578931	-2.137864	0.000000	0.000000
-5.578931	-2.193653	0.000000	0.000000
-5.578931	-2.249442	0.000000	0.000000
-5.578931	-2.305232	0.000000	0.000000
-5.578931	-2.361021	0.000000	0.000000
-5.578931	-2.416810	0.000000	0.000000
-5.578931	-2.472600	0.000000	0.000000
-5.578931	-2.528389	0.000000	0.000000
-5.578931	-2.584178	0.000000	0.000000
-5.578931	-2.639968	0.000000	0.000000
-5.578931	-2.695757	0.000000	0.000000
-5.578931	-2.751546	0.000000	0.000000
-5.578931	-2.807336	0.000000	0.000000
-5.578931	-2.863125	0.000000	0.000000
-5.578931	-2.918914	0.000000	0.000000
-5.535346	-2.974486	0.000000	0.000000
-5.535346	-3.029839	0.000000	0.000000
-5.535346	-3.085193	0.000000	0.000000
-5.535346	-3.140546	0.000000	0.000000
-5.535346	-3.195899	0.000000	0.000000
-5.535346	-3.251253	0.000000	0.000000
-5.535346	-3.306606	0.000000	0.000000
-5.535346	-3.361960	0.000000	0.000000
-5.578931	-3.417531	0.000000	0.000000
-5.535346	-3.473103	0.000000	0.000000
-5.535346	-3.528456	0.000000	0.000000
-5.535346	-3.583809	0.000000	0.000000
-5.535346	-3.639163	0.000000	0.000000
-5.535346	-3.694516	0.000000	0.000000
-5.535346	-3.749870	0.000000	0.000000
-5.535346	-3.805223	0.000000	0.000000
-5.535346	-3.860577	0.000000	0.000000
-5.535346	-3.915930	0.000000	0.000000
-5.535346	-3.971284	0.000000	0.000000
-5.535346	-4.026637	0.000000	0.000000
-5.535346	-4.081991	0.000000	0.000000
-5.535346	-4.137344	0.000000	0.000000
-5.535346	-4.192698	0.000000	0.000000
