PID
Kp	Ki	Kd
0.400000	0.200000	0.000000
SaidaP	SaidaI	SaidaD
1.132524	0.011325	0.000000
1.132524	0.011325	0.000000
1.132524	0.011325	0.000000
1.132524	0.011325	0.000000
1.132524	0.011325	0.000000
1.088939	0.011107	0.000000
1.088939	0.010889	0.000000
1.088939	0.010889	0.000000
1.045354	0.010671	0.000000
1.001768	0.010236	0.000000
1.001768	0.010018	0.000000
0.958183	0.009800	0.000000
0.955089	0.009566	0.000000
0.892805	0.009239	0.000000
0.911504	0.009022	0.000000
0.911504	0.009115	0.000000
0.871012	0.008913	0.000000
0.911504	0.008913	0.000000
0.867919	0.008897	0.000000
0.847673	0.008578	0.000000
0.867919	0.008578	0.000000
0.740256	0.008041	0.000000
0.737162	0.007387	0.000000
0.737162	0.007372	0.000000
0.737162	0.007372	0.000000
0.693577	0.007154	0.000000
0.693577	0.006936	0.000000
0.693577	0.006936	0.000000
0.693577	0.006936	0.000000
0.693577	0.006936	0.000000
0.693577	0.006936	0.000000
0.693577	0.006936	0.000000
0.693577	0.006936	0.000000
0.693577	0.006936	0.000000
0.649992	0.006718	0.000000
0.649992	0.006500	0.000000
0.649992	0.006500	0.000000
0.606406	0.006282	0.000000
0.606406	0.006064	0.000000
0.606406	0.006064	0.000000
0.606406	0.006064	0.000000
0.606406	0.006064	0.000000
0.606406	0.006064	0.000000
0.606406	0.006064	0.000000
0.562821	0.005846	0.000000
0.562821	0.005628	0.000000
0.562821	0.005628	0.000000
0.519235	0.005410	0.000000
0.519235	0.005192	0.000000
0.559727	0.005395	0.000000
0.516142	0.005379	0.000000
0.472557	0.004943	0.000000
0.428971	0.004508	0.000000
0.469463	0.004492	0.000000
0.425878	0.004477	0.000000
0.486616	0.004562	0.000000
0.503769	0.004952	0.000000
0.460183	0.004820	0.000000
0.460183	0.004602	0.000000
0.416598	0.004384	0.000000
0.416598	0.004166	0.000000
0.413505	0.004151	0.000000
0.413505	0.004135	0.000000
0.413505	0.004135	0.000000
0.453997	0.004338	0.000000
0.453997	0.004540	0.000000
0.410411	0.004322	0.000000
0.450903	0.004307	0.000000
0.450903	0.004509	0.000000
0.450903	0.004509	0.000000
0.450903	0.004509	0.000000
0.450903	0.004509	0.000000
0.450903	0.004509	0.000000
0.450903	0.004509	0.000000
0.407318	0.004291	0.000000
0.407318	0.004073	0.000000
0.450903	0.004291	0.000000
0.450903	0.004509	0.000000
0.450903	0.004509	0.000000
0.450903	0.004509	0.000000
0.450903	0.004509	0.000000
0.407318	0.004291	0.000000
0.450903	0.004291	0.000000
0.429111	0.004400	0.000000
0.429111	0.004291	0.000000
0.450903	0.004400	0.000000
0.407318	0.004291	0.000000
0.407318	0.004073	0.000000
0.450903	0.004291	0.000000
0.450903	0.004509	0.000000
0.494489	0.004727	0.000000
0.581660	0.005381	0.000000
0.668830	0.006252	0.000000
0.756001	0.007124	0.000000
0.777794	0.007669	0.000000
0.843172	0.008105	0.000000
0.930343	0.008868	0.000000
0.930343	0.009303	0.000000
0.930343	0.009303	0.000000
0.930343	0.009303	0.000000
0.930343	0.009303	0.000000
0.973928	0.009521	0.000000
0.973928	0.009739	0.000000
0.973928	0.009739	0.000000
0.930343	0.009521	0.000000
0.908550	0.009194	0.000000
0.886757	0.008977	0.000000
0.843172	0.008650	0.000000
0.843172	0.008432	0.000000
0.802680	0.008229	0.000000
0.802680	0.008027	0.000000
0.802680	0.008027	0.000000
0.843172	0.008229	0.000000
0.933436	0.008883	0.000000
1.017513	0.009755	0.000000
1.061099	0.010393	0.000000
1.104684	0.010829	0.000000
1.128024	0.011164	0.000000
1.104684	0.011164	0.000000
1.020607	0.010626	0.000000
1.020607	0.010206	0.000000
1.020607	0.010206	0.000000
0.977021	0.009988	0.000000
1.017513	0.009973	0.000000
0.933436	0.009755	0.000000
0.930343	0.009319	0.000000
0.843172	0.008868	0.000000
0.712416	0.007778	0.000000
0.668830	0.006906	0.000000
0.665737	0.006673	0.000000
0.622152	0.006439	0.000000
0.578566	0.006004	0.000000
0.619058	0.005988	0.000000
0.575473	0.005973	0.000000
0.615965	0.005957	0.000000
0.615965	0.006160	0.000000
0.615965	0.006160	0.000000
0.572379	0.005942	0.000000
0.528794	0.005506	0.000000
0.528794	0.005288	0.000000
0.528794	0.005288	0.000000
0.528794	0.005288	0.000000
0.528794	0.005288	0.000000
0.569286	0.005490	0.000000
0.569286	0.005693	0.000000
0.569286	0.005693	0.000000
0.566193	0.005677	0.000000
0.522607	0.005444	0.000000
0.482115	0.005024	0.000000
0.482115	0.004821	0.000000
0.525701	0.005039	0.000000
0.917969	0.007218	0.000000
0.961555	0.009398	0.000000
0.961555	0.009616	0.000000
0.961555	0.009616	0.000000
0.787213	0.008744	0.000000
0.525701	0.006565	0.000000
0.525701	0.005257	0.000000
0.525701	0.005257	0.000000
0.700042	0.006129	0.000000
0.961555	0.008308	0.000000
0.961555	0.009616	0.000000
0.961555	0.009616	0.000000
0.874384	0.009180	0.000000
0.612872	0.007436	0.000000
0.569286	0.005911	0.000000
0.547493	0.005584	0.000000
0.743628	0.006456	0.000000
0.961555	0.008526	0.000000
1.005140	0.009833	0.000000
1.005140	0.010051	0.000000
1.005140	0.010051	0.000000
0.917969	0.009616	0.000000
0.743628	0.008308	0.000000
0.656457	0.007000	0.000000
0.656457	0.006565	0.000000
0.656457	0.006565	0.000000
0.700042	0.006782	0.000000
0.700042	0.007000	0.000000
0.612872	0.006565	0.000000
0.525701	0.005693	0.000000
0.525701	0.005257	0.000000
0.525701	0.005257	0.000000
0.656457	0.005911	0.000000
0.961555	0.008090	0.000000
1.005140	0.009833	0.000000
1.045632	0.010254	0.000000
1.045632	0.010456	0.000000
1.002047	0.010238	0.000000
1.002047	0.010020	0.000000
1.045632	0.010238	0.000000
1.045632	0.010456	0.000000
1.045632	0.010456	0.000000
1.045632	0.010456	0.000000
1.086124	0.010659	0.000000
1.086124	0.010861	0.000000
0.952275	0.010192	0.000000
0.734348	0.008433	0.000000
0.731254	0.007328	0.000000
0.687669	0.007095	0.000000
0.684576	0.006861	0.000000
0.640990	0.006628	0.000000
0.637897	0.006394	0.000000
0.594312	0.006161	0.000000
0.550726	0.005725	0.000000
0.547633	0.005492	0.000000
0.504047	0.005258	0.000000
0.544539	0.005243	0.000000
0.500954	0.005227	0.000000
0.500954	0.005010	0.000000
0.500954	0.005010	0.000000
0.457369	0.004792	0.000000
0.457369	0.004574	0.000000
0.479161	0.004683	0.000000
0.500954	0.004901	0.000000
0.588125	0.005445	0.000000
-2573.275295	-12.863436	0.000000
0.939901	-12.861677	0.000000
0.939901	0.009399	0.000000
0.960147	0.009500	0.000000
0.918109	0.009391	0.000000
0.896316	0.009072	0.000000
0.896316	0.008963	0.000000
0.936808	0.009166	0.000000
0.893223	0.009150	0.000000
0.806052	0.008496	0.000000
0.806052	0.008061	0.000000
0.806052	0.008061	0.000000
0.806052	0.008061	0.000000
0.893223	0.008496	0.000000
0.980393	0.009368	0.000000
0.980393	0.009804	0.000000
0.980393	0.009804	0.000000
0.980393	0.009804	0.000000
0.980393	0.009804	0.000000
0.980393	0.009804	0.000000
0.980393	0.009804	0.000000
0.980393	0.009804	0.000000
0.980393	0.009804	0.000000
1.023979	0.010022	0.000000
1.064471	0.010442	0.000000
1.064471	0.010645	0.000000
1.064471	0.010645	0.000000
1.108056	0.010863	0.000000
1.108056	0.011081	0.000000
1.148548	0.011283	0.000000
1.148548	0.011485	0.000000
1.148548	0.011485	0.000000
1.108056	0.011283	0.000000
1.151642	0.011298	0.000000
1.151642	0.011516	0.000000
1.195227	0.011734	0.000000
1.195227	0.011952	0.000000
1.195227	0.011952	0.000000
1.195227	0.011952	0.000000
1.195227	0.011952	0.000000
1.195227	0.011952	0.000000
1.238813	0.012170	0.000000
1.238813	0.012388	0.000000
1.238813	0.012388	0.000000
1.198320	0.012186	0.000000
1.241906	0.012201	0.000000
1.160922	0.012014	0.000000
1.123523	0.011422	0.000000
1.083031	0.011033	0.000000
0.964648	0.010238	0.000000
0.902363	0.009335	0.000000
0.880571	0.008915	0.000000
0.921063	0.009008	0.000000
0.921063	0.009211	0.000000
0.874384	0.008977	0.000000
0.656457	0.007654	0.000000
0.569286	0.006129	0.000000
0.525701	0.005475	0.000000
0.525701	0.005257	0.000000
0.482115	0.005039	0.000000
0.525701	0.005039	0.000000
0.525701	0.005257	0.000000
0.525701	0.005257	0.000000
0.525701	0.005257	0.000000
0.612872	0.005693	0.000000
0.833892	0.007234	0.000000
0.880571	0.008572	0.000000
0.880571	0.008806	0.000000
0.840079	0.008603	0.000000
0.796493	0.008183	0.000000
0.752908	0.007747	0.000000
0.752908	0.007529	0.000000
0.752908	0.007529	0.000000
0.793400	0.007732	0.000000
0.749814	0.007716	0.000000
0.619058	0.006844	0.000000
0.531887	0.005755	0.000000
0.444717	0.004883	0.000000
0.401131	0.004229	0.000000
0.401131	0.004011	0.000000
0.401131	0.004011	0.000000
0.401131	0.004011	0.000000
0.401131	0.004011	0.000000
0.401131	0.004011	0.000000
0.421377	0.004113	0.000000
0.421377	0.004214	0.000000
0.401131	0.004113	0.000000
0.401131	0.004011	0.000000
