PIDRelay
Kp	Ki	Kd	Kr
0.400000	0.200000	0.000000	0.010000
SaidaP	SaidaI	SaidaD	SaidaR	EntradaR
-0.666850	-0.006669	0.000000	0.000000
-0.710436	-0.006886	0.000000	0.000000
-0.754021	-0.007322	0.000000	0.000000
-0.757115	-0.007556	0.000000	0.000000
-0.757115	-0.007571	0.000000	0.000000
-0.757115	-0.007571	0.000000	0.000000
-0.757115	-0.007571	0.000000	0.000000
-0.797607	-0.007774	0.000000	0.000000
-0.713529	-0.007556	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.797607	-0.007556	0.000000	0.000000
-0.757115	-0.007774	0.000000	0.000000
-0.757115	-0.007571	0.000000	0.000000
-0.713529	-0.007353	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.713529	-0.007135	0.000000	0.000000
-0.754021	-0.007338	0.000000	0.000000
-0.754021	-0.007540	0.000000	0.000000
-0.754021	-0.007540	0.000000	0.000000
-0.794513	-0.007743	0.000000	0.000000
-0.794513	-0.007945	0.000000	0.000000
-0.794513	-0.007945	0.000000	0.000000
-0.794513	-0.007945	0.000000	0.000000
-0.794513	-0.007945	0.000000	0.000000
-0.794513	-0.007945	0.000000	0.000000
-0.794513	-0.007945	0.000000	0.000000
-0.794513	-0.007945	0.000000	0.000000
-0.794513	-0.007945	0.000000	0.000000
-0.835005	-0.008148	0.000000	0.000000
-0.835005	-0.008350	0.000000	0.000000
-0.835005	-0.008350	0.000000	0.000000
-0.835005	-0.008350	0.000000	0.000000
-0.835005	-0.008350	0.000000	0.000000
-0.835005	-0.008350	0.000000	0.000000
-0.835005	-0.008350	0.000000	0.000000
-0.835005	-0.008350	0.000000	0.000000
-0.965762	-0.009004	0.000000	0.000000
-0.965762	-0.009658	0.000000	0.000000
-0.965762	-0.009658	0.000000	0.000000
-0.922176	-0.009440	0.000000	0.000000
-0.962668	-0.009424	0.000000	0.000000
-0.962668	-0.009627	0.000000	0.000000
-0.962668	-0.009627	0.000000	0.000000
-0.962668	-0.009627	0.000000	0.000000
-0.919083	-0.009409	0.000000	0.000000
-0.919083	-0.009191	0.000000	0.000000
-0.919083	-0.009191	0.000000	0.000000
-0.919083	-0.009191	0.000000	0.000000
-0.959575	-0.009393	0.000000	0.000000
-0.959575	-0.009596	0.000000	0.000000
-0.959575	-0.009596	0.000000	0.000000
-1.000067	-0.009798	0.000000	0.000000
-1.000067	-0.010001	0.000000	0.000000
-1.087238	-0.010437	0.000000	0.000000
-1.087238	-0.010872	0.000000	0.000000
-1.065445	-0.010763	0.000000	0.000000
-1.084144	-0.010748	0.000000	0.000000
-1.084144	-0.010841	0.000000	0.000000
-1.124636	-0.011044	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.124636	-0.011246	0.000000	0.000000
-1.165128	-0.011449	0.000000	0.000000
-1.165128	-0.011651	0.000000	0.000000
-1.165128	-0.011651	0.000000	0.000000
-1.165128	-0.011651	0.000000	0.000000
-1.165128	-0.011651	0.000000	0.000000
-1.165128	-0.011651	0.000000	0.000000
-1.124636	-0.011449	0.000000	0.000000
-1.081051	-0.011028	0.000000	0.000000
-1.124636	-0.011028	0.000000	0.000000
-1.121543	-0.011231	0.000000	0.000000
-1.081051	-0.011013	0.000000	0.000000
-1.081051	-0.010811	0.000000	0.000000
-1.081051	-0.010811	0.000000	0.000000
-1.081051	-0.010811	0.000000	0.000000
-1.081051	-0.010811	0.000000	0.000000
-1.081051	-0.010811	0.000000	0.000000
-1.081051	-0.010811	0.000000	0.000000
-1.081051	-0.010811	0.000000	0.000000
-1.081051	-0.010811	0.000000	0.000000
-1.037466	-0.010593	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-0.993880	-0.010157	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-1.037466	-0.010157	0.000000	0.000000
-0.993880	-0.010157	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-1.037466	-0.010157	0.000000	0.000000
-1.037466	-0.010375	0.000000	0.000000
-0.993880	-0.010157	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-1.015673	-0.010048	0.000000	0.000000
-0.993880	-0.010048	0.000000	0.000000
-1.037466	-0.010157	0.000000	0.000000
-0.993880	-0.010157	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-0.993880	-0.009939	0.000000	0.000000
-1.034372	-0.010141	0.000000	0.000000
-1.034372	-0.010344	0.000000	0.000000
-0.993880	-0.010141	0.000000	0.000000
-0.950295	-0.009721	0.000000	0.000000
-0.863124	-0.009067	0.000000	0.000000
-0.860031	-0.008616	0.000000	0.000000
-0.775953	-0.008180	0.000000	0.000000
-0.732368	-0.007542	0.000000	0.000000
-0.732368	-0.007324	0.000000	0.000000
-0.729274	-0.007308	0.000000	0.000000
-0.645197	-0.006872	0.000000	0.000000
-0.665443	-0.006553	0.000000	0.000000
-0.645197	-0.006553	0.000000	0.000000
-0.645197	-0.006452	0.000000	0.000000
-0.645197	-0.006452	0.000000	0.000000
-0.601612	-0.006234	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.601612	-0.006016	0.000000	0.000000
-0.558026	-0.005798	0.000000	0.000000
-0.514441	-0.005362	0.000000	0.000000
-0.514441	-0.005144	0.000000	0.000000
-0.514441	-0.005144	0.000000	0.000000
-0.514441	-0.005144	0.000000	0.000000
-0.514441	-0.005144	0.000000	0.000000
-0.558026	-0.005362	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.514441	-0.005362	0.000000	0.000000
-0.558026	-0.005362	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.558026	-0.005580	0.000000	0.000000
-0.598518	-0.005783	0.000000	0.000000
-0.598518	-0.005985	0.000000	0.000000
-0.639010	-0.006188	0.000000	0.000000
-0.639010	-0.006390	0.000000	0.000000
-0.639010	-0.006390	0.000000	0.000000
-0.639010	-0.006390	0.000000	0.000000
-0.639010	-0.006390	0.000000	0.000000
-0.639010	-0.006390	0.000000	0.000000
-0.682596	-0.006608	0.000000	0.000000
