P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	13,000000	10,000000	19,000000	18,000000	1,000000	1,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0,871688	0,101232	0,000000	0,871688	19,600000	0,000000	0,000000	11463938,799993	0,440970	0,000196	0,000000	0,000000
-0,980649	0,101232	0,000000	0,980649	20,800000	0,000000	0,000000	11463959,599993	0,496104	0,000208	0,000000	0,000000
-0,980649	0,101232	0,000000	0,980649	19,400000	0,000000	0,000000	11463978,999993	0,496032	0,000194	0,000000	0,000000
-0,980649	0,101232	0,000000	0,980649	20,400000	0,000000	0,000000	11463999,399993	0,496326	0,000204	0,000000	0,000000
-0,980649	0,101232	0,000000	0,980649	19,400000	0,000000	0,000000	11464018,799993	0,496032	0,000194	0,000000	0,000000
-0,980649	0,101232	0,000000	0,980649	20,600000	0,000000	0,000000	11464039,399993	0,496385	0,000206	0,000000	0,000000
-0,980649	0,101232	0,000000	0,980649	19,600000	0,000000	0,000000	11464058,999993	0,496091	0,000196	0,000000	0,000000
-0,762727	0,101232	0,000000	0,762727	21,600000	0,000000	0,000000	11464080,599993	0,387012	0,000216	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	18,400000	0,000000	0,000000	11464098,999993	0,276011	0,000184	0,000000	0,000000
0,000000	0,101232	0,000000	0,000000	20,400000	0,000000	0,000000	11464119,399993	0,001667	0,000000	0,000000	0,000000
0,108961	0,101232	0,000000	-0,108961	19,600000	0,000000	0,000000	11464138,999993	-0,054801	-0,000196	0,000000	0,000000
0,217922	0,101232	0,000000	-0,217922	20,600000	0,000000	0,000000	11464159,599993	-0,109971	-0,000206	0,000000	0,000000
0,108961	0,101232	0,000000	-0,108961	19,400000	0,000000	0,000000	11464178,999993	-0,055432	-0,000194	0,000000	0,000000
0,217922	0,101232	0,000000	-0,217922	20,600000	0,000000	0,000000	11464199,599993	-0,109971	-0,000206	0,000000	0,000000
0,217922	0,101232	0,000000	-0,217922	19,400000	0,000000	0,000000	11464218,999993	-0,110229	-0,000194	0,000000	0,000000
0,217922	0,101232	0,000000	-0,217922	20,600000	0,000000	0,000000	11464239,599993	-0,110308	-0,000206	0,000000	0,000000
0,217922	0,101232	0,000000	-0,217922	19,400000	0,000000	0,000000	11464258,999993	-0,110229	-0,000194	0,000000	0,000000
0,326883	0,101232	0,000000	-0,326883	20,600000	0,000000	0,000000	11464279,599993	-0,165125	-0,000206	0,000000	0,000000
0,217922	0,101232	0,000000	-0,217922	19,600000	0,000000	0,000000	11464299,199993	-0,110563	-0,000196	0,000000	0,000000
0,326883	0,101232	0,000000	-0,326883	20,400000	0,000000	0,000000	11464319,599993	-0,165109	-0,000204	0,000000	0,000000
