P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	5,000000	10,000000	30,000000	20,000000	1,000000	0,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,000000	0,000000	0,000000	0,000000	19,850000	0,000000	0,000000	1718326,849999	0,000000	-0,000198	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,850000	0,000000	0,000000	1718346,699999	0,000000	-0,000198	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,300000	0,000000	0,000000	1718366,999999	0,000000	-0,000203	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	20,700000	0,000000	0,000000	1718387,699999	0,000000	-0,000207	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,050000	0,000000	0,000000	1718406,749999	0,000000	-0,000190	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718426,649999	0,000000	-0,000199	0,000000	0,000000
0,054481	0,000000	0,000000	0,000000	20,000000	0,000000	0,000000	1718446,649999	0,000000	-0,000200	0,000000	0,000000
0,054481	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1718467,049999	0,000000	-0,000204	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718486,949999	0,000000	-0,000199	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,850000	0,000000	0,000000	1718506,799999	0,000000	-0,000198	0,000000	0,000000
0,054481	0,000000	0,000000	0,000000	19,950000	0,000000	0,000000	1718526,749999	0,000000	-0,000199	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718546,649999	0,000000	-0,000199	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1718567,049999	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,850000	0,000000	0,000000	1718586,899999	0,000000	-0,000198	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718606,799999	0,000000	-0,000199	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718626,699999	0,000000	-0,000199	0,000000	0,000000
0,054481	0,000000	0,000000	0,000000	20,300000	0,000000	0,000000	1718646,999999	0,000000	-0,000203	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,850000	0,000000	0,000000	1718666,849999	0,000000	-0,000198	0,000000	0,000000
0,054481	0,000000	0,000000	0,000000	19,950000	0,000000	0,000000	1718686,799999	0,000000	-0,000199	0,000000	0,000000
0,054481	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718706,699999	0,000000	-0,000199	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,950000	0,000000	0,000000	1718726,649999	0,000000	-0,000199	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	1718747,049999	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718766,949999	0,000000	-0,000199	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718786,849999	0,000000	-0,000199	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718806,749999	0,000000	-0,000199	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718826,649999	0,000000	-0,000199	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,350000	0,000000	0,000000	1718846,999999	0,000000	-0,000203	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,900000	0,000000	0,000000	1718866,899999	0,000000	-0,000199	0,000000	0,000000
0,108961	0,000000	0,000000	0,000000	19,950000	0,000000	0,000000	1718886,849999	0,000000	-0,000199	0,000000	0,000000
