OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
11.000000	10.000000	28.000000	30.000000	1.000000	1.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
1.720913	0.000000	19.900000	1881191.250000	0.000000	0.000000
1.720913	0.000000	20.400000	1881211.650000	0.000000	0.000000
1.720913	0.000000	22.000000	1881233.650000	0.000000	0.000000
1.720913	0.000000	18.250000	1881251.900000	0.000000	0.000000
1.720913	0.000000	19.050000	1881270.950000	0.000000	0.000000
1.720913	0.000000	19.900000	1881290.850000	0.000000	0.000000
1.720913	0.000000	20.500000	1881311.350000	0.000000	0.000000
1.720913	0.000000	19.900000	1881331.250000	0.000000	0.000000
1.720913	0.000000	19.950000	1881351.200000	0.000000	0.000000
1.720913	0.000000	20.650000	1881371.850000	0.000000	0.000000
1.720913	0.000000	19.000000	1881390.850000	0.000000	0.000000
1.720913	0.000000	19.950000	1881410.800000	0.000000	0.000000
1.720913	0.000000	20.450000	1881431.250000	0.000000	0.000000
1.720913	0.000000	19.950000	1881451.200000	0.000000	0.000000
1.720913	0.000000	20.300000	1881471.500000	0.000000	0.000000
1.720913	0.000000	20.450000	1881491.950000	0.000000	0.000000
1.720913	0.000000	19.100000	1881511.050000	0.000000	0.000000
1.720913	0.000000	19.800000	1881530.850000	0.000000	0.000000
1.720913	0.000000	19.950000	1881550.800000	0.000000	0.000000
1.720913	0.000000	20.600000	1881571.400000	0.000000	0.000000
1.720913	0.000000	19.950000	1881591.350000	0.000000	0.000000
1.720913	0.000000	19.900000	1881611.250000	0.000000	0.000000
1.720913	0.000000	20.400000	1881631.650000	0.000000	0.000000
1.720913	0.000000	19.850000	1881651.500000	0.000000	0.000000
1.720913	0.000000	19.850000	1881671.350000	0.000000	0.000000
1.720913	0.000000	19.950000	1881691.300000	0.000000	0.000000
1.720913	0.000000	19.950000	1881711.250000	0.000000	0.000000
1.720913	0.000000	20.500000	1881731.750000	0.000000	0.000000
1.720913	0.000000	21.950000	1881753.700000	0.000000	0.000000
1.720913	0.000000	17.500000	1881771.200000	0.000000	0.000000
1.720913	0.298500	19.900000	1881791.100000	0.000000	10.575943
1.720913	0.597000	19.900000	1881811.000000	0.000000	10.456695
1.720913	0.903000	20.400000	1881831.400000	0.000000	10.334470
1.720913	1.200750	19.850000	1881851.250000	0.000000	10.215531
1.720913	1.506750	20.400000	1881871.650000	0.000000	10.093241
1.720913	1.804500	19.850000	1881891.500000	11.025835	0.000000
1.720913	2.104500	20.000000	1881911.500000	11.145934	0.000000
1.720913	2.472000	24.500000	1881936.000000	11.293214	0.000000
1.720913	2.770500	19.900000	1881955.900000	11.413113	0.000000
1.720913	3.188250	27.850000	1881983.750000	11.581015	0.000000
1.720913	3.494250	20.400000	1882004.150000	11.704548	0.000000
1.720913	3.816750	21.500000	1882025.650000	11.835025	0.000000
1.720913	4.104750	19.200000	1882044.850000	11.952063	0.000000
1.720913	4.413000	20.550000	1882065.400000	12.077603	0.000000
1.720913	4.710750	19.850000	1882085.250000	12.199380	0.000000
1.720913	5.235000	34.950000	1882120.200000	12.412485	0.000000
1.720913	5.521500	19.100000	1882139.300000	12.531124	0.000000
1.720913	5.853000	22.100000	1882161.400000	12.668367	0.000000
1.720913	6.157500	20.300000	1882181.700000	12.795443	0.000000
1.720913	6.456750	19.950000	1882201.650000	12.921065	0.000000
1.720913	6.766500	20.650000	1882222.300000	13.051584	0.000000
2.024603	7.095000	21.900000	1882244.200000	13.068685	0.000000
2.024603	7.473000	25.200000	1882269.400000	13.227745	0.000000
2.125833	7.935000	30.800000	1882300.200000	13.380986	0.000000
2.125833	8.241750	20.450000	1882320.650000	13.513515	0.000000
2.125833	8.515500	18.250000	1882338.900000	13.633664	0.000000
2.125833	8.820000	20.300000	1882359.200000	13.767004	0.000000
2.125833	9.119250	19.950000	1882379.150000	13.899186	0.000000
2.125833	9.423750	20.300000	1882399.450000	14.034454	0.000000
2.125833	9.721500	19.850000	1882419.300000	14.168032	0.000000
2.125833	10.020750	19.950000	1882439.250000	14.303255	0.000000
2.227063	10.332000	20.750000	1882460.000000	14.403794	0.000000
2.227063	10.625250	19.550000	1882479.550000	14.538629	0.000000
2.328294	10.923000	19.850000	1882499.400000	14.635798	0.000000
2.429524	11.227500	20.300000	1882519.700000	14.736634	0.000000
2.429524	11.526750	19.950000	1882539.650000	14.876961	0.000000
2.530754	11.831250	20.300000	1882559.950000	14.980036	0.000000
2.530754	12.128250	19.800000	1882579.750000	15.121756	0.000000
2.530754	12.463500	22.350000	1882602.100000	15.280197	0.000000
2.733214	12.762000	19.900000	1882622.000000	15.344088	0.000000
2.834444	13.060500	19.900000	1882641.900000	15.449450	0.000000
2.935674	13.365750	20.350000	1882662.250000	15.558666	0.000000
2.935674	13.689000	21.550000	1882683.800000	15.716964	0.000000
3.036905	13.963500	18.300000	1882702.100000	15.816545	0.000000
3.036905	14.262000	19.900000	1882722.000000	15.967538	0.000000
3.138135	14.569500	20.500000	1882742.500000	16.083055	0.000000
3.138135	14.869500	20.000000	1882762.500000	16.237497	0.000000
3.239365	15.174000	20.300000	1882782.800000	16.354716	0.000000
