OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	LadoControlado	Referencia	Frequencia	Duracao
11.000000	10.000000	28.000000	30.000000	1.000000	1.000000	50.000000	400.000000
ArmAngle	AngAlvo	dtAmost	dtSum	AmpCH1	AmpCH2
0.000000	0.000000	22.000000	1711774.750000	0.000000	0.000000
0.000000	0.000000	18.250000	1711793.000000	0.000000	0.000000
0.000000	0.000000	69.500000	1711862.500000	0.000000	0.000000
0.000000	0.000000	39.050000	1711901.550000	0.000000	0.000000
0.000000	0.000000	10.300000	1711911.850000	0.000000	0.000000
0.000000	0.000000	9.500000	1711921.350000	0.000000	0.000000
0.000000	0.000000	19.950000	1711941.300000	0.000000	0.000000
0.000000	0.000000	19.900000	1711961.200000	0.000000	0.000000
0.000000	0.000000	20.300000	1711981.500000	0.000000	0.000000
0.000000	0.000000	19.150000	1712000.650000	0.000000	0.000000
0.000000	0.000000	20.300000	1712020.950000	0.000000	0.000000
0.000000	0.000000	19.950000	1712040.900000	0.000000	0.000000
0.000000	0.000000	20.300000	1712061.200000	0.000000	0.000000
0.000000	0.000000	19.950000	1712081.150000	0.000000	0.000000
0.000000	0.000000	19.900000	1712101.050000	0.000000	0.000000
0.000000	0.000000	20.450000	1712121.500000	0.000000	0.000000
0.000000	0.000000	19.850000	1712141.350000	0.000000	0.000000
0.000000	0.000000	19.100000	1712160.450000	0.000000	0.000000
0.000000	0.000000	20.650000	1712181.100000	0.000000	0.000000
0.000000	0.000000	19.850000	1712200.950000	0.000000	0.000000
0.000000	0.000000	20.300000	1712221.250000	0.000000	0.000000
0.000000	0.000000	21.250000	1712242.500000	0.000000	0.000000
0.000000	0.000000	19.100000	1712261.600000	0.000000	0.000000
0.000000	0.000000	19.100000	1712280.700000	0.000000	0.000000
0.000000	0.000000	20.300000	1712301.000000	0.000000	0.000000
0.000000	0.000000	19.950000	1712320.950000	0.000000	0.000000
0.000000	0.000000	20.400000	1712341.350000	0.000000	0.000000
0.000000	0.000000	19.850000	1712361.200000	0.000000	0.000000
0.000000	0.000000	19.950000	1712381.150000	0.000000	0.000000
0.000000	0.000000	20.450000	1712401.600000	0.000000	0.000000
0.000000	0.000000	19.050000	1712420.650000	0.000000	0.000000
0.000000	0.000000	20.450000	1712441.100000	0.000000	0.000000
0.000000	0.000000	19.800000	1712460.900000	0.000000	0.000000
0.000000	0.000000	20.350000	1712481.250000	0.000000	0.000000
0.000000	0.000000	19.900000	1712501.150000	0.000000	0.000000
0.000000	0.000000	20.450000	1712521.600000	0.000000	0.000000
0.000000	0.000000	19.100000	1712540.700000	0.000000	0.000000
0.000000	0.000000	19.900000	1712560.600000	0.000000	0.000000
0.000000	0.000000	20.400000	1712581.000000	0.000000	0.000000
0.000000	0.000000	19.900000	1712600.900000	0.000000	0.000000
0.000000	0.000000	20.500000	1712621.400000	0.000000	0.000000
0.000000	0.000000	19.900000	1712641.300000	0.000000	0.000000
0.000000	0.000000	19.150000	1712660.450000	0.000000	0.000000
0.000000	0.000000	20.450000	1712680.900000	0.000000	0.000000
0.000000	0.000000	19.800000	1712700.700000	0.000000	0.000000
0.000000	0.000000	19.900000	1712720.600000	0.000000	0.000000
0.000000	0.000000	20.450000	1712741.050000	0.000000	0.000000
0.000000	0.000000	19.850000	1712760.900000	0.000000	0.000000
0.000000	0.000000	20.500000	1712781.400000	0.000000	0.000000
0.000000	0.000000	20.300000	1712801.700000	0.000000	0.000000
0.000000	0.000000	19.100000	1712820.800000	0.000000	0.000000
0.000000	0.000000	20.500000	1712841.300000	0.000000	0.000000
0.000000	0.000000	19.950000	1712861.250000	0.000000	0.000000
0.000000	0.000000	20.350000	1712881.600000	0.000000	0.000000
0.000000	0.000000	19.100000	1712900.700000	0.000000	0.000000
0.000000	0.000000	19.900000	1712920.600000	0.000000	0.000000
0.000000	0.000000	21.450000	1712942.050000	0.000000	0.000000
0.000000	0.000000	18.950000	1712961.000000	0.000000	0.000000
0.000000	0.000000	19.900000	1712980.900000	0.000000	0.000000
0.000000	0.000000	20.400000	1713001.300000	0.000000	0.000000
0.000000	0.000000	19.850000	1713021.150000	0.000000	0.000000
0.000000	0.000000	20.400000	1713041.550000	0.000000	0.000000
0.000000	0.000000	19.900000	1713061.450000	0.000000	0.000000
0.000000	0.000000	19.150000	1713080.600000	0.000000	0.000000
0.000000	0.000000	20.600000	1713101.200000	0.000000	0.000000
0.000000	0.000000	21.950000	1713123.150000	0.000000	0.000000
0.000000	0.000000	18.250000	1713141.400000	0.000000	0.000000
0.000000	0.000000	19.900000	1713161.300000	0.000000	0.000000
0.000000	0.000000	19.850000	1713181.150000	0.000000	0.000000
0.000000	0.000000	19.950000	1713201.100000	0.000000	0.000000
0.000000	0.000000	20.300000	1713221.400000	0.000000	0.000000
0.000000	0.000000	19.950000	1713241.350000	0.000000	0.000000
0.000000	0.000000	19.900000	1713261.250000	0.000000	0.000000
0.000000	0.000000	19.900000	1713281.150000	0.000000	0.000000
0.000000	0.000000	20.500000	1713301.650000	0.000000	0.000000
0.000000	0.000000	19.900000	1713321.550000	0.000000	0.000000
0.000000	0.000000	19.600000	1713341.150000	0.000000	0.000000
0.000000	0.000000	19.900000	1713361.050000	0.000000	0.000000
0.000000	0.000000	19.900000	1713380.950000	0.000000	0.000000
0.000000	0.000000	21.500000	1713402.450000	0.000000	0.000000
0.000000	0.000000	18.950000	1713421.400000	0.000000	0.000000
0.000000	0.000000	20.500000	1713441.900000	0.000000	0.000000
0.000000	0.000000	19.750000	1713461.650000	0.000000	0.000000
0.000000	0.000000	19.100000	1713480.750000	0.000000	0.000000
0.000000	0.000000	19.900000	1713500.650000	0.000000	0.000000
0.000000	0.000000	20.400000	1713521.050000	0.000000	0.000000
0.000000	0.000000	20.400000	1713541.450000	0.000000	0.000000
0.000000	0.000000	19.800000	1713561.250000	0.000000	0.000000
0.000000	0.000000	19.900000	1713581.150000	0.000000	0.000000
0.000000	0.000000	20.700000	1713601.850000	0.000000	0.000000
0.000000	0.000000	19.050000	1713620.900000	0.000000	0.000000
0.000000	0.000000	22.050000	1713642.950000	0.000000	0.000000
0.000000	0.000000	18.350000	1713661.300000	0.000000	0.000000
0.000000	0.000000	22.300000	1713683.600000	0.000000	0.000000
0.000000	0.000000	17.950000	1713701.550000	0.000000	0.000000
0.000000	0.000000	19.850000	1713721.400000	0.000000	0.000000
0.000000	0.000000	19.100000	1713740.500000	0.000000	0.000000
0.000000	0.000000	19.900000	1713760.400000	0.000000	0.000000
0.000000	0.000000	20.300000	1713780.700000	0.000000	0.000000
0.000000	0.000000	41.500000	1713822.200000	0.000000	0.000000
0.000000	0.000000	17.500000	1713839.700000	0.000000	0.000000
0.000000	0.000000	19.900000	1713859.600000	0.000000	0.000000
0.000000	0.000000	20.350000	1713879.950000	0.000000	0.000000
0.000000	0.000000	20.650000	1713900.600000	0.000000	0.000000
0.000000	0.000000	19.700000	1713920.300000	0.000000	0.000000
0.000000	0.000000	20.400000	1713940.700000	0.000000	0.000000
0.000000	0.000000	19.600000	1713960.300000	0.000000	0.000000
0.000000	0.000000	19.900000	1713980.200000	0.000000	0.000000
0.000000	0.000000	20.000000	1714000.200000	0.000000	0.000000
0.000000	0.000000	20.300000	1714020.500000	0.000000	0.000000
0.000000	0.000000	20.350000	1714040.850000	0.000000	0.000000
0.000000	0.000000	18.900000	1714059.750000	0.000000	0.000000
0.000000	0.000000	19.950000	1714079.700000	0.000000	0.000000
0.000000	0.000000	20.450000	1714100.150000	0.000000	0.000000
0.000000	0.000000	19.900000	1714120.050000	0.000000	0.000000
0.000000	0.000000	20.650000	1714140.700000	0.000000	0.000000
0.000000	0.000000	19.800000	1714160.500000	0.000000	0.000000
0.000000	0.000000	19.600000	1714180.100000	0.000000	0.000000
0.000000	0.000000	20.350000	1714200.450000	0.000000	0.000000
0.000000	0.000000	19.850000	1714220.300000	0.000000	0.000000
0.000000	0.000000	20.600000	1714240.900000	0.000000	0.000000
0.000000	0.000000	18.950000	1714259.850000	0.000000	0.000000
0.000000	0.000000	19.900000	1714279.750000	0.000000	0.000000
0.000000	0.000000	20.350000	1714300.100000	0.000000	0.000000
0.000000	0.000000	19.900000	1714320.000000	0.000000	0.000000
