P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	4,000000	7,000000	14,000000	15,000000	1,000000	1,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	80488,600000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	80509,200000	-0,484367	-0,000206	0,000000	0,000000
1,198571	-0,101232	0,000000	-1,198571	19,600000	0,000000	0,000000	80528,800000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	23,800000	0,000000	0,000000	80552,600000	-0,485134	-0,000238	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,000000	0,000000	0,000000	80572,600000	-0,484223	-0,000200	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	80592,000000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	80612,600000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	80632,200000	-0,484127	-0,000196	0,000000	0,000000
1,089610	0,000000	0,000000	-1,089610	22,600000	0,000000	0,000000	80654,800000	-0,441015	-0,000226	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	17,400000	0,000000	0,000000	80672,200000	-0,483410	-0,000174	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	80691,800000	-0,484127	-0,000196	0,000000	0,000000
1,198571	-0,101232	0,000000	-1,198571	20,400000	0,000000	0,000000	80712,200000	-0,484319	-0,000204	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	80731,800000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,400000	0,000000	0,000000	80752,200000	-0,484319	-0,000204	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	80771,800000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	80792,400000	-0,484367	-0,000206	0,000000	0,000000
1,198571	-0,101232	0,000000	-1,198571	19,400000	0,000000	0,000000	80811,800000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	80832,400000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	80852,000000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	80872,600000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	80892,000000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,400000	0,000000	0,000000	80912,400000	-0,484319	-0,000204	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	80932,000000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	80952,600000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	80972,000000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	80992,600000	-0,484367	-0,000206	0,000000	0,000000
1,198571	-0,101232	0,000000	-1,198571	19,400000	0,000000	0,000000	81012,000000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81032,600000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81052,200000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81072,800000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	81092,200000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,400000	0,000000	0,000000	81112,600000	-0,484319	-0,000204	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	21,200000	0,000000	0,000000	81133,800000	-0,484510	-0,000212	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,000000	0,000000	0,000000	81152,800000	-0,483983	-0,000190	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	81172,200000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81191,800000	-0,484127	-0,000196	0,000000	0,000000
1,089610	0,000000	0,000000	-1,089610	20,400000	0,000000	0,000000	81212,200000	-0,440512	-0,000204	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81231,800000	-0,483913	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81252,400000	-0,484367	-0,000206	0,000000	0,000000
1,198571	-0,101232	0,000000	-1,198571	19,400000	0,000000	0,000000	81271,800000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81292,400000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	81311,800000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81332,400000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81352,000000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81372,600000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	81392,000000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,400000	0,000000	0,000000	81412,400000	-0,484319	-0,000204	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81432,000000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81452,600000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81472,200000	-0,484127	-0,000196	0,000000	0,000000
1,198571	-0,101232	0,000000	-1,198571	20,400000	0,000000	0,000000	81492,600000	-0,484319	-0,000204	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	81512,000000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81532,600000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81552,200000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81572,800000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	81592,200000	-0,484079	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,400000	0,000000	0,000000	81612,600000	-0,484319	-0,000204	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81632,200000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81652,800000	-0,484367	-0,000206	0,000000	0,000000
1,089610	0,000000	0,000000	-1,089610	19,800000	0,000000	0,000000	81672,600000	-0,440375	-0,000198	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,400000	0,000000	0,000000	81692,000000	-0,483868	-0,000194	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,200000	0,000000	0,000000	81712,200000	-0,484271	-0,000202	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81731,800000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	22,000000	0,000000	0,000000	81753,800000	-0,484702	-0,000220	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	18,000000	0,000000	0,000000	81771,800000	-0,483743	-0,000180	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,600000	0,000000	0,000000	81792,400000	-0,484367	-0,000206	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81812,000000	-0,484127	-0,000196	0,000000	0,000000
1,198571	-0,101232	0,000000	-1,198571	20,400000	0,000000	0,000000	81832,400000	-0,484319	-0,000204	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	19,600000	0,000000	0,000000	81852,000000	-0,484127	-0,000196	0,000000	0,000000
1,198571	0,000000	0,000000	-1,198571	20,400000	0,000000	0,000000	81872,400000	-0,484319	-0,000204	0,000000	0,000000
