P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	6,000000	7,000000	16,000000	16,000000	1,000000	1,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1451219,200000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,800000	0,000000	0,000000	1451239,000000	-0,220079	-0,000198	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1451259,400000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451278,800000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451299,400000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451318,800000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451339,400000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1451359,000000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	22,600000	0,000000	0,000000	1451381,600000	-0,220385	-0,000226	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	17,400000	0,000000	0,000000	1451399,000000	-0,219818	-0,000174	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1451419,400000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1451439,000000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1451459,400000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1451479,000000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451499,600000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451519,000000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451539,600000	-0,220167	-0,000206	0,000000	0,000000
0,653766	0,101232	0,000000	-0,653766	19,600000	0,000000	0,000000	1451559,200000	-0,263856	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451578,600000	-0,220247	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451599,200000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451618,600000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451639,200000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1451658,800000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1451679,200000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1451698,800000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451719,400000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451738,800000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,000000	0,000000	-0,544805	20,600000	0,000000	0,000000	1451759,400000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451778,800000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,800000	0,000000	0,000000	1451799,600000	-0,220188	-0,000208	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451819,000000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1451839,400000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1451859,000000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451879,600000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451899,000000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1451919,400000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1451939,000000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451959,600000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1451979,000000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1451999,600000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1452019,200000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1452039,600000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1452059,200000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1452078,600000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1452099,200000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1452118,800000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1452139,200000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1452158,800000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1452179,400000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1452198,800000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1452219,400000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1452238,800000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1452259,400000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1452278,800000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1452299,400000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1452319,000000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1452339,400000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1452359,000000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1452379,400000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1452399,000000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,600000	0,000000	0,000000	1452419,600000	-0,220167	-0,000206	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1452439,200000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	20,400000	0,000000	0,000000	1452459,600000	-0,220145	-0,000204	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	22,000000	0,000000	0,000000	1452481,600000	-0,220319	-0,000220	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	18,000000	0,000000	0,000000	1452499,600000	-0,219883	-0,000180	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,600000	0,000000	0,000000	1452519,200000	-0,220058	-0,000196	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	24,600000	0,000000	0,000000	1452543,800000	-0,220602	-0,000246	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	19,400000	0,000000	0,000000	1452563,200000	-0,220036	-0,000194	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	22,400000	0,000000	0,000000	1452585,600000	-0,220363	-0,000224	0,000000	0,000000
0,544805	0,101232	0,000000	-0,544805	17,600000	0,000000	0,000000	1452603,200000	-0,219840	-0,000176	0,000000	0,000000
