P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	2,000000	2,000000	9,000000	5,000000	1,000000	1,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
-0,326883	0,101232	0,000000	0,326883	20,350000	0,000000	0,000000	3361674,749998	0,132305	0,000203	0,000000	0,000000
-0,326883	0,101232	0,000000	0,326883	19,850000	0,000000	0,000000	3361694,599998	0,132051	0,000198	0,000000	0,000000
-0,326883	0,101232	0,000000	0,326883	19,900000	0,000000	0,000000	3361714,499998	0,132054	0,000199	0,000000	0,000000
-0,326883	0,101232	0,000000	0,326883	20,000000	0,000000	0,000000	3361734,499998	0,132061	0,000200	0,000000	0,000000
-0,326883	0,101232	0,000000	0,326883	21,100000	0,000000	0,000000	3361755,599998	0,132133	0,000211	0,000000	0,000000
-0,326883	0,101232	0,000000	0,326883	19,150000	0,000000	0,000000	3361774,749998	0,132005	0,000191	0,000000	0,000000
-0,435844	0,101232	0,000000	0,435844	19,900000	0,000000	0,000000	3361794,649998	0,175855	0,000199	0,000000	0,000000
-0,435844	0,101232	0,000000	0,435844	19,850000	0,000000	0,000000	3361814,499998	0,176068	0,000198	0,000000	0,000000
-0,435844	0,101232	0,000000	0,435844	20,300000	0,000000	0,000000	3361834,799998	0,176107	0,000203	0,000000	0,000000
-0,544805	0,101232	0,000000	0,544805	19,950000	0,000000	0,000000	3361854,749998	0,219878	0,000199	0,000000	0,000000
-0,762727	0,101232	0,000000	0,762727	19,900000	0,000000	0,000000	3361874,649998	0,307693	0,000199	0,000000	0,000000
-0,871688	0,101232	0,000000	0,871688	19,900000	0,000000	0,000000	3361894,549998	0,351928	0,000199	0,000000	0,000000
-0,980649	0,101232	0,000000	0,980649	22,050000	0,000000	0,000000	3361916,599998	0,396344	0,000220	0,000000	0,000000
-0,980649	0,101232	0,000000	0,980649	18,800000	0,000000	0,000000	3361935,399998	0,395947	0,000188	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,050000	0,000000	0,000000	3361954,449998	0,439788	0,000190	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	20,400000	0,000000	0,000000	3361974,849998	0,527903	0,000204	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,850000	0,000000	0,000000	3361994,699998	0,528204	0,000198	0,000000	0,000000
-1,416493	0,101232	0,000000	1,416493	19,900000	0,000000	0,000000	3362014,599998	0,572018	0,000199	0,000000	0,000000
-1,470974	0,101232	0,000000	1,470974	19,900000	0,000000	0,000000	3362034,499998	0,594136	0,000199	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	19,950000	0,000000	0,000000	3362054,449998	0,616160	0,000199	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	20,350000	0,000000	0,000000	3362074,799998	0,660196	0,000203	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	19,950000	0,000000	0,000000	3362094,749998	0,660287	0,000199	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	19,900000	0,000000	0,000000	3362114,649998	0,660271	0,000199	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	19,900000	0,000000	0,000000	3362134,549998	0,660271	0,000199	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	19,900000	0,000000	0,000000	3362154,449998	0,660271	0,000199	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	20,000000	0,000000	0,000000	3362174,449998	0,660304	0,000200	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	20,300000	0,000000	0,000000	3362194,749998	0,660402	0,000203	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	19,850000	0,000000	0,000000	3362214,599998	0,616454	0,000198	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	19,900000	0,000000	0,000000	3362234,499998	0,660054	0,000199	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	20,000000	0,000000	0,000000	3362254,499998	0,660304	0,000200	0,000000	0,000000
-1,634415	0,101232	0,000000	1,634415	21,200000	0,000000	0,000000	3362275,699998	0,660696	0,000212	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	19,050000	0,000000	0,000000	3362294,749998	0,616201	0,000190	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	19,900000	0,000000	0,000000	3362314,649998	0,616253	0,000199	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	23,500000	0,000000	0,000000	3362338,149998	0,617351	0,000235	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	16,700000	0,000000	0,000000	3362354,849998	0,615277	0,000167	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	19,850000	0,000000	0,000000	3362374,699998	0,616238	0,000198	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	19,900000	0,000000	0,000000	3362394,599998	0,616253	0,000199	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	19,900000	0,000000	0,000000	3362414,499998	0,616253	0,000199	0,000000	0,000000
-1,525454	0,101232	0,000000	1,525454	20,450000	0,000000	0,000000	3362434,949998	0,616421	0,000204	0,000000	0,000000
-1,416493	0,101232	0,000000	1,416493	19,850000	0,000000	0,000000	3362454,799998	0,572437	0,000198	0,000000	0,000000
-1,416493	0,101232	0,000000	1,416493	19,850000	0,000000	0,000000	3362474,649998	0,572221	0,000198	0,000000	0,000000
-1,416493	0,101232	0,000000	1,416493	19,900000	0,000000	0,000000	3362494,549998	0,572235	0,000199	0,000000	0,000000
-1,416493	0,101232	0,000000	1,416493	19,900000	0,000000	0,000000	3362514,449998	0,572235	0,000199	0,000000	0,000000
-1,416493	0,101232	0,000000	1,416493	21,200000	0,000000	0,000000	3362535,649998	0,572603	0,000212	0,000000	0,000000
-1,416493	0,101232	0,000000	1,416493	18,200000	0,000000	0,000000	3362553,849998	0,571753	0,000182	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,900000	0,000000	0,000000	3362573,749998	0,528434	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,900000	0,000000	0,000000	3362593,649998	0,528217	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,950000	0,000000	0,000000	3362613,599998	0,528230	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,900000	0,000000	0,000000	3362633,499998	0,528217	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	20,300000	0,000000	0,000000	3362653,799998	0,528321	0,000203	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,950000	0,000000	0,000000	3362673,749998	0,528230	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,850000	0,000000	0,000000	3362693,599998	0,528204	0,000198	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,950000	0,000000	0,000000	3362713,549998	0,528230	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	20,300000	0,000000	0,000000	3362733,849998	0,528321	0,000203	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,900000	0,000000	0,000000	3362753,749998	0,528217	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,900000	0,000000	0,000000	3362773,649998	0,528217	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,950000	0,000000	0,000000	3362793,599998	0,528230	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	20,300000	0,000000	0,000000	3362813,899998	0,528321	0,000203	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,900000	0,000000	0,000000	3362833,799998	0,528217	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,950000	0,000000	0,000000	3362853,749998	0,528230	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,900000	0,000000	0,000000	3362873,649998	0,528217	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	21,200000	0,000000	0,000000	3362894,849998	0,528557	0,000212	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,000000	0,000000	0,000000	3362913,849998	0,527981	0,000190	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,950000	0,000000	0,000000	3362933,799998	0,528230	0,000199	0,000000	0,000000
-1,307532	0,101232	0,000000	1,307532	19,900000	0,000000	0,000000	3362953,699998	0,528217	0,000199	0,000000	0,000000
-1,198571	0,101232	0,000000	1,198571	19,850000	0,000000	0,000000	3362973,549998	0,484403	0,000198	0,000000	0,000000
-1,198571	0,101232	0,000000	1,198571	20,350000	0,000000	0,000000	3362993,899998	0,484307	0,000203	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363013,799998	0,440398	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363033,699998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363053,599998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	20,350000	0,000000	0,000000	3363073,949998	0,440279	0,000203	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363093,849998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363113,749998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363133,649998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	21,250000	0,000000	0,000000	3363154,899998	0,440475	0,000212	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	18,900000	0,000000	0,000000	3363173,799998	0,439963	0,000189	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363193,699998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363213,599998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	20,300000	0,000000	0,000000	3363233,899998	0,440268	0,000203	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,950000	0,000000	0,000000	3363253,849998	0,440192	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363273,749998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,850000	0,000000	0,000000	3363293,599998	0,440170	0,000198	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	20,300000	0,000000	0,000000	3363313,899998	0,440268	0,000203	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,950000	0,000000	0,000000	3363333,849998	0,440192	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363353,749998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363373,649998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	20,300000	0,000000	0,000000	3363393,949998	0,440268	0,000203	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363413,849998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363433,749998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363453,649998	0,440181	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	20,300000	0,000000	0,000000	3363473,949998	0,440268	0,000203	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,850000	0,000000	0,000000	3363493,799998	0,440170	0,000198	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	21,100000	0,000000	0,000000	3363514,899998	0,440442	0,000211	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,100000	0,000000	0,000000	3363533,999998	0,440006	0,000191	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,850000	0,000000	0,000000	3363553,849998	0,440170	0,000198	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,850000	0,000000	0,000000	3363573,699998	0,440170	0,000198	0,000000	0,000000
-1,198571	0,101232	0,000000	1,198571	19,900000	0,000000	0,000000	3363593,599998	0,483982	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	20,300000	0,000000	0,000000	3363613,899998	0,440489	0,000203	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,950000	0,000000	0,000000	3363633,849998	0,440192	0,000199	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	19,900000	0,000000	0,000000	3363653,749998	0,440181	0,000199	0,000000	0,000000
-1,144091	0,101232	0,000000	1,144091	19,850000	0,000000	0,000000	3363673,599998	0,462070	0,000198	0,000000	0,000000
-1,089610	0,101232	0,000000	1,089610	20,300000	0,000000	0,000000	3363693,899998	0,440378	0,000203	0,000000	0,000000
