P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0,000000	1,000000	0,000000	28,000000	17,000000	40,000000	27,000000	1,000000	1,000000	1,000000	1,000000	50,000000	400,000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3332384,200001	-0,000214	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,400000	0,000000	0,000000	3332404,600001	-0,043807	-0,000204	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,600000	0,000000	0,000000	3332424,200001	-0,044012	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,400000	0,000000	0,000000	3332444,600001	-0,044029	-0,000204	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,600000	0,000000	0,000000	3332464,200001	-0,044012	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,400000	0,000000	0,000000	3332484,600001	-0,044029	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3332504,200001	-0,000214	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3332524,800001	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,800000	0,000000	0,000000	3332544,600001	0,000000	-0,000198	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,200000	0,000000	0,000000	3332564,800001	-0,043805	-0,000202	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,400000	0,000000	0,000000	3332584,200001	-0,044007	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3332604,800001	-0,000224	-0,000206	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,600000	0,000000	0,000000	3332624,400001	-0,043798	-0,000196	0,000000	0,000000
0,108961	0,101232	0,000000	-0,108961	19,400000	0,000000	0,000000	3332643,800001	-0,044007	-0,000194	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,600000	0,000000	0,000000	3332664,400001	-0,044033	-0,000206	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,600000	0,000000	0,000000	3332684,000001	-0,044012	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,400000	0,000000	0,000000	3332704,400001	-0,044029	-0,000204	0,000000	0,000000
0,108961	0,101232	0,000000	-0,108961	19,600000	0,000000	0,000000	3332724,000001	-0,044012	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3332744,400001	-0,000222	-0,000204	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,600000	0,000000	0,000000	3332764,000001	-0,043798	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,600000	0,000000	0,000000	3332784,600001	-0,044033	-0,000206	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,600000	0,000000	0,000000	3332804,200001	-0,044012	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3332824,600001	-0,000222	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3332844,200001	0,000000	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,400000	0,000000	0,000000	3332864,600001	-0,043807	-0,000204	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,600000	0,000000	0,000000	3332884,200001	-0,044012	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,600000	0,000000	0,000000	3332904,800001	-0,044033	-0,000206	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,400000	0,000000	0,000000	3332924,200001	-0,044007	-0,000194	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,400000	0,000000	0,000000	3332944,600001	-0,044029	-0,000204	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,600000	0,000000	0,000000	3332964,200001	-0,044012	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,600000	0,000000	0,000000	3332984,800001	-0,044033	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333004,400001	-0,000214	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,400000	0,000000	0,000000	3333024,800001	-0,043807	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333044,400001	-0,000214	-0,000196	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	20,400000	0,000000	0,000000	3333064,800001	-0,043807	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333084,400001	-0,000214	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3333104,800001	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333124,400001	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333144,000001	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3333164,400001	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333184,000001	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3333204,600001	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,000000	0,000000	0,000000	3333224,600001	0,000000	-0,000200	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,800000	0,000000	0,000000	3333244,400001	0,000000	-0,000198	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333264,000001	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3333284,600001	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333304,200001	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3333324,800001	0,000000	-0,000206	0,000000	0,000000
0,108961	0,000000	0,000000	-0,108961	19,400000	0,000000	0,000000	3333344,200001	-0,043796	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3333364,800001	-0,000224	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	3333384,200001	0,000000	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3333404,600001	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333424,200001	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3333444,800001	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,800000	0,000000	0,000000	3333464,600001	0,000000	-0,000198	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,200000	0,000000	0,000000	3333484,800001	0,000000	-0,000202	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	3333504,200001	0,000000	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3333524,800001	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333544,400001	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3333564,800001	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,800000	0,000000	0,000000	3333584,600001	0,000000	-0,000198	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3333605,000001	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	3333624,400001	0,000000	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	21,200000	0,000000	0,000000	3333645,600001	0,000000	-0,000212	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	18,800000	0,000000	0,000000	3333664,400001	0,000000	-0,000188	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,800000	0,000000	0,000000	3333684,200001	0,000000	-0,000198	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3333704,600001	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	3333724,000001	0,000000	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3333744,600001	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,400000	0,000000	0,000000	3333764,000001	0,000000	-0,000194	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,600000	0,000000	0,000000	3333784,600001	0,000000	-0,000206	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333804,200001	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3333824,600001	0,000000	-0,000204	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	19,600000	0,000000	0,000000	3333844,200001	0,000000	-0,000196	0,000000	0,000000
0,000000	0,000000	0,000000	0,000000	20,400000	0,000000	0,000000	3333864,600001	0,000000	-0,000204	0,000000	0,000000
