PIDRelay
Kp	Ki	Kd	Kr
0,400000	0,200000	0,000000	0,010000
SaidaP	SaidaI	SaidaD	SaidaR
15,242100	12,369305	0,000000	0,024390
15,361500	12,663128	0,000000	0,024774
15,483300	12,961615	0,000000	0,025161
15,617700	13,265194	0,000000	0,025552
15,722400	13,573157	0,000000	0,025945
15,841500	13,885670	0,000000	0,026341
15,960900	14,202917	0,000000	0,026740
16,083000	14,525018	0,000000	0,027142
16,202400	14,851956	0,000000	0,027547
16,321800	15,183739	0,000000	0,027955
16,441200	15,520404	0,000000	0,028366
16,563000	15,862059	0,000000	0,028780
16,682700	16,208702	0,000000	0,029197
16,802100	16,560336	0,000000	0,029617
16,921500	16,916995	0,000000	0,030040
16,802100	17,271137	0,000000	0,030460
16,664100	17,619689	0,000000	0,030877
16,559700	17,963549	0,000000	0,031291
16,440300	18,302631	0,000000	0,031702
16,320900	18,636813	0,000000	0,032110
16,201800	18,966142	0,000000	0,032515
16,079700	19,290565	0,000000	0,032917
15,960300	19,610170	0,000000	0,033316
15,840900	19,925020	0,000000	0,033712
15,721500	20,235150	0,000000	0,034105
15,599700	20,540526	0,000000	0,034495
15,480600	20,841239	0,000000	0,034882
15,361200	21,137344	0,000000	0,035266
15,242100	21,428881	0,000000	0,035647
15,104100	21,715351	0,000000	0,036025
14,999700	21,997568	0,000000	0,036400
14,880300	22,275458	0,000000	0,036772
14,760900	22,548914	0,000000	0,037141
14,641500	22,817974	0,000000	0,037507
14,519400	23,082598	0,000000	0,037870
14,400000	23,342873	0,000000	0,038230
14,280600	23,598858	0,000000	0,038587
14,161200	23,850589	0,000000	0,038941
14,039400	24,098039	0,000000	0,039292
13,919700	24,341278	0,000000	0,039640
13,800300	24,580368	0,000000	0,039985
13,680900	24,815348	0,000000	0,040327
13,543800	25,045801	0,000000	0,040665
13,439400	25,272450	0,000000	0,041001
13,320000	25,495222	0,000000	0,041334
13,200600	25,714027	0,000000	0,041664
13,081200	25,928900	0,000000	0,041991
12,959400	26,139819	0,000000	0,042315
12,840000	26,346860	0,000000	0,042636
12,720300	26,550069	0,000000	0,042954
12,601200	26,749495	0,000000	0,043269
12,479400	26,945114	0,000000	0,043581
12,360300	27,137005	0,000000	0,043890
12,240900	27,325218	0,000000	0,044196
12,121200	27,509779	0,000000	0,044500
11,983800	27,690323	0,000000	0,044799
11,879400	27,867498	0,000000	0,045096
11,760000	28,041248	0,000000	0,045390
11,640600	28,211496	0,000000	0,045681
11,521200	28,378278	0,000000	0,045969
11,401200	28,541618	0,000000	0,046254
11,279400	28,701507	0,000000	0,046536
11,160300	28,858028	0,000000	0,046815
11,040900	29,011229	0,000000	0,047091
10,921200	29,161137	0,000000	0,047364
10,799100	29,307737	0,000000	0,047634
10,679700	29,451104	0,000000	0,047901
10,560000	29,591286	0,000000	0,048165
10,440600	29,728323	0,000000	0,048426
10,321200	29,862252	0,000000	0,048684
10,201500	29,993103	0,000000	0,048939
10,079400	30,120865	0,000000	0,049191
9,959700	30,245605	0,000000	0,049440
9,840300	30,367379	0,000000	0,049686
9,720900	30,486224	0,000000	0,049929
9,599100	30,602133	0,000000	0,050169
9,479400	30,715166	0,000000	0,050406
9,360000	30,825376	0,000000	0,050640
9,240600	30,932802	0,000000	0,050871
9,118800	31,037437	0,000000	0,051099
8,999400	31,139345	0,000000	0,051324
8,880300	31,238580	0,000000	0,051546
8,760900	31,335176	0,000000	0,051765
8,641200	31,429160	0,000000	0,051981
8,519400	31,520534	0,000000	0,052194
8,400000	31,609361	0,000000	0,052404
