P	I	D	OffsetCorrenteCH1	OffsetCorrenteCH2	MaxCH1	MaxCH2	TipoPID	LadoControlado	Referencia	Modo	Frequencia	Duracao
0.400000	0.200000	0.000000	9.000000	10.000000	13.000000	14.000000	1.000000	0.000000	1.000000	1.000000	50.000000	400.000000
GonioD	GonioE	AngAlvo	ErroAng	dtAmost	AmpCH1	AmpCH2	dtSum	SaidaD	SaidaI	SaidaP	AngFBK
0.326883	-0.303697	0.000000	0.303697	19.900000	0.000000	0.000000	12327504.550024	0.000199	0.001209	0.121479	0.000000
0.217922	-0.303697	0.000000	0.303697	20.300000	0.000000	0.000000	12327524.850024	0.000203	0.001233	0.121479	0.000000
0.326883	-0.303697	0.000000	0.303697	19.950000	0.000000	0.000000	12327544.800024	0.000199	0.001212	0.121479	0.000000
0.326883	-0.303697	0.000000	0.303697	19.900000	0.000000	0.000000	12327564.700024	0.000199	0.001209	0.121479	0.000000
0.217922	-0.303697	0.000000	0.303697	19.950000	0.000000	0.000000	12327584.650024	0.000199	0.001212	0.121479	0.000000
0.272403	-0.303697	0.000000	0.303697	19.900000	0.000000	0.000000	12327604.550024	0.000199	0.001209	0.121479	0.000000
0.217922	-0.303697	0.000000	0.303697	20.300000	0.000000	0.000000	12327624.850024	0.000203	0.001233	0.121479	0.000000
0.217922	-0.303697	0.000000	0.303697	19.900000	0.000000	0.000000	12327644.750024	0.000199	0.001209	0.121479	0.000000
0.326883	-0.303697	0.000000	0.303697	19.950000	0.000000	0.000000	12327664.700024	0.000199	0.001212	0.121479	0.000000
0.326883	-0.303697	0.000000	0.303697	19.950000	0.000000	0.000000	12327684.650024	0.000199	0.001212	0.121479	0.000000
0.217922	-0.303697	0.000000	0.303697	19.850000	0.000000	0.000000	12327704.500024	0.000198	0.001206	0.121479	0.000000
0.217922	-0.303697	0.000000	0.303697	20.300000	0.000000	0.000000	12327724.800024	0.000203	0.001233	0.121479	0.000000
